LP 17990x12690 nnz=8617813; CLARABEL on it17 pool (4979 cuts)...
-------------------------------------------------------------
           Clarabel.rs v0.11.1  -  Clever Acronym                

                   (c) Paul Goulart                          
                University of Oxford, 2022                   
-------------------------------------------------------------

problem:
  variables     = 12690
  constraints   = 17990
  nnz(P)        = 0
  nnz(A)        = 8617813
  cones (total) = 3
    :        Zero = 1,  numel = 1
    : Nonnegative = 2,  numel = (5300,12689)

settings:
  linear algebra: direct / faer, precision: 64 bit (64 threads)
  max iter = 200, time limit = Inf,  max step = 0.990
  tol_feas = 1.0e-8, tol_gap_abs = 1.0e-8, tol_gap_rel = 1.0e-8,
  static reg : on, ϵ1 = 1.0e-8, ϵ2 = 4.9e-32
  dynamic reg: on, ϵ = 1.0e-13, δ = 2.0e-7
  iter refine: on, reltol = 1.0e-13, abstol = 1.0e-12,
               max iter = 10, stop ratio = 5.0
  equilibrate: on, min_scale = 1.0e-4, max_scale = 1.0e4
               max iter = 10

iter    pcost        dcost       gap       pres      dres      k/t        μ       step      
---------------------------------------------------------------------------------------------
  0  +7.0233e-04  -5.4535e-02  5.52e-02  9.92e-01  1.93e-02  1.00e+00  1.17e+00   ------   
  1  -1.9165e+00  -8.2747e-02  1.83e+00  8.78e-01  1.92e-02  2.03e+00  9.10e-01  9.90e-01  
  2  -1.5993e+00  -8.4817e-02  1.51e+00  5.93e-01  1.80e-02  1.55e+00  4.12e-01  7.36e-01  
  3  -4.2741e-01  -9.5285e-02  3.32e-01  4.47e-01  1.55e-02  3.42e-01  1.57e-01  7.64e-01  
  4  -1.6532e-01  -8.4826e-02  8.05e-02  2.68e-01  1.29e-02  8.42e-02  6.93e-02  6.62e-01  
  5  -6.4927e-02  -5.6196e-02  8.73e-03  9.15e-02  6.94e-03  9.66e-03  2.52e-02  6.80e-01  
  6  -2.6166e-02  -2.3493e-02  2.67e-03  4.33e-02  5.66e-03  3.08e-03  1.99e-02  4.06e-01  
  7  -1.2175e-02  -1.1094e-02  1.08e-03  2.27e-02  4.43e-03  1.29e-03  1.50e-02  5.43e-01  
  8  -7.4288e-03  -6.8833e-03  5.46e-04  1.35e-02  3.26e-03  6.69e-04  1.10e-02  4.04e-01  
  9  -4.1623e-03  -3.9328e-03  2.30e-04  7.19e-03  2.22e-03  2.95e-04  7.30e-03  4.94e-01  
 10  -2.8303e-03  -2.7036e-03  1.27e-04  4.68e-03  1.78e-03  1.69e-04  5.42e-03  3.80e-01  
 11  -1.9945e-03  -1.9292e-03  6.53e-05  3.11e-03  1.43e-03  9.36e-05  4.02e-03  4.40e-01  
 12  -1.4284e-03  -1.3941e-03  3.43e-05  2.09e-03  1.11e-03  5.33e-05  2.92e-03  4.29e-01  
 13  -1.1148e-03  -1.0951e-03  1.97e-05  1.51e-03  8.87e-04  3.34e-05  2.22e-03  3.77e-01  
