Best upper bound on a(N) derivable from {a(5m)=m^2 (m<=40)} + monotonicity + blow-up
U(N) = min_{t: tN<=200} ceil(tN/5)^2 / t^2 ;  target = floor(N^2/25)
   N  floor(N^2/25)           U(N)  floor U(N)  deficit  t*
   1              0           1/25           0        0   5
   2              0           4/25           0        0   5
   3              0           9/25           0        0   5
   4              0          16/25           0        0   5
   6              1          36/25           1        0   5
   7              1          49/25           1        0   5
   8              2          64/25           2        0   5
   9              3          81/25           3        0   5
  11              4         121/25           4        0   5
  12              5         144/25           5        0   5
  13              6         169/25           6        0   5
  14              7         196/25           7        0   5
  16             10         256/25          10        0   5
  17             11         289/25          11        0   5
  18             12         324/25          12        0   5
  19             14         361/25          14        0   5
  21             17         441/25          17        0   5
  22             19         484/25          19        0   5
  23             21         529/25          21        0   5
  24             23         576/25          23        0   5
  26             27         676/25          27        0   5
  27             29         729/25          29        0   5
  28             31         784/25          31        0   5
  29             33         841/25          33        0   5
  31             38         961/25          38        0   5
  32             40        1024/25          40        0   5
  33             43        1089/25          43        0   5
  34             46        1156/25          46        0   5
  36             51        1296/25          51        0   5
  37             54        1369/25          54        0   5
  38             57        1444/25          57        0   5
  39             60        1521/25          60        0   5
  41             67        1089/16          68        1   4
  42             70          289/4          72        2   2
  43             73          676/9          75        2   3
  44             77             81          81        4   1
  46             84        1369/16          85        1   4
  47             88          361/4          90        2   2
  48             92          841/9          93        1   3
  49             96            100         100        4   1
  51            104          961/9         106        2   3
  52            108          441/4         110        2   2
  53            112         1024/9         113        1   3
  54            116            121         121        5   1
  56            125         1156/9         128        3   3
  57            129          529/4         132        3   2
  58            134         1225/9         136        2   3
  59            139            144         144        5   1
  61            148         1369/9         152        4   3
  62            153          625/4         156        3   2
  63            158         1444/9         160        2   3
  64            163            169         169        6   1
  66            174         1600/9         177        3   3
  67            179          729/4         182        3   2
  68            184            196         196       12   1
  69            190            196         196        6   1
  71            201          841/4         210        9   2
  72            207          841/4         210        3   2
  73            213            225         225       12   1
  74            219            225         225        6   1
  76            231          961/4         240        9   2
  77            237          961/4         240        3   2
  78            243            256         256       13   1
  79            249            256         256        7   1
  81            262         1089/4         272       10   2
  82            268         1089/4         272        4   2
  83            275            289         289       14   1
  84            282            289         289        7   1
  86            295         1225/4         306       11   2
  87            302         1225/4         306        4   2
  88            309            324         324       15   1
  89            316            324         324        8   1
  91            331         1369/4         342       11   2
  92            338         1369/4         342        4   2
  93            345            361         361       16   1
  94            353            361         361        8   1
  96            368         1521/4         380       12   2
  97            376         1521/4         380        4   2
  98            384            400         400       16   1
  99            392            400         400        8   1
 101            408            441         441       33   1
 102            416            441         441       25   1
 103            424            441         441       17   1
 104            432            441         441        9   1
 106            449            484         484       35   1
 107            457            484         484       27   1
 108            466            484         484       18   1
 109            475            484         484        9   1
 111            492            529         529       37   1
 112            501            529         529       28   1
 113            510            529         529       19   1
 114            519            529         529       10   1
 116            538            576         576       38   1
 117            547            576         576       29   1
 118            556            576         576       20   1
 119            566            576         576       10   1
 121            585            625         625       40   1
 122            595            625         625       30   1
 123            605            625         625       20   1
 124            615            625         625       10   1
 126            635            676         676       41   1
 127            645            676         676       31   1
 128            655            676         676       21   1
 129            665            676         676       11   1
 131            686            729         729       43   1
 132            696            729         729       33   1
 133            707            729         729       22   1
 134            718            729         729       11   1
 136            739            784         784       45   1
 137            750            784         784       34   1
 138            761            784         784       23   1
 139            772            784         784       12   1
 141            795            841         841       46   1
 142            806            841         841       35   1
 143            817            841         841       24   1
 144            829            841         841       12   1
 146            852            900         900       48   1
 147            864            900         900       36   1
 148            876            900         900       24   1
 149            888            900         900       12   1
 151            912            961         961       49   1
 152            924            961         961       37   1
 153            936            961         961       25   1
 154            948            961         961       13   1
 156            973           1024        1024       51   1
 157            985           1024        1024       39   1
 158            998           1024        1024       26   1
 159           1011           1024        1024       13   1
 161           1036           1089        1089       53   1
 162           1049           1089        1089       40   1
 163           1062           1089        1089       27   1
 164           1075           1089        1089       14   1
 166           1102           1156        1156       54   1
 167           1115           1156        1156       41   1
 168           1128           1156        1156       28   1
 169           1142           1156        1156       14   1
 171           1169           1225        1225       56   1
 172           1183           1225        1225       42   1
 173           1197           1225        1225       28   1
 174           1211           1225        1225       14   1
 176           1239           1296        1296       57   1
 177           1253           1296        1296       43   1
 178           1267           1296        1296       29   1
 179           1281           1296        1296       15   1
 181           1310           1369        1369       59   1
 182           1324           1369        1369       45   1
 183           1339           1369        1369       30   1
 184           1354           1369        1369       15   1
 186           1383           1444        1444       61   1
 187           1398           1444        1444       46   1
 188           1413           1444        1444       31   1
 189           1428           1444        1444       16   1
 191           1459           1521        1521       62   1
 192           1474           1521        1521       47   1
 193           1489           1521        1521       32   1
 194           1505           1521        1521       16   1
 196           1536           1600        1600       64   1
 197           1552           1600        1600       48   1
 198           1568           1600        1600       32   1
 199           1584           1600        1600       16   1

settled (deficit<=0): [1, 2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22, 23, 24, 26, 27, 28, 29, 31, 32, 33, 34, 36, 37, 38, 39]
unsettled count: 128
min deficit: 1 at N = [41, 46, 48, 53]
max deficit: 64
