137 candidate type-graphs
 N  floor(N^2/25)   LB(N)  match?  best H (g6)  weights
  5       1          1  EXACT    DUW                  [1, 1, 1, 1, 1]
  6       1          1  EXACT    DUW                  [2, 1, 1, 1, 1]
  7       1          1  EXACT    DUW                  [2, 2, 1, 1, 1]
  8       2          2  EXACT    DUW                  [2, 2, 2, 1, 1]
  9       3          2  gap 1    DUW                  [2, 2, 2, 2, 1]
 10       4          4  EXACT    DUW                  [2, 2, 2, 2, 2]
 11       4          4  EXACT    DUW                  [3, 2, 2, 2, 2]
 12       5          5  EXACT    H?q`qjo              [1, 1, 1, 1, 1, 2, 1, 2, 2]
 13       6          6  EXACT    DUW                  [3, 3, 3, 2, 2]
 14       7          7  EXACT    L?`DAboU`w@{hS       [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]
 15       9          9  EXACT    DUW                  [3, 3, 3, 3, 3]
 16      10          9  gap 1    DUW                  [4, 3, 3, 3, 3]
 17      11         10  gap 1    H?q`qjo              [1, 1, 2, 2, 1, 3, 1, 3, 3]
 18      12         12  EXACT    DUW                  [4, 4, 4, 3, 3]
 19      14         12  gap 2    DUW                  [4, 4, 4, 4, 3]
 20      16         16  EXACT    DUW                  [4, 4, 4, 4, 4]
 21      17         16  gap 1    DUW                  [5, 4, 4, 4, 4]
 22      19         17  gap 2    I?`cn@wFO            [1, 1, 3, 2, 2, 1, 1, 3, 4, 4]
 23      21         20  gap 1    DUW                  [5, 5, 5, 4, 4]
 24      23         20  gap 3    DUW                  [5, 5, 5, 5, 4]
 25      25         25  EXACT    DUW                  [5, 5, 5, 5, 5]
 26      27         25  gap 2    DUW                  [6, 5, 5, 5, 5]
 27      29         26  gap 3    J?AAFo}^Ds?          [5, 1, 0, 0, 5, 5, 1, 3, 1, 4, 2]
 28      31         30  gap 1    DUW                  [6, 6, 6, 5, 5]
 29      33         30  gap 3    DUW                  [6, 6, 6, 6, 5]
 30      36         36  EXACT    DUW                  [6, 6, 6, 6, 6]
 31      38         36  gap 2    DUW                  [7, 6, 6, 6, 6]
 32      40         37  gap 3    J??FCo]XVw?          [1, 3, 2, 1, 1, 4, 6, 1, 6, 1, 6]
 33      43         42  gap 1    DUW                  [7, 7, 7, 6, 6]
 34      46         42  gap 4    DUW                  [7, 7, 7, 7, 6]
 35      49         49  EXACT    DUW                  [7, 7, 7, 7, 7]
 36      51         49  gap 2    DUW                  [8, 7, 7, 7, 7]
 37      54         50  gap 4    J??FCo]XVw?          [4, 3, 0, 3, 2, 2, 7, 1, 7, 1, 7]
 38      57         56  gap 1    DUW                  [8, 8, 8, 7, 7]
 39      60         56  gap 4    DUW                  [8, 8, 8, 8, 7]
 40      64         64  EXACT    DUW                  [8, 8, 8, 8, 8]
