b???????????????????F?BG?T??s?B@?A`??o_?HG??h??@c??E?G?d?G?`_C?OQ@?C@OG?_B?_A?CP?C?AP?C??g_A??EG?_??? n=35 m=70 bipUB=10 ratio=10/1225 0.008163265
w?????????????????????????????????????Fw?FF??lc?@lO?@u_?F?[?AoX??YDO?@oY??Cr@??DTA??ArA???rH???EiO???[q???F??w?FJ?BG?XE_Ag?T@o?s?E_R?WGB@@SA`?SGAoEC?o_BGHG@H?@gDG?h??[@c?K_?CWo@E?G?qd?Gg@?CeK?`_C?OhQ@AOG?_TI@@OG?_Db?_WC?O?paGCP?C?BIP?QG?_?EdC?g_A??FEG?p?C??? n=56 m=280 bipUB=70 ratio=70/3136 0.022321429
qhc?GC@@G??@?@??_@G????C??G??G??c??????G???_??@???H`ACGGO`A@ACGQCGO`WGO`As?aG_AG@CO?aG@CACPC?_oPCP?BOC_H??OCc@??H?Q?_@AOCc??oQOC_?E_OI@??@?gCA??@?gD???OgCA_??WI@OG??E_____??AAAB????CCEA???ACEAA???EB@@@???B? n=50 m=175 bipUB=50 ratio=50/2500 0.020000000
~?@csaCCA?_C?O?_?_?O?C??_?A??C??C??A???_??C???N_?@O{?AOBoAG?F`A??FoGaGa?`CPG@@CPO@?aGo?QCGW?CQ@I??`BAO?AAQP??A_`Q??AOQa??@DAB???Oh@O??@_SI???DA_W???HGKO???GoQO??@aCC_?LdWQAC?Beb@Ac?@ciKASG?ELOSaCO?oT_SPG_?oiOICOa@_JGA_aP?WDK?Q_WC@d?o@HAO_HgB?APGQ?QgW?AOoK?LOW?@EAI?DWo??POPOAhK??AHP@?JM???GaaA@RW???Koo?K?Ko?rKN??K?r?BKE?EEW?WW?]@_?]E?@w?WWIcE?SE@_WE?h_c@OcHAOc@OQBD@GKB@G@OKCd?oQC_o?e_@P_TO@T??HS?gWIg?i_?@GSgC`Q_As??C_l?QAs?Sg??Eg?gXO@T?D?BES?SY_Ai?I?BB@T?Qg@T?A_E?oIgCs?Ig@O@_DcH?T_WE@_?o?T_W@XAOcH?B??gQCdKC`GK?W??gKBDQB?oQ?W??NK??rK?Ko?o??BKo?NK?Ko?K???W@eEF_@`_E???@_@eX`_@w?W????oIXOPGaGPOQCc?oDdOaCPCaO`GS?TH_a_a_g_cIGH?DL_GaaA_a_caCG?e_LHAOaOcD@DA?ATBCaOcOcGcGcC?BSEHB?p?oHOGoG?BI@hOKAKB?oPOO?@XoCQaA_a_Pa@C??Tb@EAIAaAGg_a??@`SiGcPCGcCOb???EAkhCGaHCOGcS???BHT_`QADGaC`C???BEh_Q`@IC`GQC????[socCIOOhCGc????EqkO_dAAQGcP??? n=100 m=1100 bipUB=350 ratio=350/10000 0.035000000
^?????????????_?W?F??{?Bw?Fw?B{??~??Fw??^_??~???~???^_??Fw???~???B{???Fw???Fw?? n=31 m=93 bipUB=9 ratio=9/961 0.009365245
_?????????????_?W?F??{?Bw?Fw?F{?@~??Nw??~_?@~??@~???~_??Nw??@~???F{???Nw???Nw???F{?? n=32 m=112 bipUB=12 ratio=12/1024 0.011718750
`???????????????O?E??w?Bo?Fo?Fw?@}??No??~??@}??@}???~???No??@}???Fw???No???No???Fw???@}?? n=33 m=99 bipUB=9 ratio=9/1089 0.008264463
a???????????????O?E??w?Bo?Fo?Fw?B}??^o?@~??B}??B}??@~???^o??B}???Nw???^o???^o???Nw???B}????^o?? n=34 m=119 bipUB=12 ratio=12/1156 0.010380623
b?????????????????C??o?B_?F_?Fo?B{??^_?@}??B{??B{??@}???^_??B{???No???^_???^_???No???B{????^_???@}??? n=35 m=105 bipUB=9 ratio=9/1225 0.007346939
c?????????????????C??o?B_?F_?Fo?B{??~_?B}??F{??F{??B}???~_??F{???^o???~_???~_???^o???F{????~_???B}????F{?? n=36 m=126 bipUB=12 ratio=12/1296 0.009259259
d?????????????????C??o?B_?F_?Fo?B{??~_?F}??N{??N{??F}??@~_??N{???~o??@~_??@~_???~o???N{???@~_???F}????N{????N{?? n=37 m=148 bipUB=16 ratio=16/1369 0.011687363
e????????????????????_?B??F??F_?Bw??~??F{??Nw??Nw??F{??@~???Nw???~_??@~???@~????~_???Nw???@~????F{????Nw????Nw????F{??? n=38 m=133 bipUB=12 ratio=12/1444 0.008310249
f????????????????????_?B??F??F_?Bw??~??F{??^w??^w??N{??B~???^w??@~_??B~???B~???@~_???^w???B~????N{????^w????^w????N{????B~??? n=39 m=156 bipUB=16 ratio=16/1521 0.010519395
g??????????????????????A??E??F??Bo??}??Fw??^o??^o??Nw??B}???^o??@~???B}???B}???@~????^o???B}????Nw????^o????^o????Nw????B}?????^o?? n=40 m=140 bipUB=12 ratio=12/1600 0.007500000
