Dhc n=5 m=5 bipUB=1 ratio=1/25 0.040000000
GhdHKc n=8 m=12 bipUB=2 ratio=2/64 0.031250000
JhdHKdHHKc_ n=11 m=22 bipUB=4 ratio=4/121 0.033057851
MhdHKdHHKchHHHcc_ n=14 m=35 bipUB=6 ratio=6/196 0.030612245
PhdHKdHHKchHHHcchHHHHccc n=17 m=51 bipUB=9 ratio=9/289 0.031141869
ShdHKdHHKchHHHcchHHHHccdHHHHHKccc n=20 m=70 bipUB=12 ratio=12/400 0.030000000
VhdHKdHHKchHHHcchHHHHccdHHHHHKccdHHHHHHKccc_ n=23 m=92 bipUB=16 ratio=16/529 0.030245747
YhdHKdHHKchHHHcchHHHHccdHHHHHKccdHHHHHHKccchHHHHHHHcccc_ n=26 m=117 bipUB=20 ratio=20/676 0.029585799
\hdHKdHHKchHHHcchHHHHccdHHHHHKccdHHHHHHKccchHHHHHHHcccchHHHHHHHHccccc n=29 m=145 bipUB=25 ratio=25/841 0.029726516
I?LRCecq? n=10 m=15 bipUB=3 ratio=3/100 0.030000000
Or`HOm@OhHBBEGHCgPSAJ n=16 m=40 bipUB=8 ratio=8/256 0.031250000
JhdLA_gc?N_ n=11 m=20 bipUB=4 ratio=4/121 0.033057851
NhCKIE_S@OA_A_`??Nw n=15 m=28 bipUB=5 ratio=5/225 0.022222222
ECO_ n=6 m=3 bipUB=0 ratio=0/36 0.000000000
FCp`_ n=7 m=7 bipUB=1 ratio=1/49 0.020408163
G?`@?_ n=8 m=4 bipUB=0 ratio=0/64 0.000000000
H?bB@_W n=9 m=9 bipUB=1 ratio=1/81 0.012345679
I?AA@?OA? n=10 m=5 bipUB=0 ratio=0/100 0.000000000
J?AEB?oE?W? n=11 m=11 bipUB=1 ratio=1/121 0.008264463
K?AEF@oM?w@o n=12 m=18 bipUB=2 ratio=2/144 0.013888889
L??CE@_K?o@_@_ n=13 m=13 bipUB=1 ratio=1/169 0.005917160
M??CEB_[@oB_B_@o? n=14 m=21 bipUB=2 ratio=2/196 0.010204082
N???CB?W@_B?B?@_?W? n=15 m=15 bipUB=1 ratio=1/225 0.004444444
O???CB?wB_F?F?B_?w?F? n=16 m=24 bipUB=2 ratio=2/256 0.007812500
P???CB?wF_N?N?F_@w?N??{? n=17 m=34 bipUB=4 ratio=4/289 0.013840830
Q????A?oF?M?M?F?@o?M??w?@o? n=18 m=27 bipUB=2 ratio=2/324 0.006172840
R????A?oF?]?]?N?Bo?]?@w?Bo?Bo? n=19 m=38 bipUB=4 ratio=4/361 0.011080332
S??????_E?[?[?M?B_?[?@o?B_?B_?@o? n=20 m=30 bipUB=2 ratio=2/400 0.005000000
T??????_E?[?{?]?F_?{?Bo?F_?F_?Bo??{? n=21 m=42 bipUB=4 ratio=4/441 0.009070295
U??????_E?[?{?}?N_@{?Fo?N_?N_?Fo?@{??N_? n=22 m=55 bipUB=6 ratio=6/484 0.012396694
V???????C?W?w?{?N?@w?F_?N??N??F_?@w??N???{?? n=23 m=46 bipUB=4 ratio=4/529 0.007561437
