Dhc	Andrasfai(2)
GhdHKc	Andrasfai(3)
JhdHKdHHKc_	Andrasfai(4)
MhdHKdHHKchHHHcc_	Andrasfai(5)
PhdHKdHHKchHHHcchHHHHccc	Andrasfai(6)
ShdHKdHHKchHHHcchHHHHccdHHHHHKccc	Andrasfai(7)
VhdHKdHHKchHHHcchHHHHccdHHHHHKccdHHHHHHKccc_	Andrasfai(8)
YhdHKdHHKchHHHcchHHHHccdHHHHHKccdHHHHHHKccchHHHHHHHcccc_	Andrasfai(9)
\hdHKdHHKchHHHcchHHHHccdHHHHHKccdHHHHHHKccchHHHHHHHcccchHHHHHHHHccccc	Andrasfai(10)
I?LRCecq?	Petersen=Kneser(5,2)
Or`HOm@OhHBBEGHCgPSAJ	Clebsch
JhdLA_gc?N_	Grotzsch
NhCKIE_S@OA_A_`??Nw	Mycielski(C7)
ECO_	Circular(6)
FCp`_	Circular(7)
G?`@?_	Circular(8)
H?bB@_W	Circular(9)
I?AA@?OA?	Circular(10)
J?AEB?oE?W?	Circular(11)
K?AEF@oM?w@o	Circular(12)
L??CE@_K?o@_@_	Circular(13)
M??CEB_[@oB_B_@o?	Circular(14)
N???CB?W@_B?B?@_?W?	Circular(15)
O???CB?wB_F?F?B_?w?F?	Circular(16)
P???CB?wF_N?N?F_@w?N??{?	Circular(17)
Q????A?oF?M?M?F?@o?M??w?@o?	Circular(18)
R????A?oF?]?]?N?Bo?]?@w?Bo?Bo?	Circular(19)
S??????_E?[?[?M?B_?[?@o?B_?B_?@o?	Circular(20)
T??????_E?[?{?]?F_?{?Bo?F_?F_?Bo??{?	Circular(21)
U??????_E?[?{?}?N_@{?Fo?N_?N_?Fo?@{??N_?	Circular(22)
V???????C?W?w?{?N?@w?F_?N??N??F_?@w??N???{??	Circular(23)
W???????C?W?w?{?^?Bw?N_?^??^??N_?Bw??^??@{??Bw?	Circular(24)
X?????????O?o?w?]?Bo?N??]??]??N??Bo??]??@w??Bo??Bo?	Circular(25)
Y?????????O?o?w?]?Fo?^??}??}??^??Fo??}??Bw??Fo??Fo??Bw??	Circular(26)
Z?????????O?o?w?]?Fo?~?@}?@}??~??No?@}??Fw??No??No??Fw??@}??	Circular(27)
[???????????_?o?[?F_?}?@{?@{??}??N_?@{??Fo??N_??N_??Fo??@{???N_?	Circular(28)
\???????????_?o?[?F_?}?B{?B{?@}??^_?B{??No??^_??^_??No??B{???^_??@}??	Circular(29)
]?????????????_?W?F??{?Bw?Bw?@{??^??Bw??N_??^???^???N_??Bw???^???@{???Bw??	Circular(30)
GCrb`o	Circ(8;3.4)
IlSgkTDgg	Circ(10;1.3)
IhdLIchdG	Circ(10;1.4)
IhEIHCPaG	Circ(10;1.5)
IUWosZEWo	Circ(10;2.3)
IQIQPIQQO	Circ(10;2.5)
ICQadPSI_	Circ(10;3.5)
I?bFB_wF?	Circ(10;4.5)
JlSggUDOlA_	Circ(11;1.3)
JUWooYEorB?	Circ(11;2.3)
JQIURGqeQX?	Circ(11;2.5)
J?bFF`wN?{?	Circ(11;4.5)
KlSggSD_iAsD	Circ(12;1.3)
KhEILDPIGgpP	Circ(12;1.5)
KhCKIC`CGOo`	Circ(12;1.6)
KUWooWE_uBKE	Circ(12;2.3)
KQGSQGaCSPGa	Circ(12;2.6)
