Dhc n=5 m=5 bip=1 ratio=1/25 0.040000000
GhdHKc n=8 m=12 bip=2 ratio=2/64 0.031250000
JhdHKdHHKc_ n=11 m=22 bip=4 ratio=4/121 0.033057851
MhdHKdHHKchHHHcc_ n=14 m=35 bip=6 ratio=6/196 0.030612245
PhdHKdHHKchHHHcchHHHHccc n=17 m=51 bip=9 ratio=9/289 0.031141869
ShdHKdHHKchHHHcchHHHHccdHHHHHKccc n=20 m=70 bip=12 ratio=12/400 0.030000000
VhdHKdHHKchHHHcchHHHHccdHHHHHKccdHHHHHHKccc_ n=23 m=92 bip=16 ratio=16/529 0.030245747
YhdHKdHHKchHHHcchHHHHccdHHHHHKccdHHHHHHKccchHHHHHHHcccc_ n=26 m=117 bip=20 ratio=20/676 0.029585799
\hdHKdHHKchHHHcchHHHHccdHHHHHKccdHHHHHHKccchHHHHHHHcccchHHHHHHHHccccc n=29 m=145 bip=25 ratio=25/841 0.029726516
I?LRCecq? n=10 m=15 bip=3 ratio=3/100 0.030000000
Or`HOm@OhHBBEGHCgPSAJ n=16 m=40 bip=8 ratio=8/256 0.031250000
JhdLA_gc?N_ n=11 m=20 bip=4 ratio=4/121 0.033057851
GCrb`o n=8 m=12 bip=2 ratio=2/64 0.031250000
IhdLIchdG n=10 m=20 bip=4 ratio=4/100 0.040000000
IUWosZEWo n=10 m=20 bip=4 ratio=4/100 0.040000000
JlSggUDOlA_ n=11 m=22 bip=4 ratio=4/121 0.033057851
JUWooYEorB? n=11 m=22 bip=4 ratio=4/121 0.033057851
JQIURGqeQX? n=11 m=22 bip=4 ratio=4/121 0.033057851
J?bFF`wN?{? n=11 m=22 bip=4 ratio=4/121 0.033057851
LhEIHEPQHGaPaP n=13 m=26 bip=6 ratio=6/169 0.035502959
LUWooWE?sBWEWE n=13 m=26 bip=6 ratio=6/169 0.035502959
L?`DE`glAsDgDg n=13 m=26 bip=6 ratio=6/169 0.035502959
MhdHGcH@KCgHGHcC_ n=14 m=28 bip=6 ratio=6/196 0.030612245
MUWooWE?oBOEoEWB? n=14 m=28 bip=6 ratio=6/196 0.030612245
M?AEBAouBWEoEoBW? n=14 m=28 bip=6 ratio=6/196 0.030612245
