1 15
Z3xZ5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
1 2 3 4 0 6 7 8 9 5 11 12 13 14 10
2 3 4 0 1 7 8 9 5 6 12 13 14 10 11
3 4 0 1 2 8 9 5 6 7 13 14 10 11 12
4 0 1 2 3 9 5 6 7 8 14 10 11 12 13
5 6 7 8 9 10 11 12 13 14 0 1 2 3 4
6 7 8 9 5 11 12 13 14 10 1 2 3 4 0
7 8 9 5 6 12 13 14 10 11 2 3 4 0 1
8 9 5 6 7 13 14 10 11 12 3 4 0 1 2
9 5 6 7 8 14 10 11 12 13 4 0 1 2 3
10 11 12 13 14 0 1 2 3 4 5 6 7 8 9
11 12 13 14 10 1 2 3 4 0 6 7 8 9 5
12 13 14 10 11 2 3 4 0 1 7 8 9 5 6
13 14 10 11 12 3 4 0 1 2 8 9 5 6 7
14 10 11 12 13 4 0 1 2 3 9 5 6 7 8
