2 21
Z3xZ7
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1 2 3 4 5 6 0 8 9 10 11 12 13 7 15 16 17 18 19 20 14
2 3 4 5 6 0 1 9 10 11 12 13 7 8 16 17 18 19 20 14 15
3 4 5 6 0 1 2 10 11 12 13 7 8 9 17 18 19 20 14 15 16
4 5 6 0 1 2 3 11 12 13 7 8 9 10 18 19 20 14 15 16 17
5 6 0 1 2 3 4 12 13 7 8 9 10 11 19 20 14 15 16 17 18
6 0 1 2 3 4 5 13 7 8 9 10 11 12 20 14 15 16 17 18 19
7 8 9 10 11 12 13 14 15 16 17 18 19 20 0 1 2 3 4 5 6
8 9 10 11 12 13 7 15 16 17 18 19 20 14 1 2 3 4 5 6 0
9 10 11 12 13 7 8 16 17 18 19 20 14 15 2 3 4 5 6 0 1
10 11 12 13 7 8 9 17 18 19 20 14 15 16 3 4 5 6 0 1 2
11 12 13 7 8 9 10 18 19 20 14 15 16 17 4 5 6 0 1 2 3
12 13 7 8 9 10 11 19 20 14 15 16 17 18 5 6 0 1 2 3 4
13 7 8 9 10 11 12 20 14 15 16 17 18 19 6 0 1 2 3 4 5
14 15 16 17 18 19 20 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 16 17 18 19 20 14 1 2 3 4 5 6 0 8 9 10 11 12 13 7
16 17 18 19 20 14 15 2 3 4 5 6 0 1 9 10 11 12 13 7 8
17 18 19 20 14 15 16 3 4 5 6 0 1 2 10 11 12 13 7 8 9
18 19 20 14 15 16 17 4 5 6 0 1 2 3 11 12 13 7 8 9 10
19 20 14 15 16 17 18 5 6 0 1 2 3 4 12 13 7 8 9 10 11
20 14 15 16 17 18 19 6 0 1 2 3 4 5 13 7 8 9 10 11 12
Z7:Z3
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1 2 0 7 8 6 13 14 12 19 20 18 4 5 3 10 11 9 16 17 15
2 0 1 14 12 13 5 3 4 17 15 16 8 6 7 20 18 19 11 9 10
3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 0 1 2
4 5 3 10 11 9 16 17 15 1 2 0 7 8 6 13 14 12 19 20 18
5 3 4 17 15 16 8 6 7 20 18 19 11 9 10 2 0 1 14 12 13
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 0 1 2 3 4 5
7 8 6 13 14 12 19 20 18 4 5 3 10 11 9 16 17 15 1 2 0
8 6 7 20 18 19 11 9 10 2 0 1 14 12 13 5 3 4 17 15 16
9 10 11 12 13 14 15 16 17 18 19 20 0 1 2 3 4 5 6 7 8
10 11 9 16 17 15 1 2 0 7 8 6 13 14 12 19 20 18 4 5 3
11 9 10 2 0 1 14 12 13 5 3 4 17 15 16 8 6 7 20 18 19
12 13 14 15 16 17 18 19 20 0 1 2 3 4 5 6 7 8 9 10 11
13 14 12 19 20 18 4 5 3 10 11 9 16 17 15 1 2 0 7 8 6
14 12 13 5 3 4 17 15 16 8 6 7 20 18 19 11 9 10 2 0 1
15 16 17 18 19 20 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
16 17 15 1 2 0 7 8 6 13 14 12 19 20 18 4 5 3 10 11 9
17 15 16 8 6 7 20 18 19 11 9 10 2 0 1 14 12 13 5 3 4
18 19 20 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 20 18 4 5 3 10 11 9 16 17 15 1 2 0 7 8 6 13 14 12
20 18 19 11 9 10 2 0 1 14 12 13 5 3 4 17 15 16 8 6 7
