2 22
Z2xZ11
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
1 2 3 4 5 6 7 8 9 10 0 12 13 14 15 16 17 18 19 20 21 11
2 3 4 5 6 7 8 9 10 0 1 13 14 15 16 17 18 19 20 21 11 12
3 4 5 6 7 8 9 10 0 1 2 14 15 16 17 18 19 20 21 11 12 13
4 5 6 7 8 9 10 0 1 2 3 15 16 17 18 19 20 21 11 12 13 14
5 6 7 8 9 10 0 1 2 3 4 16 17 18 19 20 21 11 12 13 14 15
6 7 8 9 10 0 1 2 3 4 5 17 18 19 20 21 11 12 13 14 15 16
7 8 9 10 0 1 2 3 4 5 6 18 19 20 21 11 12 13 14 15 16 17
8 9 10 0 1 2 3 4 5 6 7 19 20 21 11 12 13 14 15 16 17 18
9 10 0 1 2 3 4 5 6 7 8 20 21 11 12 13 14 15 16 17 18 19
10 0 1 2 3 4 5 6 7 8 9 21 11 12 13 14 15 16 17 18 19 20
11 12 13 14 15 16 17 18 19 20 21 0 1 2 3 4 5 6 7 8 9 10
12 13 14 15 16 17 18 19 20 21 11 1 2 3 4 5 6 7 8 9 10 0
13 14 15 16 17 18 19 20 21 11 12 2 3 4 5 6 7 8 9 10 0 1
14 15 16 17 18 19 20 21 11 12 13 3 4 5 6 7 8 9 10 0 1 2
15 16 17 18 19 20 21 11 12 13 14 4 5 6 7 8 9 10 0 1 2 3
16 17 18 19 20 21 11 12 13 14 15 5 6 7 8 9 10 0 1 2 3 4
17 18 19 20 21 11 12 13 14 15 16 6 7 8 9 10 0 1 2 3 4 5
18 19 20 21 11 12 13 14 15 16 17 7 8 9 10 0 1 2 3 4 5 6
19 20 21 11 12 13 14 15 16 17 18 8 9 10 0 1 2 3 4 5 6 7
20 21 11 12 13 14 15 16 17 18 19 9 10 0 1 2 3 4 5 6 7 8
21 11 12 13 14 15 16 17 18 19 20 10 0 1 2 3 4 5 6 7 8 9
D22
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
1 0 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 0 1
3 2 1 0 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 0 1 2 3
5 4 3 2 1 0 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 0 1 2 3 4 5
7 6 5 4 3 2 1 0 21 20 19 18 17 16 15 14 13 12 11 10 9 8
8 9 10 11 12 13 14 15 16 17 18 19 20 21 0 1 2 3 4 5 6 7
9 8 7 6 5 4 3 2 1 0 21 20 19 18 17 16 15 14 13 12 11 10
10 11 12 13 14 15 16 17 18 19 20 21 0 1 2 3 4 5 6 7 8 9
11 10 9 8 7 6 5 4 3 2 1 0 21 20 19 18 17 16 15 14 13 12
12 13 14 15 16 17 18 19 20 21 0 1 2 3 4 5 6 7 8 9 10 11
13 12 11 10 9 8 7 6 5 4 3 2 1 0 21 20 19 18 17 16 15 14
14 15 16 17 18 19 20 21 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 21 20 19 18 17 16
16 17 18 19 20 21 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 21 20 19 18
18 19 20 21 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 21 20
20 21 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
