2 26
Z2xZ13
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
1 2 3 4 5 6 7 8 9 10 11 12 0 14 15 16 17 18 19 20 21 22 23 24 25 13
2 3 4 5 6 7 8 9 10 11 12 0 1 15 16 17 18 19 20 21 22 23 24 25 13 14
3 4 5 6 7 8 9 10 11 12 0 1 2 16 17 18 19 20 21 22 23 24 25 13 14 15
4 5 6 7 8 9 10 11 12 0 1 2 3 17 18 19 20 21 22 23 24 25 13 14 15 16
5 6 7 8 9 10 11 12 0 1 2 3 4 18 19 20 21 22 23 24 25 13 14 15 16 17
6 7 8 9 10 11 12 0 1 2 3 4 5 19 20 21 22 23 24 25 13 14 15 16 17 18
7 8 9 10 11 12 0 1 2 3 4 5 6 20 21 22 23 24 25 13 14 15 16 17 18 19
8 9 10 11 12 0 1 2 3 4 5 6 7 21 22 23 24 25 13 14 15 16 17 18 19 20
9 10 11 12 0 1 2 3 4 5 6 7 8 22 23 24 25 13 14 15 16 17 18 19 20 21
10 11 12 0 1 2 3 4 5 6 7 8 9 23 24 25 13 14 15 16 17 18 19 20 21 22
11 12 0 1 2 3 4 5 6 7 8 9 10 24 25 13 14 15 16 17 18 19 20 21 22 23
12 0 1 2 3 4 5 6 7 8 9 10 11 25 13 14 15 16 17 18 19 20 21 22 23 24
13 14 15 16 17 18 19 20 21 22 23 24 25 0 1 2 3 4 5 6 7 8 9 10 11 12
14 15 16 17 18 19 20 21 22 23 24 25 13 1 2 3 4 5 6 7 8 9 10 11 12 0
15 16 17 18 19 20 21 22 23 24 25 13 14 2 3 4 5 6 7 8 9 10 11 12 0 1
16 17 18 19 20 21 22 23 24 25 13 14 15 3 4 5 6 7 8 9 10 11 12 0 1 2
17 18 19 20 21 22 23 24 25 13 14 15 16 4 5 6 7 8 9 10 11 12 0 1 2 3
18 19 20 21 22 23 24 25 13 14 15 16 17 5 6 7 8 9 10 11 12 0 1 2 3 4
19 20 21 22 23 24 25 13 14 15 16 17 18 6 7 8 9 10 11 12 0 1 2 3 4 5
20 21 22 23 24 25 13 14 15 16 17 18 19 7 8 9 10 11 12 0 1 2 3 4 5 6
21 22 23 24 25 13 14 15 16 17 18 19 20 8 9 10 11 12 0 1 2 3 4 5 6 7
22 23 24 25 13 14 15 16 17 18 19 20 21 9 10 11 12 0 1 2 3 4 5 6 7 8
23 24 25 13 14 15 16 17 18 19 20 21 22 10 11 12 0 1 2 3 4 5 6 7 8 9
24 25 13 14 15 16 17 18 19 20 21 22 23 11 12 0 1 2 3 4 5 6 7 8 9 10
25 13 14 15 16 17 18 19 20 21 22 23 24 12 0 1 2 3 4 5 6 7 8 9 10 11
D26
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
1 0 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 0 1
3 2 1 0 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 0 1 2 3
5 4 3 2 1 0 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 0 1 2 3 4 5
7 6 5 4 3 2 1 0 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 0 1 2 3 4 5 6 7
9 8 7 6 5 4 3 2 1 0 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 0 1 2 3 4 5 6 7 8 9
11 10 9 8 7 6 5 4 3 2 1 0 25 24 23 22 21 20 19 18 17 16 15 14 13 12
12 13 14 15 16 17 18 19 20 21 22 23 24 25 0 1 2 3 4 5 6 7 8 9 10 11
13 12 11 10 9 8 7 6 5 4 3 2 1 0 25 24 23 22 21 20 19 18 17 16 15 14
14 15 16 17 18 19 20 21 22 23 24 25 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 25 24 23 22 21 20 19 18 17 16
16 17 18 19 20 21 22 23 24 25 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 25 24 23 22 21 20 19 18
18 19 20 21 22 23 24 25 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 25 24 23 22 21 20
20 21 22 23 24 25 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 25 24 23 22
22 23 24 25 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 25 24
24 25 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
