4 28
Z4xZ7
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
1 2 3 4 5 6 0 8 9 10 11 12 13 7 15 16 17 18 19 20 14 22 23 24 25 26 27 21
2 3 4 5 6 0 1 9 10 11 12 13 7 8 16 17 18 19 20 14 15 23 24 25 26 27 21 22
3 4 5 6 0 1 2 10 11 12 13 7 8 9 17 18 19 20 14 15 16 24 25 26 27 21 22 23
4 5 6 0 1 2 3 11 12 13 7 8 9 10 18 19 20 14 15 16 17 25 26 27 21 22 23 24
5 6 0 1 2 3 4 12 13 7 8 9 10 11 19 20 14 15 16 17 18 26 27 21 22 23 24 25
6 0 1 2 3 4 5 13 7 8 9 10 11 12 20 14 15 16 17 18 19 27 21 22 23 24 25 26
7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 0 1 2 3 4 5 6
8 9 10 11 12 13 7 15 16 17 18 19 20 14 22 23 24 25 26 27 21 1 2 3 4 5 6 0
9 10 11 12 13 7 8 16 17 18 19 20 14 15 23 24 25 26 27 21 22 2 3 4 5 6 0 1
10 11 12 13 7 8 9 17 18 19 20 14 15 16 24 25 26 27 21 22 23 3 4 5 6 0 1 2
11 12 13 7 8 9 10 18 19 20 14 15 16 17 25 26 27 21 22 23 24 4 5 6 0 1 2 3
12 13 7 8 9 10 11 19 20 14 15 16 17 18 26 27 21 22 23 24 25 5 6 0 1 2 3 4
13 7 8 9 10 11 12 20 14 15 16 17 18 19 27 21 22 23 24 25 26 6 0 1 2 3 4 5
14 15 16 17 18 19 20 21 22 23 24 25 26 27 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 16 17 18 19 20 14 22 23 24 25 26 27 21 1 2 3 4 5 6 0 8 9 10 11 12 13 7
16 17 18 19 20 14 15 23 24 25 26 27 21 22 2 3 4 5 6 0 1 9 10 11 12 13 7 8
17 18 19 20 14 15 16 24 25 26 27 21 22 23 3 4 5 6 0 1 2 10 11 12 13 7 8 9
18 19 20 14 15 16 17 25 26 27 21 22 23 24 4 5 6 0 1 2 3 11 12 13 7 8 9 10
19 20 14 15 16 17 18 26 27 21 22 23 24 25 5 6 0 1 2 3 4 12 13 7 8 9 10 11
20 14 15 16 17 18 19 27 21 22 23 24 25 26 6 0 1 2 3 4 5 13 7 8 9 10 11 12
21 22 23 24 25 26 27 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
22 23 24 25 26 27 21 1 2 3 4 5 6 0 8 9 10 11 12 13 7 15 16 17 18 19 20 14
23 24 25 26 27 21 22 2 3 4 5 6 0 1 9 10 11 12 13 7 8 16 17 18 19 20 14 15
24 25 26 27 21 22 23 3 4 5 6 0 1 2 10 11 12 13 7 8 9 17 18 19 20 14 15 16
25 26 27 21 22 23 24 4 5 6 0 1 2 3 11 12 13 7 8 9 10 18 19 20 14 15 16 17
26 27 21 22 23 24 25 5 6 0 1 2 3 4 12 13 7 8 9 10 11 19 20 14 15 16 17 18
27 21 22 23 24 25 26 6 0 1 2 3 4 5 13 7 8 9 10 11 12 20 14 15 16 17 18 19
Z2xZ2xZ7
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
1 2 3 4 5 6 0 8 9 10 11 12 13 7 15 16 17 18 19 20 14 22 23 24 25 26 27 21
2 3 4 5 6 0 1 9 10 11 12 13 7 8 16 17 18 19 20 14 15 23 24 25 26 27 21 22
3 4 5 6 0 1 2 10 11 12 13 7 8 9 17 18 19 20 14 15 16 24 25 26 27 21 22 23
4 5 6 0 1 2 3 11 12 13 7 8 9 10 18 19 20 14 15 16 17 25 26 27 21 22 23 24
5 6 0 1 2 3 4 12 13 7 8 9 10 11 19 20 14 15 16 17 18 26 27 21 22 23 24 25
6 0 1 2 3 4 5 13 7 8 9 10 11 12 20 14 15 16 17 18 19 27 21 22 23 24 25 26
7 8 9 10 11 12 13 0 1 2 3 4 5 6 21 22 23 24 25 26 27 14 15 16 17 18 19 20
8 9 10 11 12 13 7 1 2 3 4 5 6 0 22 23 24 25 26 27 21 15 16 17 18 19 20 14
9 10 11 12 13 7 8 2 3 4 5 6 0 1 23 24 25 26 27 21 22 16 17 18 19 20 14 15
10 11 12 13 7 8 9 3 4 5 6 0 1 2 24 25 26 27 21 22 23 17 18 19 20 14 15 16
11 12 13 7 8 9 10 4 5 6 0 1 2 3 25 26 27 21 22 23 24 18 19 20 14 15 16 17
12 13 7 8 9 10 11 5 6 0 1 2 3 4 26 27 21 22 23 24 25 19 20 14 15 16 17 18
13 7 8 9 10 11 12 6 0 1 2 3 4 5 27 21 22 23 24 25 26 20 14 15 16 17 18 19
14 15 16 17 18 19 20 21 22 23 24 25 26 27 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 16 17 18 19 20 14 22 23 24 25 26 27 21 1 2 3 4 5 6 0 8 9 10 11 12 13 7
16 17 18 19 20 14 15 23 24 25 26 27 21 22 2 3 4 5 6 0 1 9 10 11 12 13 7 8
17 18 19 20 14 15 16 24 25 26 27 21 22 23 3 4 5 6 0 1 2 10 11 12 13 7 8 9
18 19 20 14 15 16 17 25 26 27 21 22 23 24 4 5 6 0 1 2 3 11 12 13 7 8 9 10
19 20 14 15 16 17 18 26 27 21 22 23 24 25 5 6 0 1 2 3 4 12 13 7 8 9 10 11
20 14 15 16 17 18 19 27 21 22 23 24 25 26 6 0 1 2 3 4 5 13 7 8 9 10 11 12
21 22 23 24 25 26 27 14 15 16 17 18 19 20 7 8 9 10 11 12 13 0 1 2 3 4 5 6
22 23 24 25 26 27 21 15 16 17 18 19 20 14 8 9 10 11 12 13 7 1 2 3 4 5 6 0
23 24 25 26 27 21 22 16 17 18 19 20 14 15 9 10 11 12 13 7 8 2 3 4 5 6 0 1
24 25 26 27 21 22 23 17 18 19 20 14 15 16 10 11 12 13 7 8 9 3 4 5 6 0 1 2
25 26 27 21 22 23 24 18 19 20 14 15 16 17 11 12 13 7 8 9 10 4 5 6 0 1 2 3
26 27 21 22 23 24 25 19 20 14 15 16 17 18 12 13 7 8 9 10 11 5 6 0 1 2 3 4
27 21 22 23 24 25 26 20 14 15 16 17 18 19 13 7 8 9 10 11 12 6 0 1 2 3 4 5
D28
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
