4 30
Z2xZ3xZ5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25
2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26
3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27
4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28
5 6 7 8 9 10 11 12 13 14 0 1 2 3 4 20 21 22 23 24 25 26 27 28 29 15 16 17 18 19
6 7 8 9 5 11 12 13 14 10 1 2 3 4 0 21 22 23 24 20 26 27 28 29 25 16 17 18 19 15
7 8 9 5 6 12 13 14 10 11 2 3 4 0 1 22 23 24 20 21 27 28 29 25 26 17 18 19 15 16
8 9 5 6 7 13 14 10 11 12 3 4 0 1 2 23 24 20 21 22 28 29 25 26 27 18 19 15 16 17
9 5 6 7 8 14 10 11 12 13 4 0 1 2 3 24 20 21 22 23 29 25 26 27 28 19 15 16 17 18
10 11 12 13 14 0 1 2 3 4 5 6 7 8 9 25 26 27 28 29 15 16 17 18 19 20 21 22 23 24
11 12 13 14 10 1 2 3 4 0 6 7 8 9 5 26 27 28 29 25 16 17 18 19 15 21 22 23 24 20
12 13 14 10 11 2 3 4 0 1 7 8 9 5 6 27 28 29 25 26 17 18 19 15 16 22 23 24 20 21
13 14 10 11 12 3 4 0 1 2 8 9 5 6 7 28 29 25 26 27 18 19 15 16 17 23 24 20 21 22
14 10 11 12 13 4 0 1 2 3 9 5 6 7 8 29 25 26 27 28 19 15 16 17 18 24 20 21 22 23
15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10
17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11
18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12
19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13
20 21 22 23 24 25 26 27 28 29 15 16 17 18 19 5 6 7 8 9 10 11 12 13 14 0 1 2 3 4
21 22 23 24 20 26 27 28 29 25 16 17 18 19 15 6 7 8 9 5 11 12 13 14 10 1 2 3 4 0
22 23 24 20 21 27 28 29 25 26 17 18 19 15 16 7 8 9 5 6 12 13 14 10 11 2 3 4 0 1
23 24 20 21 22 28 29 25 26 27 18 19 15 16 17 8 9 5 6 7 13 14 10 11 12 3 4 0 1 2
24 20 21 22 23 29 25 26 27 28 19 15 16 17 18 9 5 6 7 8 14 10 11 12 13 4 0 1 2 3
25 26 27 28 29 15 16 17 18 19 20 21 22 23 24 10 11 12 13 14 0 1 2 3 4 5 6 7 8 9
26 27 28 29 25 16 17 18 19 15 21 22 23 24 20 11 12 13 14 10 1 2 3 4 0 6 7 8 9 5
27 28 29 25 26 17 18 19 15 16 22 23 24 20 21 12 13 14 10 11 2 3 4 0 1 7 8 9 5 6
28 29 25 26 27 18 19 15 16 17 23 24 20 21 22 13 14 10 11 12 3 4 0 1 2 8 9 5 6 7
29 25 26 27 28 19 15 16 17 18 24 20 21 22 23 14 10 11 12 13 4 0 1 2 3 9 5 6 7 8
D30
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
1 0 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 0 1
3 2 1 0 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 0 1 2 3
5 4 3 2 1 0 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 0 1 2 3 4 5
7 6 5 4 3 2 1 0 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 0 1 2 3 4 5 6 7
9 8 7 6 5 4 3 2 1 0 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 0 1 2 3 4 5 6 7 8 9
11 10 9 8 7 6 5 4 3 2 1 0 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 0 1 2 3 4 5 6 7 8 9 10 11
13 12 11 10 9 8 7 6 5 4 3 2 1 0 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 29 28 27 26 25 24 23 22 21 20 19 18 17 16
16 17 18 19 20 21 22 23 24 25 26 27 28 29 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 29 28 27 26 25 24 23 22 21 20 19 18
18 19 20 21 22 23 24 25 26 27 28 29 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 29 28 27 26 25 24 23 22 21 20
20 21 22 23 24 25 26 27 28 29 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 29 28 27 26 25 24 23 22
22 23 24 25 26 27 28 29 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 29 28 27 26 25 24
24 25 26 27 28 29 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 29 28 27 26
26 27 28 29 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 29 28
28 29 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
Z3:Z2xZ5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25
2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26
3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27
4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28
5 6 7 8 9 0 1 2 3 4 25 26 27 28 29 20 21 22 23 24 15 16 17 18 19 10 11 12 13 14
6 7 8 9 5 1 2 3 4 0 26 27 28 29 25 21 22 23 24 20 16 17 18 19 15 11 12 13 14 10
7 8 9 5 6 2 3 4 0 1 27 28 29 25 26 22 23 24 20 21 17 18 19 15 16 12 13 14 10 11
8 9 5 6 7 3 4 0 1 2 28 29 25 26 27 23 24 20 21 22 18 19 15 16 17 13 14 10 11 12
9 5 6 7 8 4 0 1 2 3 29 25 26 27 28 24 20 21 22 23 19 15 16 17 18 14 10 11 12 13
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 0 1 2 3 4 5 6 7 8 9
11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 1 2 3 4 0 6 7 8 9 5
12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 2 3 4 0 1 7 8 9 5 6
13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 3 4 0 1 2 8 9 5 6 7
14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 4 0 1 2 3 9 5 6 7 8
15 16 17 18 19 10 11 12 13 14 5 6 7 8 9 0 1 2 3 4 25 26 27 28 29 20 21 22 23 24
