1 33
Z3xZ11
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
1 2 3 4 5 6 7 8 9 10 0 12 13 14 15 16 17 18 19 20 21 11 23 24 25 26 27 28 29 30 31 32 22
2 3 4 5 6 7 8 9 10 0 1 13 14 15 16 17 18 19 20 21 11 12 24 25 26 27 28 29 30 31 32 22 23
3 4 5 6 7 8 9 10 0 1 2 14 15 16 17 18 19 20 21 11 12 13 25 26 27 28 29 30 31 32 22 23 24
4 5 6 7 8 9 10 0 1 2 3 15 16 17 18 19 20 21 11 12 13 14 26 27 28 29 30 31 32 22 23 24 25
5 6 7 8 9 10 0 1 2 3 4 16 17 18 19 20 21 11 12 13 14 15 27 28 29 30 31 32 22 23 24 25 26
6 7 8 9 10 0 1 2 3 4 5 17 18 19 20 21 11 12 13 14 15 16 28 29 30 31 32 22 23 24 25 26 27
7 8 9 10 0 1 2 3 4 5 6 18 19 20 21 11 12 13 14 15 16 17 29 30 31 32 22 23 24 25 26 27 28
8 9 10 0 1 2 3 4 5 6 7 19 20 21 11 12 13 14 15 16 17 18 30 31 32 22 23 24 25 26 27 28 29
9 10 0 1 2 3 4 5 6 7 8 20 21 11 12 13 14 15 16 17 18 19 31 32 22 23 24 25 26 27 28 29 30
10 0 1 2 3 4 5 6 7 8 9 21 11 12 13 14 15 16 17 18 19 20 32 22 23 24 25 26 27 28 29 30 31
11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 0 1 2 3 4 5 6 7 8 9 10
12 13 14 15 16 17 18 19 20 21 11 23 24 25 26 27 28 29 30 31 32 22 1 2 3 4 5 6 7 8 9 10 0
13 14 15 16 17 18 19 20 21 11 12 24 25 26 27 28 29 30 31 32 22 23 2 3 4 5 6 7 8 9 10 0 1
14 15 16 17 18 19 20 21 11 12 13 25 26 27 28 29 30 31 32 22 23 24 3 4 5 6 7 8 9 10 0 1 2
15 16 17 18 19 20 21 11 12 13 14 26 27 28 29 30 31 32 22 23 24 25 4 5 6 7 8 9 10 0 1 2 3
16 17 18 19 20 21 11 12 13 14 15 27 28 29 30 31 32 22 23 24 25 26 5 6 7 8 9 10 0 1 2 3 4
17 18 19 20 21 11 12 13 14 15 16 28 29 30 31 32 22 23 24 25 26 27 6 7 8 9 10 0 1 2 3 4 5
18 19 20 21 11 12 13 14 15 16 17 29 30 31 32 22 23 24 25 26 27 28 7 8 9 10 0 1 2 3 4 5 6
19 20 21 11 12 13 14 15 16 17 18 30 31 32 22 23 24 25 26 27 28 29 8 9 10 0 1 2 3 4 5 6 7
20 21 11 12 13 14 15 16 17 18 19 31 32 22 23 24 25 26 27 28 29 30 9 10 0 1 2 3 4 5 6 7 8
21 11 12 13 14 15 16 17 18 19 20 32 22 23 24 25 26 27 28 29 30 31 10 0 1 2 3 4 5 6 7 8 9
22 23 24 25 26 27 28 29 30 31 32 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
23 24 25 26 27 28 29 30 31 32 22 1 2 3 4 5 6 7 8 9 10 0 12 13 14 15 16 17 18 19 20 21 11
24 25 26 27 28 29 30 31 32 22 23 2 3 4 5 6 7 8 9 10 0 1 13 14 15 16 17 18 19 20 21 11 12
25 26 27 28 29 30 31 32 22 23 24 3 4 5 6 7 8 9 10 0 1 2 14 15 16 17 18 19 20 21 11 12 13
26 27 28 29 30 31 32 22 23 24 25 4 5 6 7 8 9 10 0 1 2 3 15 16 17 18 19 20 21 11 12 13 14
27 28 29 30 31 32 22 23 24 25 26 5 6 7 8 9 10 0 1 2 3 4 16 17 18 19 20 21 11 12 13 14 15
28 29 30 31 32 22 23 24 25 26 27 6 7 8 9 10 0 1 2 3 4 5 17 18 19 20 21 11 12 13 14 15 16
29 30 31 32 22 23 24 25 26 27 28 7 8 9 10 0 1 2 3 4 5 6 18 19 20 21 11 12 13 14 15 16 17
30 31 32 22 23 24 25 26 27 28 29 8 9 10 0 1 2 3 4 5 6 7 19 20 21 11 12 13 14 15 16 17 18
31 32 22 23 24 25 26 27 28 29 30 9 10 0 1 2 3 4 5 6 7 8 20 21 11 12 13 14 15 16 17 18 19
32 22 23 24 25 26 27 28 29 30 31 10 0 1 2 3 4 5 6 7 8 9 21 11 12 13 14 15 16 17 18 19 20
