2 34
Z2xZ17
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 0 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 17
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 0 1 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 17 18
3 4 5 6 7 8 9 10 11 12 13 14 15 16 0 1 2 20 21 22 23 24 25 26 27 28 29 30 31 32 33 17 18 19
4 5 6 7 8 9 10 11 12 13 14 15 16 0 1 2 3 21 22 23 24 25 26 27 28 29 30 31 32 33 17 18 19 20
5 6 7 8 9 10 11 12 13 14 15 16 0 1 2 3 4 22 23 24 25 26 27 28 29 30 31 32 33 17 18 19 20 21
6 7 8 9 10 11 12 13 14 15 16 0 1 2 3 4 5 23 24 25 26 27 28 29 30 31 32 33 17 18 19 20 21 22
7 8 9 10 11 12 13 14 15 16 0 1 2 3 4 5 6 24 25 26 27 28 29 30 31 32 33 17 18 19 20 21 22 23
8 9 10 11 12 13 14 15 16 0 1 2 3 4 5 6 7 25 26 27 28 29 30 31 32 33 17 18 19 20 21 22 23 24
9 10 11 12 13 14 15 16 0 1 2 3 4 5 6 7 8 26 27 28 29 30 31 32 33 17 18 19 20 21 22 23 24 25
10 11 12 13 14 15 16 0 1 2 3 4 5 6 7 8 9 27 28 29 30 31 32 33 17 18 19 20 21 22 23 24 25 26
11 12 13 14 15 16 0 1 2 3 4 5 6 7 8 9 10 28 29 30 31 32 33 17 18 19 20 21 22 23 24 25 26 27
12 13 14 15 16 0 1 2 3 4 5 6 7 8 9 10 11 29 30 31 32 33 17 18 19 20 21 22 23 24 25 26 27 28
13 14 15 16 0 1 2 3 4 5 6 7 8 9 10 11 12 30 31 32 33 17 18 19 20 21 22 23 24 25 26 27 28 29
14 15 16 0 1 2 3 4 5 6 7 8 9 10 11 12 13 31 32 33 17 18 19 20 21 22 23 24 25 26 27 28 29 30
15 16 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 32 33 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
16 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 33 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 17 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 0
19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 17 18 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 0 1
20 21 22 23 24 25 26 27 28 29 30 31 32 33 17 18 19 3 4 5 6 7 8 9 10 11 12 13 14 15 16 0 1 2
21 22 23 24 25 26 27 28 29 30 31 32 33 17 18 19 20 4 5 6 7 8 9 10 11 12 13 14 15 16 0 1 2 3
22 23 24 25 26 27 28 29 30 31 32 33 17 18 19 20 21 5 6 7 8 9 10 11 12 13 14 15 16 0 1 2 3 4
23 24 25 26 27 28 29 30 31 32 33 17 18 19 20 21 22 6 7 8 9 10 11 12 13 14 15 16 0 1 2 3 4 5
24 25 26 27 28 29 30 31 32 33 17 18 19 20 21 22 23 7 8 9 10 11 12 13 14 15 16 0 1 2 3 4 5 6
25 26 27 28 29 30 31 32 33 17 18 19 20 21 22 23 24 8 9 10 11 12 13 14 15 16 0 1 2 3 4 5 6 7
26 27 28 29 30 31 32 33 17 18 19 20 21 22 23 24 25 9 10 11 12 13 14 15 16 0 1 2 3 4 5 6 7 8
27 28 29 30 31 32 33 17 18 19 20 21 22 23 24 25 26 10 11 12 13 14 15 16 0 1 2 3 4 5 6 7 8 9
28 29 30 31 32 33 17 18 19 20 21 22 23 24 25 26 27 11 12 13 14 15 16 0 1 2 3 4 5 6 7 8 9 10
29 30 31 32 33 17 18 19 20 21 22 23 24 25 26 27 28 12 13 14 15 16 0 1 2 3 4 5 6 7 8 9 10 11
30 31 32 33 17 18 19 20 21 22 23 24 25 26 27 28 29 13 14 15 16 0 1 2 3 4 5 6 7 8 9 10 11 12
31 32 33 17 18 19 20 21 22 23 24 25 26 27 28 29 30 14 15 16 0 1 2 3 4 5 6 7 8 9 10 11 12 13
32 33 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 15 16 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
33 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 16 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
D34
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
1 0 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 0 1
3 2 1 0 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 0 1 2 3
5 4 3 2 1 0 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 0 1 2 3 4 5
7 6 5 4 3 2 1 0 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 0 1 2 3 4 5 6 7
9 8 7 6 5 4 3 2 1 0 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 0 1 2 3 4 5 6 7 8 9
11 10 9 8 7 6 5 4 3 2 1 0 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12
12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 0 1 2 3 4 5 6 7 8 9 10 11
13 12 11 10 9 8 7 6 5 4 3 2 1 0 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16
16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 33 32 31 30 29 28 27 26 25 24 23 22 21 20
