1 35
Z5xZ7
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
1 2 3 4 5 6 0 8 9 10 11 12 13 7 15 16 17 18 19 20 14 22 23 24 25 26 27 21 29 30 31 32 33 34 28
2 3 4 5 6 0 1 9 10 11 12 13 7 8 16 17 18 19 20 14 15 23 24 25 26 27 21 22 30 31 32 33 34 28 29
3 4 5 6 0 1 2 10 11 12 13 7 8 9 17 18 19 20 14 15 16 24 25 26 27 21 22 23 31 32 33 34 28 29 30
4 5 6 0 1 2 3 11 12 13 7 8 9 10 18 19 20 14 15 16 17 25 26 27 21 22 23 24 32 33 34 28 29 30 31
5 6 0 1 2 3 4 12 13 7 8 9 10 11 19 20 14 15 16 17 18 26 27 21 22 23 24 25 33 34 28 29 30 31 32
6 0 1 2 3 4 5 13 7 8 9 10 11 12 20 14 15 16 17 18 19 27 21 22 23 24 25 26 34 28 29 30 31 32 33
7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 0 1 2 3 4 5 6
8 9 10 11 12 13 7 15 16 17 18 19 20 14 22 23 24 25 26 27 21 29 30 31 32 33 34 28 1 2 3 4 5 6 0
9 10 11 12 13 7 8 16 17 18 19 20 14 15 23 24 25 26 27 21 22 30 31 32 33 34 28 29 2 3 4 5 6 0 1
10 11 12 13 7 8 9 17 18 19 20 14 15 16 24 25 26 27 21 22 23 31 32 33 34 28 29 30 3 4 5 6 0 1 2
11 12 13 7 8 9 10 18 19 20 14 15 16 17 25 26 27 21 22 23 24 32 33 34 28 29 30 31 4 5 6 0 1 2 3
12 13 7 8 9 10 11 19 20 14 15 16 17 18 26 27 21 22 23 24 25 33 34 28 29 30 31 32 5 6 0 1 2 3 4
13 7 8 9 10 11 12 20 14 15 16 17 18 19 27 21 22 23 24 25 26 34 28 29 30 31 32 33 6 0 1 2 3 4 5
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 0 1 2 3 4 5 6 7 8 9 10 11 12 13
15 16 17 18 19 20 14 22 23 24 25 26 27 21 29 30 31 32 33 34 28 1 2 3 4 5 6 0 8 9 10 11 12 13 7
16 17 18 19 20 14 15 23 24 25 26 27 21 22 30 31 32 33 34 28 29 2 3 4 5 6 0 1 9 10 11 12 13 7 8
17 18 19 20 14 15 16 24 25 26 27 21 22 23 31 32 33 34 28 29 30 3 4 5 6 0 1 2 10 11 12 13 7 8 9
18 19 20 14 15 16 17 25 26 27 21 22 23 24 32 33 34 28 29 30 31 4 5 6 0 1 2 3 11 12 13 7 8 9 10
19 20 14 15 16 17 18 26 27 21 22 23 24 25 33 34 28 29 30 31 32 5 6 0 1 2 3 4 12 13 7 8 9 10 11
20 14 15 16 17 18 19 27 21 22 23 24 25 26 34 28 29 30 31 32 33 6 0 1 2 3 4 5 13 7 8 9 10 11 12
21 22 23 24 25 26 27 28 29 30 31 32 33 34 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
22 23 24 25 26 27 21 29 30 31 32 33 34 28 1 2 3 4 5 6 0 8 9 10 11 12 13 7 15 16 17 18 19 20 14
23 24 25 26 27 21 22 30 31 32 33 34 28 29 2 3 4 5 6 0 1 9 10 11 12 13 7 8 16 17 18 19 20 14 15
24 25 26 27 21 22 23 31 32 33 34 28 29 30 3 4 5 6 0 1 2 10 11 12 13 7 8 9 17 18 19 20 14 15 16
25 26 27 21 22 23 24 32 33 34 28 29 30 31 4 5 6 0 1 2 3 11 12 13 7 8 9 10 18 19 20 14 15 16 17
26 27 21 22 23 24 25 33 34 28 29 30 31 32 5 6 0 1 2 3 4 12 13 7 8 9 10 11 19 20 14 15 16 17 18
27 21 22 23 24 25 26 34 28 29 30 31 32 33 6 0 1 2 3 4 5 13 7 8 9 10 11 12 20 14 15 16 17 18 19
28 29 30 31 32 33 34 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27
29 30 31 32 33 34 28 1 2 3 4 5 6 0 8 9 10 11 12 13 7 15 16 17 18 19 20 14 22 23 24 25 26 27 21
30 31 32 33 34 28 29 2 3 4 5 6 0 1 9 10 11 12 13 7 8 16 17 18 19 20 14 15 23 24 25 26 27 21 22
31 32 33 34 28 29 30 3 4 5 6 0 1 2 10 11 12 13 7 8 9 17 18 19 20 14 15 16 24 25 26 27 21 22 23
32 33 34 28 29 30 31 4 5 6 0 1 2 3 11 12 13 7 8 9 10 18 19 20 14 15 16 17 25 26 27 21 22 23 24
33 34 28 29 30 31 32 5 6 0 1 2 3 4 12 13 7 8 9 10 11 19 20 14 15 16 17 18 26 27 21 22 23 24 25
34 28 29 30 31 32 33 6 0 1 2 3 4 5 13 7 8 9 10 11 12 20 14 15 16 17 18 19 27 21 22 23 24 25 26
