14 36
Z4xZ9
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
1 2 3 4 5 6 7 8 0 10 11 12 13 14 15 16 17 9 19 20 21 22 23 24 25 26 18 28 29 30 31 32 33 34 35 27
2 3 4 5 6 7 8 0 1 11 12 13 14 15 16 17 9 10 20 21 22 23 24 25 26 18 19 29 30 31 32 33 34 35 27 28
3 4 5 6 7 8 0 1 2 12 13 14 15 16 17 9 10 11 21 22 23 24 25 26 18 19 20 30 31 32 33 34 35 27 28 29
4 5 6 7 8 0 1 2 3 13 14 15 16 17 9 10 11 12 22 23 24 25 26 18 19 20 21 31 32 33 34 35 27 28 29 30
5 6 7 8 0 1 2 3 4 14 15 16 17 9 10 11 12 13 23 24 25 26 18 19 20 21 22 32 33 34 35 27 28 29 30 31
6 7 8 0 1 2 3 4 5 15 16 17 9 10 11 12 13 14 24 25 26 18 19 20 21 22 23 33 34 35 27 28 29 30 31 32
7 8 0 1 2 3 4 5 6 16 17 9 10 11 12 13 14 15 25 26 18 19 20 21 22 23 24 34 35 27 28 29 30 31 32 33
8 0 1 2 3 4 5 6 7 17 9 10 11 12 13 14 15 16 26 18 19 20 21 22 23 24 25 35 27 28 29 30 31 32 33 34
9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8
10 11 12 13 14 15 16 17 9 19 20 21 22 23 24 25 26 18 28 29 30 31 32 33 34 35 27 1 2 3 4 5 6 7 8 0
11 12 13 14 15 16 17 9 10 20 21 22 23 24 25 26 18 19 29 30 31 32 33 34 35 27 28 2 3 4 5 6 7 8 0 1
12 13 14 15 16 17 9 10 11 21 22 23 24 25 26 18 19 20 30 31 32 33 34 35 27 28 29 3 4 5 6 7 8 0 1 2
13 14 15 16 17 9 10 11 12 22 23 24 25 26 18 19 20 21 31 32 33 34 35 27 28 29 30 4 5 6 7 8 0 1 2 3
14 15 16 17 9 10 11 12 13 23 24 25 26 18 19 20 21 22 32 33 34 35 27 28 29 30 31 5 6 7 8 0 1 2 3 4
15 16 17 9 10 11 12 13 14 24 25 26 18 19 20 21 22 23 33 34 35 27 28 29 30 31 32 6 7 8 0 1 2 3 4 5
16 17 9 10 11 12 13 14 15 25 26 18 19 20 21 22 23 24 34 35 27 28 29 30 31 32 33 7 8 0 1 2 3 4 5 6
17 9 10 11 12 13 14 15 16 26 18 19 20 21 22 23 24 25 35 27 28 29 30 31 32 33 34 8 0 1 2 3 4 5 6 7
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 20 21 22 23 24 25 26 18 28 29 30 31 32 33 34 35 27 1 2 3 4 5 6 7 8 0 10 11 12 13 14 15 16 17 9
20 21 22 23 24 25 26 18 19 29 30 31 32 33 34 35 27 28 2 3 4 5 6 7 8 0 1 11 12 13 14 15 16 17 9 10
21 22 23 24 25 26 18 19 20 30 31 32 33 34 35 27 28 29 3 4 5 6 7 8 0 1 2 12 13 14 15 16 17 9 10 11
22 23 24 25 26 18 19 20 21 31 32 33 34 35 27 28 29 30 4 5 6 7 8 0 1 2 3 13 14 15 16 17 9 10 11 12
23 24 25 26 18 19 20 21 22 32 33 34 35 27 28 29 30 31 5 6 7 8 0 1 2 3 4 14 15 16 17 9 10 11 12 13
24 25 26 18 19 20 21 22 23 33 34 35 27 28 29 30 31 32 6 7 8 0 1 2 3 4 5 15 16 17 9 10 11 12 13 14
25 26 18 19 20 21 22 23 24 34 35 27 28 29 30 31 32 33 7 8 0 1 2 3 4 5 6 16 17 9 10 11 12 13 14 15
26 18 19 20 21 22 23 24 25 35 27 28 29 30 31 32 33 34 8 0 1 2 3 4 5 6 7 17 9 10 11 12 13 14 15 16
27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
28 29 30 31 32 33 34 35 27 1 2 3 4 5 6 7 8 0 10 11 12 13 14 15 16 17 9 19 20 21 22 23 24 25 26 18
29 30 31 32 33 34 35 27 28 2 3 4 5 6 7 8 0 1 11 12 13 14 15 16 17 9 10 20 21 22 23 24 25 26 18 19
30 31 32 33 34 35 27 28 29 3 4 5 6 7 8 0 1 2 12 13 14 15 16 17 9 10 11 21 22 23 24 25 26 18 19 20
31 32 33 34 35 27 28 29 30 4 5 6 7 8 0 1 2 3 13 14 15 16 17 9 10 11 12 22 23 24 25 26 18 19 20 21
32 33 34 35 27 28 29 30 31 5 6 7 8 0 1 2 3 4 14 15 16 17 9 10 11 12 13 23 24 25 26 18 19 20 21 22
33 34 35 27 28 29 30 31 32 6 7 8 0 1 2 3 4 5 15 16 17 9 10 11 12 13 14 24 25 26 18 19 20 21 22 23
34 35 27 28 29 30 31 32 33 7 8 0 1 2 3 4 5 6 16 17 9 10 11 12 13 14 15 25 26 18 19 20 21 22 23 24
35 27 28 29 30 31 32 33 34 8 0 1 2 3 4 5 6 7 17 9 10 11 12 13 14 15 16 26 18 19 20 21 22 23 24 25
Z4xZ3xZ3
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33
2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34
3 4 5 6 7 8 0 1 2 12 13 14 15 16 17 9 10 11 21 22 23 24 25 26 18 19 20 30 31 32 33 34 35 27 28 29
4 5 3 7 8 6 1 2 0 13 14 12 16 17 15 10 11 9 22 23 21 25 26 24 19 20 18 31 32 30 34 35 33 28 29 27
5 3 4 8 6 7 2 0 1 14 12 13 17 15 16 11 9 10 23 21 22 26 24 25 20 18 19 32 30 31 35 33 34 29 27 28
6 7 8 0 1 2 3 4 5 15 16 17 9 10 11 12 13 14 24 25 26 18 19 20 21 22 23 33 34 35 27 28 29 30 31 32
7 8 6 1 2 0 4 5 3 16 17 15 10 11 9 13 14 12 25 26 24 19 20 18 22 23 21 34 35 33 28 29 27 31 32 30
8 6 7 2 0 1 5 3 4 17 15 16 11 9 10 14 12 13 26 24 25 20 18 19 23 21 22 35 33 34 29 27 28 32 30 31
9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8
10 11 9 13 14 12 16 17 15 19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 1 2 0 4 5 3 7 8 6
11 9 10 14 12 13 17 15 16 20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 2 0 1 5 3 4 8 6 7
12 13 14 15 16 17 9 10 11 21 22 23 24 25 26 18 19 20 30 31 32 33 34 35 27 28 29 3 4 5 6 7 8 0 1 2
13 14 12 16 17 15 10 11 9 22 23 21 25 26 24 19 20 18 31 32 30 34 35 33 28 29 27 4 5 3 7 8 6 1 2 0
14 12 13 17 15 16 11 9 10 23 21 22 26 24 25 20 18 19 32 30 31 35 33 34 29 27 28 5 3 4 8 6 7 2 0 1
15 16 17 9 10 11 12 13 14 24 25 26 18 19 20 21 22 23 33 34 35 27 28 29 30 31 32 6 7 8 0 1 2 3 4 5
16 17 15 10 11 9 13 14 12 25 26 24 19 20 18 22 23 21 34 35 33 28 29 27 31 32 30 7 8 6 1 2 0 4 5 3
17 15 16 11 9 10 14 12 13 26 24 25 20 18 19 23 21 22 35 33 34 29 27 28 32 30 31 8 6 7 2 0 1 5 3 4
18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
19 20 18 22 23 21 25 26 24 28 29 27 31 32 30 34 35 33 1 2 0 4 5 3 7 8 6 10 11 9 13 14 12 16 17 15
20 18 19 23 21 22 26 24 25 29 27 28 32 30 31 35 33 34 2 0 1 5 3 4 8 6 7 11 9 10 14 12 13 17 15 16
21 22 23 24 25 26 18 19 20 30 31 32 33 34 35 27 28 29 3 4 5 6 7 8 0 1 2 12 13 14 15 16 17 9 10 11
22 23 21 25 26 24 19 20 18 31 32 30 34 35 33 28 29 27 4 5 3 7 8 6 1 2 0 13 14 12 16 17 15 10 11 9
23 21 22 26 24 25 20 18 19 32 30 31 35 33 34 29 27 28 5 3 4 8 6 7 2 0 1 14 12 13 17 15 16 11 9 10
24 25 26 18 19 20 21 22 23 33 34 35 27 28 29 30 31 32 6 7 8 0 1 2 3 4 5 15 16 17 9 10 11 12 13 14
25 26 24 19 20 18 22 23 21 34 35 33 28 29 27 31 32 30 7 8 6 1 2 0 4 5 3 16 17 15 10 11 9 13 14 12
26 24 25 20 18 19 23 21 22 35 33 34 29 27 28 32 30 31 8 6 7 2 0 1 5 3 4 17 15 16 11 9 10 14 12 13
