2 38
Z2xZ19
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20
3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22
5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23
6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24
7 8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25
8 9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26
9 10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27
10 11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28
11 12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29
12 13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30
13 14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31
14 15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32
15 16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
16 17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
17 18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35
18 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0
21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1
22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 1 2
