2 39
Z3xZ13
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38
1 2 3 4 5 6 7 8 9 10 11 12 0 14 15 16 17 18 19 20 21 22 23 24 25 13 27 28 29 30 31 32 33 34 35 36 37 38 26
2 3 4 5 6 7 8 9 10 11 12 0 1 15 16 17 18 19 20 21 22 23 24 25 13 14 28 29 30 31 32 33 34 35 36 37 38 26 27
3 4 5 6 7 8 9 10 11 12 0 1 2 16 17 18 19 20 21 22 23 24 25 13 14 15 29 30 31 32 33 34 35 36 37 38 26 27 28
4 5 6 7 8 9 10 11 12 0 1 2 3 17 18 19 20 21 22 23 24 25 13 14 15 16 30 31 32 33 34 35 36 37 38 26 27 28 29
5 6 7 8 9 10 11 12 0 1 2 3 4 18 19 20 21 22 23 24 25 13 14 15 16 17 31 32 33 34 35 36 37 38 26 27 28 29 30
6 7 8 9 10 11 12 0 1 2 3 4 5 19 20 21 22 23 24 25 13 14 15 16 17 18 32 33 34 35 36 37 38 26 27 28 29 30 31
7 8 9 10 11 12 0 1 2 3 4 5 6 20 21 22 23 24 25 13 14 15 16 17 18 19 33 34 35 36 37 38 26 27 28 29 30 31 32
8 9 10 11 12 0 1 2 3 4 5 6 7 21 22 23 24 25 13 14 15 16 17 18 19 20 34 35 36 37 38 26 27 28 29 30 31 32 33
9 10 11 12 0 1 2 3 4 5 6 7 8 22 23 24 25 13 14 15 16 17 18 19 20 21 35 36 37 38 26 27 28 29 30 31 32 33 34
10 11 12 0 1 2 3 4 5 6 7 8 9 23 24 25 13 14 15 16 17 18 19 20 21 22 36 37 38 26 27 28 29 30 31 32 33 34 35
11 12 0 1 2 3 4 5 6 7 8 9 10 24 25 13 14 15 16 17 18 19 20 21 22 23 37 38 26 27 28 29 30 31 32 33 34 35 36
12 0 1 2 3 4 5 6 7 8 9 10 11 25 13 14 15 16 17 18 19 20 21 22 23 24 38 26 27 28 29 30 31 32 33 34 35 36 37
13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 0 1 2 3 4 5 6 7 8 9 10 11 12
14 15 16 17 18 19 20 21 22 23 24 25 13 27 28 29 30 31 32 33 34 35 36 37 38 26 1 2 3 4 5 6 7 8 9 10 11 12 0
15 16 17 18 19 20 21 22 23 24 25 13 14 28 29 30 31 32 33 34 35 36 37 38 26 27 2 3 4 5 6 7 8 9 10 11 12 0 1
16 17 18 19 20 21 22 23 24 25 13 14 15 29 30 31 32 33 34 35 36 37 38 26 27 28 3 4 5 6 7 8 9 10 11 12 0 1 2
17 18 19 20 21 22 23 24 25 13 14 15 16 30 31 32 33 34 35 36 37 38 26 27 28 29 4 5 6 7 8 9 10 11 12 0 1 2 3
18 19 20 21 22 23 24 25 13 14 15 16 17 31 32 33 34 35 36 37 38 26 27 28 29 30 5 6 7 8 9 10 11 12 0 1 2 3 4
19 20 21 22 23 24 25 13 14 15 16 17 18 32 33 34 35 36 37 38 26 27 28 29 30 31 6 7 8 9 10 11 12 0 1 2 3 4 5
20 21 22 23 24 25 13 14 15 16 17 18 19 33 34 35 36 37 38 26 27 28 29 30 31 32 7 8 9 10 11 12 0 1 2 3 4 5 6
21 22 23 24 25 13 14 15 16 17 18 19 20 34 35 36 37 38 26 27 28 29 30 31 32 33 8 9 10 11 12 0 1 2 3 4 5 6 7
22 23 24 25 13 14 15 16 17 18 19 20 21 35 36 37 38 26 27 28 29 30 31 32 33 34 9 10 11 12 0 1 2 3 4 5 6 7 8
23 24 25 13 14 15 16 17 18 19 20 21 22 36 37 38 26 27 28 29 30 31 32 33 34 35 10 11 12 0 1 2 3 4 5 6 7 8 9
24 25 13 14 15 16 17 18 19 20 21 22 23 37 38 26 27 28 29 30 31 32 33 34 35 36 11 12 0 1 2 3 4 5 6 7 8 9 10
25 13 14 15 16 17 18 19 20 21 22 23 24 38 26 27 28 29 30 31 32 33 34 35 36 37 12 0 1 2 3 4 5 6 7 8 9 10 11
26 27 28 29 30 31 32 33 34 35 36 37 38 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
