14 40
Z8xZ5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35
2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36
3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37
4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38
5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4
6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 1 2 3 4 0
7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 2 3 4 0 1
8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 3 4 0 1 2
9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 4 0 1 2 3
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9
11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 1 2 3 4 0 6 7 8 9 5
12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 2 3 4 0 1 7 8 9 5 6
13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 3 4 0 1 2 8 9 5 6 7
14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 4 0 1 2 3 9 5 6 7 8
15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10
17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11
18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12
19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13
20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15
22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16
23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17
24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18
25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
26 27 28 29 25 31 32 33 34 30 36 37 38 39 35 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20
27 28 29 25 26 32 33 34 30 31 37 38 39 35 36 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21
28 29 25 26 27 33 34 30 31 32 38 39 35 36 37 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22
29 25 26 27 28 34 30 31 32 33 39 35 36 37 38 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23
30 31 32 33 34 35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
31 32 33 34 30 36 37 38 39 35 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25
32 33 34 30 31 37 38 39 35 36 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26
33 34 30 31 32 38 39 35 36 37 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27
34 30 31 32 33 39 35 36 37 38 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28
35 36 37 38 39 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
36 37 38 39 35 1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 31 32 33 34 30
37 38 39 35 36 2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 32 33 34 30 31
38 39 35 36 37 3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 33 34 30 31 32
39 35 36 37 38 4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 34 30 31 32 33
Z4xZ2xZ5
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
1 2 3 4 0 6 7 8 9 5 11 12 13 14 10 16 17 18 19 15 21 22 23 24 20 26 27 28 29 25 31 32 33 34 30 36 37 38 39 35
2 3 4 0 1 7 8 9 5 6 12 13 14 10 11 17 18 19 15 16 22 23 24 20 21 27 28 29 25 26 32 33 34 30 31 37 38 39 35 36
3 4 0 1 2 8 9 5 6 7 13 14 10 11 12 18 19 15 16 17 23 24 20 21 22 28 29 25 26 27 33 34 30 31 32 38 39 35 36 37
4 0 1 2 3 9 5 6 7 8 14 10 11 12 13 19 15 16 17 18 24 20 21 22 23 29 25 26 27 28 34 30 31 32 33 39 35 36 37 38
