6 42
Z2xZ3xZ7
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41
1 2 3 4 5 6 0 8 9 10 11 12 13 7 15 16 17 18 19 20 14 22 23 24 25 26 27 21 29 30 31 32 33 34 28 36 37 38 39 40 41 35
2 3 4 5 6 0 1 9 10 11 12 13 7 8 16 17 18 19 20 14 15 23 24 25 26 27 21 22 30 31 32 33 34 28 29 37 38 39 40 41 35 36
3 4 5 6 0 1 2 10 11 12 13 7 8 9 17 18 19 20 14 15 16 24 25 26 27 21 22 23 31 32 33 34 28 29 30 38 39 40 41 35 36 37
4 5 6 0 1 2 3 11 12 13 7 8 9 10 18 19 20 14 15 16 17 25 26 27 21 22 23 24 32 33 34 28 29 30 31 39 40 41 35 36 37 38
5 6 0 1 2 3 4 12 13 7 8 9 10 11 19 20 14 15 16 17 18 26 27 21 22 23 24 25 33 34 28 29 30 31 32 40 41 35 36 37 38 39
6 0 1 2 3 4 5 13 7 8 9 10 11 12 20 14 15 16 17 18 19 27 21 22 23 24 25 26 34 28 29 30 31 32 33 41 35 36 37 38 39 40
7 8 9 10 11 12 13 14 15 16 17 18 19 20 0 1 2 3 4 5 6 28 29 30 31 32 33 34 35 36 37 38 39 40 41 21 22 23 24 25 26 27
8 9 10 11 12 13 7 15 16 17 18 19 20 14 1 2 3 4 5 6 0 29 30 31 32 33 34 28 36 37 38 39 40 41 35 22 23 24 25 26 27 21
9 10 11 12 13 7 8 16 17 18 19 20 14 15 2 3 4 5 6 0 1 30 31 32 33 34 28 29 37 38 39 40 41 35 36 23 24 25 26 27 21 22
10 11 12 13 7 8 9 17 18 19 20 14 15 16 3 4 5 6 0 1 2 31 32 33 34 28 29 30 38 39 40 41 35 36 37 24 25 26 27 21 22 23
11 12 13 7 8 9 10 18 19 20 14 15 16 17 4 5 6 0 1 2 3 32 33 34 28 29 30 31 39 40 41 35 36 37 38 25 26 27 21 22 23 24
12 13 7 8 9 10 11 19 20 14 15 16 17 18 5 6 0 1 2 3 4 33 34 28 29 30 31 32 40 41 35 36 37 38 39 26 27 21 22 23 24 25
13 7 8 9 10 11 12 20 14 15 16 17 18 19 6 0 1 2 3 4 5 34 28 29 30 31 32 33 41 35 36 37 38 39 40 27 21 22 23 24 25 26
14 15 16 17 18 19 20 0 1 2 3 4 5 6 7 8 9 10 11 12 13 35 36 37 38 39 40 41 21 22 23 24 25 26 27 28 29 30 31 32 33 34
