4 44
Z4xZ11
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43
1 2 3 4 5 6 7 8 9 10 0 12 13 14 15 16 17 18 19 20 21 11 23 24 25 26 27 28 29 30 31 32 22 34 35 36 37 38 39 40 41 42 43 33
2 3 4 5 6 7 8 9 10 0 1 13 14 15 16 17 18 19 20 21 11 12 24 25 26 27 28 29 30 31 32 22 23 35 36 37 38 39 40 41 42 43 33 34
3 4 5 6 7 8 9 10 0 1 2 14 15 16 17 18 19 20 21 11 12 13 25 26 27 28 29 30 31 32 22 23 24 36 37 38 39 40 41 42 43 33 34 35
4 5 6 7 8 9 10 0 1 2 3 15 16 17 18 19 20 21 11 12 13 14 26 27 28 29 30 31 32 22 23 24 25 37 38 39 40 41 42 43 33 34 35 36
5 6 7 8 9 10 0 1 2 3 4 16 17 18 19 20 21 11 12 13 14 15 27 28 29 30 31 32 22 23 24 25 26 38 39 40 41 42 43 33 34 35 36 37
6 7 8 9 10 0 1 2 3 4 5 17 18 19 20 21 11 12 13 14 15 16 28 29 30 31 32 22 23 24 25 26 27 39 40 41 42 43 33 34 35 36 37 38
7 8 9 10 0 1 2 3 4 5 6 18 19 20 21 11 12 13 14 15 16 17 29 30 31 32 22 23 24 25 26 27 28 40 41 42 43 33 34 35 36 37 38 39
8 9 10 0 1 2 3 4 5 6 7 19 20 21 11 12 13 14 15 16 17 18 30 31 32 22 23 24 25 26 27 28 29 41 42 43 33 34 35 36 37 38 39 40
9 10 0 1 2 3 4 5 6 7 8 20 21 11 12 13 14 15 16 17 18 19 31 32 22 23 24 25 26 27 28 29 30 42 43 33 34 35 36 37 38 39 40 41
10 0 1 2 3 4 5 6 7 8 9 21 11 12 13 14 15 16 17 18 19 20 32 22 23 24 25 26 27 28 29 30 31 43 33 34 35 36 37 38 39 40 41 42
