2 46
Z2xZ23
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 23
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 23 24
3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 23 24 25
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 23 24 25 26
5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 23 24 25 26 27
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 23 24 25 26 27 28
7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 23 24 25 26 27 28 29
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 23 24 25 26 27 28 29 30
9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 32 33 34 35 36 37 38 39 40 41 42 43 44 45 23 24 25 26 27 28 29 30 31
10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 9 33 34 35 36 37 38 39 40 41 42 43 44 45 23 24 25 26 27 28 29 30 31 32
11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 9 10 34 35 36 37 38 39 40 41 42 43 44 45 23 24 25 26 27 28 29 30 31 32 33
12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 9 10 11 35 36 37 38 39 40 41 42 43 44 45 23 24 25 26 27 28 29 30 31 32 33 34
13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 9 10 11 12 36 37 38 39 40 41 42 43 44 45 23 24 25 26 27 28 29 30 31 32 33 34 35
14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 9 10 11 12 13 37 38 39 40 41 42 43 44 45 23 24 25 26 27 28 29 30 31 32 33 34 35 36
15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 38 39 40 41 42 43 44 45 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37
16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 39 40 41 42 43 44 45 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38
