5 52
Z4xZ13
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
1 2 3 4 5 6 7 8 9 10 11 12 0 14 15 16 17 18 19 20 21 22 23 24 25 13 27 28 29 30 31 32 33 34 35 36 37 38 26 40 41 42 43 44 45 46 47 48 49 50 51 39
2 3 4 5 6 7 8 9 10 11 12 0 1 15 16 17 18 19 20 21 22 23 24 25 13 14 28 29 30 31 32 33 34 35 36 37 38 26 27 41 42 43 44 45 46 47 48 49 50 51 39 40
3 4 5 6 7 8 9 10 11 12 0 1 2 16 17 18 19 20 21 22 23 24 25 13 14 15 29 30 31 32 33 34 35 36 37 38 26 27 28 42 43 44 45 46 47 48 49 50 51 39 40 41
4 5 6 7 8 9 10 11 12 0 1 2 3 17 18 19 20 21 22 23 24 25 13 14 15 16 30 31 32 33 34 35 36 37 38 26 27 28 29 43 44 45 46 47 48 49 50 51 39 40 41 42
5 6 7 8 9 10 11 12 0 1 2 3 4 18 19 20 21 22 23 24 25 13 14 15 16 17 31 32 33 34 35 36 37 38 26 27 28 29 30 44 45 46 47 48 49 50 51 39 40 41 42 43
6 7 8 9 10 11 12 0 1 2 3 4 5 19 20 21 22 23 24 25 13 14 15 16 17 18 32 33 34 35 36 37 38 26 27 28 29 30 31 45 46 47 48 49 50 51 39 40 41 42 43 44
7 8 9 10 11 12 0 1 2 3 4 5 6 20 21 22 23 24 25 13 14 15 16 17 18 19 33 34 35 36 37 38 26 27 28 29 30 31 32 46 47 48 49 50 51 39 40 41 42 43 44 45
8 9 10 11 12 0 1 2 3 4 5 6 7 21 22 23 24 25 13 14 15 16 17 18 19 20 34 35 36 37 38 26 27 28 29 30 31 32 33 47 48 49 50 51 39 40 41 42 43 44 45 46
9 10 11 12 0 1 2 3 4 5 6 7 8 22 23 24 25 13 14 15 16 17 18 19 20 21 35 36 37 38 26 27 28 29 30 31 32 33 34 48 49 50 51 39 40 41 42 43 44 45 46 47
10 11 12 0 1 2 3 4 5 6 7 8 9 23 24 25 13 14 15 16 17 18 19 20 21 22 36 37 38 26 27 28 29 30 31 32 33 34 35 49 50 51 39 40 41 42 43 44 45 46 47 48
