2 99
Z9xZ11
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98
1 2 3 4 5 6 7 8 9 10 0 12 13 14 15 16 17 18 19 20 21 11 23 24 25 26 27 28 29 30 31 32 22 34 35 36 37 38 39 40 41 42 43 33 45 46 47 48 49 50 51 52 53 54 44 56 57 58 59 60 61 62 63 64 65 55 67 68 69 70 71 72 73 74 75 76 66 78 79 80 81 82 83 84 85 86 87 77 89 90 91 92 93 94 95 96 97 98 88
2 3 4 5 6 7 8 9 10 0 1 13 14 15 16 17 18 19 20 21 11 12 24 25 26 27 28 29 30 31 32 22 23 35 36 37 38 39 40 41 42 43 33 34 46 47 48 49 50 51 52 53 54 44 45 57 58 59 60 61 62 63 64 65 55 56 68 69 70 71 72 73 74 75 76 66 67 79 80 81 82 83 84 85 86 87 77 78 90 91 92 93 94 95 96 97 98 88 89
3 4 5 6 7 8 9 10 0 1 2 14 15 16 17 18 19 20 21 11 12 13 25 26 27 28 29 30 31 32 22 23 24 36 37 38 39 40 41 42 43 33 34 35 47 48 49 50 51 52 53 54 44 45 46 58 59 60 61 62 63 64 65 55 56 57 69 70 71 72 73 74 75 76 66 67 68 80 81 82 83 84 85 86 87 77 78 79 91 92 93 94 95 96 97 98 88 89 90
4 5 6 7 8 9 10 0 1 2 3 15 16 17 18 19 20 21 11 12 13 14 26 27 28 29 30 31 32 22 23 24 25 37 38 39 40 41 42 43 33 34 35 36 48 49 50 51 52 53 54 44 45 46 47 59 60 61 62 63 64 65 55 56 57 58 70 71 72 73 74 75 76 66 67 68 69 81 82 83 84 85 86 87 77 78 79 80 92 93 94 95 96 97 98 88 89 90 91
5 6 7 8 9 10 0 1 2 3 4 16 17 18 19 20 21 11 12 13 14 15 27 28 29 30 31 32 22 23 24 25 26 38 39 40 41 42 43 33 34 35 36 37 49 50 51 52 53 54 44 45 46 47 48 60 61 62 63 64 65 55 56 57 58 59 71 72 73 74 75 76 66 67 68 69 70 82 83 84 85 86 87 77 78 79 80 81 93 94 95 96 97 98 88 89 90 91 92
6 7 8 9 10 0 1 2 3 4 5 17 18 19 20 21 11 12 13 14 15 16 28 29 30 31 32 22 23 24 25 26 27 39 40 41 42 43 33 34 35 36 37 38 50 51 52 53 54 44 45 46 47 48 49 61 62 63 64 65 55 56 57 58 59 60 72 73 74 75 76 66 67 68 69 70 71 83 84 85 86 87 77 78 79 80 81 82 94 95 96 97 98 88 89 90 91 92 93
7 8 9 10 0 1 2 3 4 5 6 18 19 20 21 11 12 13 14 15 16 17 29 30 31 32 22 23 24 25 26 27 28 40 41 42 43 33 34 35 36 37 38 39 51 52 53 54 44 45 46 47 48 49 50 62 63 64 65 55 56 57 58 59 60 61 73 74 75 76 66 67 68 69 70 71 72 84 85 86 87 77 78 79 80 81 82 83 95 96 97 98 88 89 90 91 92 93 94
8 9 10 0 1 2 3 4 5 6 7 19 20 21 11 12 13 14 15 16 17 18 30 31 32 22 23 24 25 26 27 28 29 41 42 43 33 34 35 36 37 38 39 40 52 53 54 44 45 46 47 48 49 50 51 63 64 65 55 56 57 58 59 60 61 62 74 75 76 66 67 68 69 70 71 72 73 85 86 87 77 78 79 80 81 82 83 84 96 97 98 88 89 90 91 92 93 94 95
9 10 0 1 2 3 4 5 6 7 8 20 21 11 12 13 14 15 16 17 18 19 31 32 22 23 24 25 26 27 28 29 30 42 43 33 34 35 36 37 38 39 40 41 53 54 44 45 46 47 48 49 50 51 52 64 65 55 56 57 58 59 60 61 62 63 75 76 66 67 68 69 70 71 72 73 74 86 87 77 78 79 80 81 82 83 84 85 97 98 88 89 90 91 92 93 94 95 96
10 0 1 2 3 4 5 6 7 8 9 21 11 12 13 14 15 16 17 18 19 20 32 22 23 24 25 26 27 28 29 30 31 43 33 34 35 36 37 38 39 40 41 42 54 44 45 46 47 48 49 50 51 52 53 65 55 56 57 58 59 60 61 62 63 64 76 66 67 68 69 70 71 72 73 74 75 87 77 78 79 80 81 82 83 84 85 86 98 88 89 90 91 92 93 94 95 96 97
