Dhc	C5	n=5	m=5
FhCKG	C7	n=7	m=7
HhCGGE@	C9	n=9	m=9
JhCGGC@?K?_	C11	n=11	m=11
LhCGGC@?G?_@_@	C13	n=13	m=13
GhdHKc	Andrasfai(3)_n8	n=8	m=12
JhdHKdHHKc_	Andrasfai(4)_n11	n=11	m=22
MhdHKdHHKchHHHcc_	Andrasfai(5)_n14	n=14	m=35
PhdHKdHHKchHHHcchHHHHccc	Andrasfai(6)_n17	n=17	m=51
ShdHKdHHKchHHHcchHHHHccdHHHHHKccc	Andrasfai(7)_n20	n=20	m=70
IheA@GUAo	Petersen=K(5,2)	n=10	m=15
I?LRCecq?	Kneser(5,2)	n=10	m=15
OhCGKE?O@?ACAC@I?Q_AS	MobiusKantor_GP(8,3)	n=16	m=24
IheAHCPBG	GP(5,1)	n=10	m=15
KhEKAC`CGO_p	GP(6,1)	n=12	m=18
KhEKA?_C_Q?c	GP(6,3)	n=12	m=15
MhCKK@@GG_`@@@?o_	GP(7,1)	n=14	m=21
MhCKK@?GO`@A@Q?h?	GP(7,2)	n=14	m=21
MhCKK@?G?a@K@K?e?	GP(7,3)	n=14	m=21
OhCGKE?OH?a@A@@?_OGB@	GP(8,1)	n=16	m=24
OhCGKE?O@@AAAA@@?SOAa	GP(8,2)	n=16	m=24
OhCGKE?O@?A?AG@C?P?AG	GP(8,4)	n=16	m=20
QhCGGE@_A?c@C@A?__GC@?OC?oG	GP(9,1)	n=18	m=27
QhCGGE@_A?CACAA@?_OCA?SG?gO	GP(9,2)	n=18	m=27
QhCGGE@_A?C?C?AC?b?CW?P_?b?	GP(9,4)	n=18	m=27
ShCGGC@_K?G@G@C?`?GG@?_C@?G@?G?oC	GP(10,1)	n=20	m=30
ShCGGC@_K?G?GAC@@?OGA?_G@?O@OO?gG	GP(10,2)	n=20	m=30
ShCGGC@_K?G?G?CA@?_GC?_O@G_@G_?cO	GP(10,3)	n=20	m=30
ShCGGC@_K?G?G?C?@@?GG?a_@D?@D??a_	GP(10,4)	n=20	m=30
ShCGGC@_K?G?G?C?@??GO?`?@A?@A??`?	GP(10,5)	n=20	m=25
UhCGGC@?K?o?O@G?a?GO@@?CA?GA?G@?C?O@?B?G	GP(11,1)	n=22	m=33
UhCGGC@?K?o?O?G@A?OOA@?GA?OA?O@?G?SA?A_O	GP(11,2)	n=22	m=33
UhCGGC@?K?o?O?G?A?_OC@?OA?_A?_@GO?QC?AO_	GP(11,3)	n=22	m=33
UhCGGC@?K?o?O?G?A??OG@?_A@?AH?@C_?PG?AH?	GP(11,4)	n=22	m=33
UhCGGC@?K?o?O?G?A??O?@@?AE?AE?@B??Oo?AE?	GP(11,5)	n=22	m=33
JhdLA_gc?N_	Grotzsch=M(C5)_n11	n=11	m=20
VhdLA_gc?NhQhOSgDICh?QAA_GA_O@OOAOG?@{???N~_	M(M(C5))_n23	n=23	m=71
NhCKIE_S@OA_A_`??Nw	M(C7)_n15	n=15	m=28
RhCGGE@OL?I?I?D?@O?I??gA@???~w	M(C9)_n19	n=19	m=36
OhdLA_gc?C_g?g?S?c??^	genMyc_C5_r3_n16	n=16	m=30
ThdLA_gc?C_g?g?S?c??H?A_?D??D??Q???^	genMyc_C5_r4_n21	n=21	m=40
KhdLA_hc?L_y	Chvatal_n12	n=12	m=24
Or`HOm@OhHBBEGHCgPSAJ	Clebsch_n16	n=16	m=40
LhEIHEPQHGaPaP	C13(1,5)_R35	n=13	m=26
UhEIHEPQHGqPQPHGqQIQPHHEQQIQQHHHCQQPaQQG	C22(1, 5, 8, 11)	n=22	m=77
ShdLIchdISshShISqdIShhQdQdHQdKhQc	C20(1, 4, 6, 9)	n=20	m=80
NhCGGC@?G?_@?@??o?G	C15(1,)	n=15	m=15
NQGOOGA?O@?A?A_@G?O	C15(2,)	n=15	m=15
NCO__OC?_A?C_COAC?_	C15(3,)	n=15	m=15
N?`@?_G@?COGOGGCA@?	C15(4,)	n=15	m=15
N??CA?_cAOC_C_AO?c?	C15(6,)	n=15	m=15
N???CB?W@_B?B?@_?W?	C15(7,)	n=15	m=15
NlSggSD?gA_D_DOAs?g	C15(1, 3)	n=15	m=30
NhdHGcH@GCoHOHGCq@G	C15(1, 4)	n=15	m=30
NhCKIC`cIOc`C`AOocG	C15(1, 6)	n=15	m=30
NUWooWE?oB?E_EoBK?o	C15(2, 3)	n=15	m=30
NQGSQGacQPCaCaaPGcO	C15(2, 6)	n=15	m=30
NQGOSJAWP`BABA``GWO	C15(2, 7)	n=15	m=30
NCp`_oK@_EOKoKWEE@_	C15(3, 4)	n=15	m=30
NCO_cRCW`aBCbCPaCW_	C15(3, 7)	n=15	m=30
N?`DA_gdASSgSgISAd?	C15(4, 6)	n=15	m=30
N??CEB_{BoF_F_Bo?{?	C15(6, 7)	n=15	m=30
NhdLIchdISshShISqdG	C15(1, 4, 6)	n=15	m=45
NUWosZEWpbBEbEpbKWo	C15(2, 3, 7)	n=15	m=45
OhCGGC@?G?_@?@??_?K?@	C16(1,)	n=16	m=16
OQGOOGA?O@?A?A?@O?Q?A	C16(2,)	n=16	m=16
OCO__OC?_A?C?C_AG?`?C	C16(3,)	n=16	m=16
O?`@?_G@?C?G_GOCC@?_G	C16(4,)	n=16	m=16
O?AA@?OA?GOOOOGGAA?OO	C16(5,)	n=16	m=16
O??CA?_CCOG_G_CO@C?G_	C16(6,)	n=16	m=16
O???C@?gA_D?D?A_?g?D?	C16(7,)	n=16	m=16
O????A?O@?A?A?@??O?A?	C16(8,)	n=16	m=8
OlSggSD?gA_D?D_Ag?l?D	C16(1, 3)	n=16	m=32
OhdHGcH@GC_H_HOCc@K_H	C16(1, 4)	n=16	m=32
OhEIHCPAGGoPOPGGaAKOP	C16(1, 5)	n=16	m=32
OhCKIC`CKOg`G`CO`CKG`	C16(1, 6)	n=16	m=32
OhCGKD@gI_d@D@A__gKD@	C16(1, 7)	n=16	m=32
OhCGGE@OH?a@A@@?_OKA@	C16(1, 8)	n=16	m=24
OUWooWE?oB?E?E_BW?r?E	C16(2, 3)	n=16	m=32
OQIQPGQAOHOQOQGHQAQOQ	C16(2, 5)	n=16	m=32
OQGSQGaCSPGaGaCPPCQGa	C16(2, 6)	n=16	m=32
OQGOOIAOP@AAAA@@OOQAA	C16(2, 8)	n=16	m=24
OCp`_oK@_E?K_KoEK@`_K	C16(3, 4)	n=16	m=32
OCQa`OSA_IOSOSgIIA`OS	C16(3, 5)	n=16	m=32
OCO_cPCgaaDCDCaaGg`DC	C16(3, 7)	n=16	m=32
OCO__QCO`AACAC`AGO`AC	C16(3, 8)	n=16	m=24
O?bB@_WB?KOWoWWKEB?oW	C16(4, 5)	n=16	m=32
O?`@C`GhAcDGdGQcCh?dG	C16(4, 7)	n=16	m=32
O?AAD@OiAgTOTOIgAi?TO	C16(5, 7)	n=16	m=32
O?AA@AOQ@GQOQOHGAQ?QO	C16(5, 8)	n=16	m=24
O??CE@_kEoL_L_Eo@k?L_	C16(6, 7)	n=16	m=32
O??CAA_SDOI_I_DO@S?I_	C16(6, 8)	n=16	m=24
O???CB?wB_F?F?B_?w?F?	C16(7, 8)	n=16	m=24
OlUihSTAgIoTOTgIiAlOT	C16(1, 3, 5)	n=16	m=48
OlSgkTDgiadDDDaagglDD	C16(1, 3, 7)	n=16	m=48
OlSggUDOhAaDAD`AgOlAD	C16(1, 3, 8)	n=16	m=40
OhdHKdHhIcdHdHQcchKdH	C16(1, 4, 7)	n=16	m=48
OhEILDPiIgtPTPIgaiKTP	C16(1, 5, 7)	n=16	m=48
OhEIHEPQHGqPQPHGaQKQP	C16(1, 5, 8)	n=16	m=40
OhCKIE`SLOi`I`DO`SKI`	C16(1, 6, 8)	n=16	m=40
OUWooYEOpBAEAE`BWOrAE	C16(2, 3, 8)	n=16	m=40
OQIQPIQQPHQQQQHHQQQQQ	C16(2, 5, 8)	n=16	m=40
OCrb`o[B_MO[o[wMMB`o[	C16(3, 4, 5)	n=16	m=48
OCQadPSiaiTSTSiiIi`TS	C16(3, 5, 7)	n=16	m=48
OCO_cRCwbaFCFCbaGw`FC	C16(3, 7, 8)	n=16	m=40
O?AADBOyBgVOVOJgAy?VO	C16(5, 7, 8)	n=16	m=40
O??CEB_{FoN_N_Fo@{?N_	C16(6, 7, 8)	n=16	m=40
OlUilTTiiitTTTiiiilTT	C16(1, 3, 5, 7)	n=16	m=64
PhCGGC@?G?_@?@??_?G?@_?C	C17(1,)	n=17	m=17
PQGOOGA?O@?A?A?@??S?AO?G	C17(2,)	n=17	m=17
PCO__OC?_A?C?C?AO?a?CG?O	C17(3,)	n=17	m=17
P?`@?_G@?C?G?G_CG@@?GC?_	C17(4,)	n=17	m=17
P?AA@?OA?G?O_OOGCA?_OA@?	C17(5,)	n=17	m=17
P??CA?_C?OO_O_GOAC?O_@A?	C17(6,)	n=17	m=17
P???C@?GC_H?H?C_@G?H??c?	C17(7,)	n=17	m=17
P????A?oB?E?E?B??o?E??W?	C17(8,)	n=17	m=17
PlSggSD?gA_D?D?Ao?i?Dg?S	C17(1, 3)	n=17	m=34
PhdHGcH@GC_H?H_Cg@H?Hc?c	C17(1, 4)	n=17	m=34
PhEIHCPAGG_P_POGcAG_Pa@C	C17(1, 5)	n=17	m=34
PhCKIC`CGOo`O`GOaCGO``AC	C17(1, 6)	n=17	m=34
PhCGKD@GK_h@H@C_`GGH@_cC	C17(1, 7)	n=17	m=34
PUWooWE?oB?E?E?BO?u?EW?W	C17(2, 3)	n=17	m=34
PQIQPGQAOH?Q_QOHCAS_QQ@G	C17(2, 5)	n=17	m=34
PQGSQGaCOPOaOaGPACSOaPAG	C17(2, 6)	n=17	m=34
PQGOSHAGS`HAHAC`@GSHAOcG	C17(2, 7)	n=17	m=34
PQGOOIAoR@EAEAB@?oSEAOWG	C17(2, 8)	n=17	m=34
PCp`_oK@_E?K?K_EW@b?KK?o	C17(3, 4)	n=17	m=34
PCQa`OSA_I?S_SOISAa_SI@O	C17(3, 5)	n=17	m=34
PCO__QCobAECECBAOoaECGWO	C17(3, 8)	n=17	m=34
P?bB@_WB?K?W_WoKKB@_WE@_	C17(4, 5)	n=17	m=34
P?`DA_gD?SOgOggSID@OgDA_	C17(4, 6)	n=17	m=34
P?`@C`GHCcHGHGccHH@HGCc_	C17(4, 7)	n=17	m=34
P?AA@AOqBGEOeORGCq?eOAX?	C17(5, 8)	n=17	m=34
P??CE@_KCoX_X_KoBK?X_@e?	C17(6, 7)	n=17	m=34
P??CAA_sBOU_U_JOAs?U_@Y?	C17(6, 8)	n=17	m=34
P???CB?wF_N?N?F_@w?N??{?	C17(7, 8)	n=17	m=34
PlUihSTAgI_T_TOIsAi_Ti@S	C17(1, 3, 5)	n=17	m=51
PhdLIchDGSohOhgSiDHOhdAc	C17(1, 4, 6)	n=17	m=51
PUWooYEorBEEEEBBOouEEWWW	C17(2, 3, 8)	n=17	m=51
PQIQPIQqRHEQeQRHCqSeQQXG	C17(2, 5, 8)	n=17	m=51
PQGSUHaKSpXaXaKpBKSXaPeG	C17(2, 6, 7)	n=17	m=51
PCrb`o[B_M?[_[oM[Bb_[M@o	C17(3, 4, 5)	n=17	m=51
P??CEB_{Fo^_^_NoB{?^_@}?	C17(6, 7, 8)	n=17	m=51
QhCGGC@?G?_@?@??_?G?@??E??G	C18(1,)	n=18	m=18
QQGOOGA?O@?A?A?@??O?A_?H??O	C18(2,)	n=18	m=18
QCO__OC?_A?C?C?A??c?CO?O_?_	C18(3,)	n=18	m=18
Q?`@?_G@?C?G?G?CO@A?GG?_O@?	C18(4,)	n=18	m=18
Q?AA@?OA?G?O?O_GGA@?OC@?GA?	C18(5,)	n=18	m=18
Q???C@?G?_P?P?G_AG?P?@C?AG?	C18(7,)	n=18	m=18
Q????A?OD?I?I?D?@O?I??g?@O?	C18(8,)	n=18	m=18
Q??????_A?C?C?A??_?C??O??_?	C18(9,)	n=18	m=9
QlSggSD?gA_D?D?A_?k?DO?U_?g	C18(1, 3)	n=18	m=36
QhdHGcH@GC_H?H?Co@I?HG?eO@G	C18(1, 4)	n=18	m=36
QhEIHCPAGG_P?P_GgAH?PC@EGAG	C18(1, 5)	n=18	m=36
QhCGKD@GG_p@P@G_aGGP@@CEAGG	C18(1, 7)	n=18	m=36
QhCGGE@OL?i@I@D?`OGI@?gE@OG	C18(1, 8)	n=18	m=36
QhCGGC@_I?c@C@A?__GC@?OE?_G	C18(1, 9)	n=18	m=27
QUWooWE?oB?E?E?B??s?Eo?X_?o	C18(2, 3)	n=18	m=36
QQIQPGQAOH?Q?Q_HGAP?Qc@HGAO	C18(2, 5)	n=18	m=36
QQGOSHAGO`PAPAG`AGOPA`CHAGO	C18(2, 7)	n=18	m=36
QQGOOGA_Q@CACAA@?_OCA_OH?_O	C18(2, 9)	n=18	m=27
QCp`_oK@_E?K?K?EO@e?KW?oo@_	C18(3, 4)	n=18	m=36
QCQa`OSA_I?S?S_IGAd?SS@OgA_	C18(3, 5)	n=18	m=36
QCO_cPCG_aPCPCGaAGcPCPCOaG_	C18(3, 7)	n=18	m=36
QCO__QCOdAICICDA@OcICOgO`O_	C18(3, 8)	n=18	m=36
QCO__OC_aACCCCAA?_cCCOOO___	C18(3, 9)	n=18	m=27
Q?bB@_WB?K?W?W_KWBB?WK@_WB?	C18(4, 5)	n=18	m=36
Q?`@?_G`ACCGCGACO`ACGGO_O`?	C18(4, 9)	n=18	m=27
Q?AAD@OI?gPOPOggII@PODD?II?	C18(5, 7)	n=18	m=36
Q?AA@?OaAGCOCOaGGa@COCP?Ga?	C18(5, 9)	n=18	m=27
Q???CB?WD_Z?Z?L_BW?Z?@k?BW?	C18(7, 8)	n=18	m=36
Q???C@?gA_T?T?I_Ag?T?@S?Ag?	C18(7, 9)	n=18	m=27
Q????A?oF?M?M?F?@o?M??w?@o?	C18(8, 9)	n=18	m=27
QlUihSTAgI_T?T_IgAl?TS@UgAg	C18(1, 3, 5)	n=18	m=54
QlSgkTDGgapDPDGaaGkPDPCUaGg	C18(1, 3, 7)	n=18	m=54
QlSggUDOlAiDIDDA`OkIDOgU`Og	C18(1, 3, 8)	n=18	m=54
QlSggSD_iAcDCDAA__kCDOOU__g	C18(1, 3, 9)	n=18	m=45
QhdHGcH`ICcHCHACo`ICHGOeO`G	C18(1, 4, 9)	n=18	m=45
QhEILDPIGgpPPPggiIHPPDDEIIG	C18(1, 5, 7)	n=18	m=54
QhEIHCPaIGcPCPaGgaHCPCPEGaG	C18(1, 5, 9)	n=18	m=45
QhCGKD@gI_t@T@I_agGT@@SEAgG	C18(1, 7, 9)	n=18	m=45
QUWosXEGobPEPEGbAGsPEpCXaGo	C18(2, 3, 7)	n=18	m=54
QUWooWE_qBCECEAB?_sCEoOX__o	C18(2, 3, 9)	n=18	m=45
QQIQPGQaQHCQCQaHGaPCQcPHGaO	C18(2, 5, 9)	n=18	m=45
QCrb`o[B_M?[?[_MWBf?[[@owB_	C18(3, 4, 5)	n=18	m=54
QCp`_oK`aECKCKAEO`eCKWOoo`_	C18(3, 4, 9)	n=18	m=45
QCQadPSI_iPSPSgiIIdPSTDOiI_	C18(3, 5, 7)	n=18	m=54
QCQa`OSaaICSCSaIGadCSSPOga_	C18(3, 5, 9)	n=18	m=45
QCO_cPCgaaTCTCIaAgcTCPSOag_	C18(3, 7, 9)	n=18	m=45
QCO__QCofAMCMCFA@ocMCOwO`o_	C18(3, 8, 9)	n=18	m=45
Q?AAD@OiAgTOTOigIi@TODT?Ii?	C18(5, 7, 9)	n=18	m=45
Q???CB?wF_^?^?N_Bw?^?@{?Bw?	C18(7, 8, 9)	n=18	m=45
QlUilTTIgipTPTgiiIlPTTDUiIg	C18(1, 3, 5, 7)	n=18	m=72
QlUihSTaiIcTCTaIgalCTSPUgag	C18(1, 3, 5, 9)	n=18	m=63
QlSgkTDgiatDTDIaagkTDPSUagg	C18(1, 3, 7, 9)	n=18	m=63
QhEILDPiIgtPTPigiiHTPDTEIiG	C18(1, 5, 7, 9)	n=18	m=63
QCQadPSiaiTSTSiiIidTSTTOii_	C18(3, 5, 7, 9)	n=18	m=63
RhCGGC@?G?_@?@??_?G?@??C??K??G	C19(1,)	n=19	m=19
RQGOOGA?O@?A?A?@??O?A??I??Q??O	C19(2,)	n=19	m=19
RCO__OC?_A?C?C?A??_?C_?P??`??_	C19(3,)	n=19	m=19
R?`@?_G@?C?G?G?C?@C?GO?__@?_@?	C19(4,)	n=19	m=19
R?AA@?OA?G?O?O?GOAA?OG@?OA?OA?	C19(5,)	n=19	m=19
R??CA?_C?O?_?__OGC@?_CA?GC?GC?	C19(6,)	n=19	m=19
R???C@?G?_@?`?O_CG?`?AC?CG?CG?	C19(7,)	n=19	m=19
R????A?O@?Q?Q?H?AO?Q?@G?AO?AO?	C19(8,)	n=19	m=19
R??????_E?K?K?E?@_?K??o?@_?@_?	C19(9,)	n=19	m=19
RlSggSD?gA_D?D?A_?g?D_?T??l??g	C19(1, 3)	n=19	m=38
RhdHGcH@GC_H?H?C_@K?HO?c_@K_@G	C19(1, 4)	n=19	m=38
RhEIHCPAGG_P?P?GoAI?PG@COAKOAG	C19(1, 5)	n=19	m=38
RhCKIC`CGO_`?`_OgCH?`CACGCKGCG	C19(1, 6)	n=19	m=38
RhCGKD@GG_`@`@O_cGG`@ACCCGKCGG	C19(1, 7)	n=19	m=38
RhCGGE@OH?q@Q@H?aOGQ@@GCAOKAOG	C19(1, 8)	n=19	m=38
RUWooWE?oB?E?E?B??o?E_?Z??r??o	C19(2, 3)	n=19	m=38
RQIQPGQAOH?Q?Q?HOAQ?QG@IOAQOAO	C19(2, 5)	n=19	m=38
RQGSQGaCOP?a?a_PGCP?aCAIGCQGCO	C19(2, 6)	n=19	m=38
RQGOSHAGO`@A`AO`CGO`AACICGQCGO	C19(2, 7)	n=19	m=38
RQGOOIAOP@QAQAH@AOOQA@GIAOQAOO	C19(2, 8)	n=19	m=38
RQGOOGA_U@KAKAE@@_OKA?oI@_Q@_O	C19(2, 9)	n=19	m=38
RCp`_oK@_E?K?K?E?@c?Ko?p_@`_@_	C19(3, 4)	n=19	m=38
RCQa`OSA_I?S?S?IOAa?Sg@POA`OA_	C19(3, 5)	n=19	m=38
RCO_cPCG_a@C`COaCG_`CaCPCG`CG_	C19(3, 7)	n=19	m=38
RCO__OC_eAKCKCEA@__KC_oP@_`@__	C19(3, 9)	n=19	m=38
R?bB@_WB?K?W?W?KOBE?WW@_oB?oB?	C19(4, 5)	n=19	m=38
