OHfDE?VB_PC`Q`oACJOai	n=16	m=39	alpha=5
OsAIpoeaG`GhHcYAGHO_j	n=16	m=40	alpha=5
O_AJBoC[LPOKDbAdM_Kt?	n=16	m=40	alpha=5
O?OL?sgeADkI|?HQAse`A	n=16	m=39	alpha=5
OgmQ@KqBaa@KgA@`iAs@q	n=16	m=40	alpha=5
O@_DNBCFPP?XOeZ?Y__`M	n=16	m=39	alpha=5
O]G@iAJbPH?WEOp@gBooW	n=16	m=39	alpha=5
Oq?[KqG@ZScgODKggS`oD	n=16	m=40	alpha=5
PE_FG`l_QWeAOCN?o_oUKGQG	n=17	m=42	alpha=5
P_g@Bh]_dgO_C`RC`I`_gOAk	n=17	m=42	alpha=5
PkOgCOC`amGEM@KwOSPAHEgC	n=17	m=42	alpha=5
PGS@Q?CK[f?Wpcj@EgCPHsH?	n=17	m=42	alpha=5
P]CiAAFG?KaaG`aRAHQPcas?	n=17	m=42	alpha=5
PXFCEPAGOk`QJGOB?WWhHcKO	n=17	m=42	alpha=5
PXEG_BP_oDD@@pHQXWAOsTD?	n=17	m=42	alpha=5
P@gGMf_QCgAUGeP@hPD?B@[C	n=17	m=42	alpha=5
QsSkGcAIYJDK?f`CDGIhD[GpQD?	n=18	m=52	alpha=6
QdOdPO_WAiBe`[?m?PqN?`OWWOo	n=18	m=50	alpha=6
Qci?s?B\JEJGXoOoBdHHIEGq?WW	n=18	m=52	alpha=6
Q[HOXcDS`@`abQUGJC@CN_RZAc?	n=18	m=52	alpha=6
QsDkJSC_KP@QKHO@EPGIuQCgP`G	n=18	m=49	alpha=6
QsMAWX?KxbOK_CRBcOaaD?b_Ka_	n=18	m=49	alpha=6
QhEl@PSi?T?McQQ_io_F??E[SLO	n=18	m=50	alpha=6
QAmPJ?KQcbcaoHCgW?gUD@SrAcG	n=18	m=50	alpha=6
R?COOdo@mWPkq?s_YA@AuHOzhO@C\?	n=19	m=55	alpha=6
RMp?g_DgpPDgOFh?AbAEQAoq?cxTD?	n=19	m=55	alpha=6
