0 1 2 3 4 5 6 7 8 9 10
0 10 9 8 7 6 5 4 3 2 1
1 0 10 9 8 7 6 5 4 3 2
10 0 1 2 3 4 5 6 7 8 9
2 1 0 10 9 8 7 6 5 4 3
9 10 0 1 2 3 4 5 6 7 8
3 2 1 0 10 9 8 7 6 5 4
8 9 10 0 1 2 3 4 5 6 7
4 3 2 1 0 10 9 8 7 6 5
7 8 9 10 0 1 2 3 4 5 6
5 4 3 2 1 0 10 9 8 7 6
6 7 8 9 10 0 1 2 3 4 5
6 5 4 3 2 1 0 10 9 8 7
5 6 7 8 9 10 0 1 2 3 4
4 5 6 7 8 9 10 0 1 2 3
7 6 5 4 3 2 1 0 10 9 8
3 4 5 6 7 8 9 10 0 1 2
8 7 6 5 4 3 2 1 0 10 9
2 3 4 5 6 7 8 9 10 0 1
9 8 7 6 5 4 3 2 1 0 10
1 2 3 4 5 6 7 8 9 10 0
10 9 8 7 6 5 4 3 2 1 0
