0 1 2 3 4 5 6 7 8 9 10 11 12 13
0 13 12 11 10 9 8 7 6 5 4 3 2 1
13 0 1 2 3 4 5 6 7 8 9 10 11 12
1 0 13 12 11 10 9 8 7 6 5 4 3 2
12 13 0 1 2 3 4 5 6 7 8 9 10 11
2 1 0 13 12 11 10 9 8 7 6 5 4 3
11 12 13 0 1 2 3 4 5 6 7 8 9 10
3 2 1 0 13 12 11 10 9 8 7 6 5 4
10 11 12 13 0 1 2 3 4 5 6 7 8 9
4 3 2 1 0 13 12 11 10 9 8 7 6 5
5 4 3 2 1 0 13 12 11 10 9 8 7 6
9 10 11 12 13 0 1 2 3 4 5 6 7 8
6 5 4 3 2 1 0 13 12 11 10 9 8 7
8 9 10 11 12 13 0 1 2 3 4 5 6 7
7 6 5 4 3 2 1 0 13 12 11 10 9 8
7 8 9 10 11 12 13 0 1 2 3 4 5 6
8 7 6 5 4 3 2 1 0 13 12 11 10 9
6 7 8 9 10 11 12 13 0 1 2 3 4 5
5 6 7 8 9 10 11 12 13 0 1 2 3 4
9 8 7 6 5 4 3 2 1 0 13 12 11 10
4 5 6 7 8 9 10 11 12 13 0 1 2 3
10 9 8 7 6 5 4 3 2 1 0 13 12 11
3 4 5 6 7 8 9 10 11 12 13 0 1 2
11 10 9 8 7 6 5 4 3 2 1 0 13 12
2 3 4 5 6 7 8 9 10 11 12 13 0 1
12 11 10 9 8 7 6 5 4 3 2 1 0 13
1 2 3 4 5 6 7 8 9 10 11 12 13 0
13 12 11 10 9 8 7 6 5 4 3 2 1 0
