0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
0 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1
16 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
1 0 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2
15 16 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
2 1 0 16 15 14 13 12 11 10 9 8 7 6 5 4 3
14 15 16 0 1 2 3 4 5 6 7 8 9 10 11 12 13
3 2 1 0 16 15 14 13 12 11 10 9 8 7 6 5 4
13 14 15 16 0 1 2 3 4 5 6 7 8 9 10 11 12
4 3 2 1 0 16 15 14 13 12 11 10 9 8 7 6 5
12 13 14 15 16 0 1 2 3 4 5 6 7 8 9 10 11
5 4 3 2 1 0 16 15 14 13 12 11 10 9 8 7 6
6 5 4 3 2 1 0 16 15 14 13 12 11 10 9 8 7
11 12 13 14 15 16 0 1 2 3 4 5 6 7 8 9 10
7 6 5 4 3 2 1 0 16 15 14 13 12 11 10 9 8
10 11 12 13 14 15 16 0 1 2 3 4 5 6 7 8 9
8 7 6 5 4 3 2 1 0 16 15 14 13 12 11 10 9
9 10 11 12 13 14 15 16 0 1 2 3 4 5 6 7 8
9 8 7 6 5 4 3 2 1 0 16 15 14 13 12 11 10
8 9 10 11 12 13 14 15 16 0 1 2 3 4 5 6 7
10 9 8 7 6 5 4 3 2 1 0 16 15 14 13 12 11
7 8 9 10 11 12 13 14 15 16 0 1 2 3 4 5 6
6 7 8 9 10 11 12 13 14 15 16 0 1 2 3 4 5
11 10 9 8 7 6 5 4 3 2 1 0 16 15 14 13 12
5 6 7 8 9 10 11 12 13 14 15 16 0 1 2 3 4
12 11 10 9 8 7 6 5 4 3 2 1 0 16 15 14 13
4 5 6 7 8 9 10 11 12 13 14 15 16 0 1 2 3
13 12 11 10 9 8 7 6 5 4 3 2 1 0 16 15 14
3 4 5 6 7 8 9 10 11 12 13 14 15 16 0 1 2
14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 16 15
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 0 1
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 16
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 0
16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
