0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
0 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1
22 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
1 0 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2
21 22 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2 1 0 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3
20 21 22 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
3 2 1 0 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4
19 20 21 22 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
4 3 2 1 0 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5
18 19 20 21 22 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
5 4 3 2 1 0 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6
17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
6 5 4 3 2 1 0 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7
16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
7 6 5 4 3 2 1 0 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8
8 7 6 5 4 3 2 1 0 22 21 20 19 18 17 16 15 14 13 12 11 10 9
15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
9 8 7 6 5 4 3 2 1 0 22 21 20 19 18 17 16 15 14 13 12 11 10
14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 9 10 11 12 13
10 9 8 7 6 5 4 3 2 1 0 22 21 20 19 18 17 16 15 14 13 12 11
13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 9 10 11 12
11 10 9 8 7 6 5 4 3 2 1 0 22 21 20 19 18 17 16 15 14 13 12
12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 9 10 11
12 11 10 9 8 7 6 5 4 3 2 1 0 22 21 20 19 18 17 16 15 14 13
11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 9 10
13 12 11 10 9 8 7 6 5 4 3 2 1 0 22 21 20 19 18 17 16 15 14
10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8 9
14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 22 21 20 19 18 17 16 15
9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7 8
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6 7
15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 22 21 20 19 18 17 16
7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5 6
16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 22 21 20 19 18 17
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4 5
17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 22 21 20 19 18
5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3 4
18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 22 21 20 19
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2 3
19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 22 21 20
3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1 2
20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 22 21
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0 1
21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0 22
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 0
22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
