Gamma_1 n=2 m=1
Gamma_2 n=5 m=5
Gamma_3 n=8 m=12
Gamma_4 n=11 m=22
Gamma_5 n=14 m=35
Gamma_6 n=17 m=51
Gamma_7 n=20 m=70
Gamma_8 n=23 m=92
Upsilon_2 n=13 m=28
Upsilon_2-y n=12 m=24
Upsilon_2-2i n=12 m=24
Upsilon_2-y-2i n=11 m=20
Upsilon_3 n=16 m=41
Upsilon_3-y n=15 m=37
Upsilon_3-2i n=15 m=36
Upsilon_3-y-2i n=14 m=32
Upsilon_4 n=19 m=57
Upsilon_4-y n=18 m=53
Upsilon_4-2i n=18 m=51
Upsilon_4-y-2i n=17 m=47
Upsilon_5 n=22 m=76
Upsilon_5-y n=21 m=72
Upsilon_5-2i n=21 m=69
Upsilon_5-y-2i n=20 m=65
Upsilon_6 n=25 m=98
Upsilon_6-y n=24 m=94
Upsilon_6-2i n=24 m=90
Upsilon_6-y-2i n=23 m=86
