N???????????????^~w	15	14	0
N?????????????~~~~o	15	26	0
N???????????_?~~N~o	15	25	1
N???????????o?N~~~_	15	25	1
N???????????w?F~~~_	15	25	1
N???????????{?B~~~_	15	25	1
N???????????}?@~~~_	15	25	1
N???????????~??~~~_	15	25	1
N???????????~~~~^~_	15	36	0
N?????????O?~}~}N~_	15	34	1
N?????????W?N~N~^~?	15	33	2
N?????????W?N~~}^~?	15	34	1
N?????????W?o?~}F~o	15	26	2
N?????????[?F~F~^~?	15	32	2
N?????????[?F~~}^~?	15	34	1
N?????????[?w?F~~~?	15	27	2
N?????????]?B~B~^~?	15	31	2
N?????????]?B~~}^~?	15	34	1
N?????????]?{?B~~~?	15	28	2
N?????????^?@~@~^~?	15	30	2
N?????????^?@~~}^~?	15	34	1
N?????????^?}?@~~~?	15	29	2
N?????????^~~}~}^~?	15	44	0
N???????C?W?~{N~N~?	15	33	2
N???????C?[?F~^}^}?	15	33	2
N???????C?]?B~^}^}?	15	33	2
N???????C?^?@~^}^}?	15	33	2
N???????C?^}~{^}N~?	15	41	1
N???????C?^}~{~{N~?	15	41	1
N???????E?E@N}r|^}?	15	33	3
N???????E?F@p|N}^}?	15	33	3
N???????E?F`o|N}^}?	15	33	3
N???????E?F~N}N}^}?	15	39	2
N???????E?F~N}~{^}?	15	40	2
N???????E?F~~{~{^}?	15	41	1
N???????E?S?N}V|^}?	15	32	2
N???????E?U?R|N}^}?	15	32	2
N???????E?V?P|N}^}?	15	32	2
N???????E?V_O|N}^}?	15	32	2
N???????E?W?~{N~^}?	15	34	2
N???????E?[?N}F~^}?	15	33	3
N???????E?]?B~N}^}?	15	33	3
N???????E?^?@~N}^}?	15	33	3
N???????F?B`F}w|^}?	15	33	3
N???????F?Bpw\F}^}?	15	33	3
N???????F?B~F}F}^}?	15	37	3
N???????F?B~F}~{^}?	15	39	2
N???????F?B~~{~{^}?	15	41	1
N???????F?R?F}X|^}?	15	32	2
N???????F?R_W|F}^}?	15	32	2
N???????F?RoW\F}^}?	15	32	2
N???????F?Y?F}J|^}?	15	32	2
N???????F?Z?H|F}^}?	15	32	2
N???????F?[?F~F~^}?	15	34	3
N???????F?[?F~~{^}?	15	35	2
N???????F?[?w?~{B~o	15	29	3
N???????F?]?F}B~^}?	15	33	3
N???????F?^?@~F}^}?	15	33	3
N???????F_@xB}{L^}?	15	33	3
N???????F_@~B}B}^}?	15	35	3
N???????F_@~B}~{^}?	15	38	2
N???????F_@~~{~{^}?	15	41	1
N???????F_PoB}[\^}?	15	32	2
N???????F_Pw[LB}^}?	15	32	2
N???????F_X_B}K|^}?	15	32	2
N???????F_XoK\B}^}?	15	32	2
N???????F_\?B}D|^}?	15	32	2
N???????F_]?B~B~^}?	15	34	4
N???????F_]?B~~{^}?	15	36	2
N???????F_]?{?B~~}?	15	31	3
N???????F_^?B}@~^}?	15	33	3
N???????Fo?~~{~{^}?	15	41	1
N???????FoO{@}]D^}?	15	32	2
N???????FoWw@}ML^}?	15	32	2
N???????Fo^?@~@~^}?	15	34	4
N???????Fo^?@~~{^}?	15	37	2
N???????Fo^?}?@~~}?	15	33	3
N???????F~~}~{~{^}?	15	50	0
N??????_A?[?F~^{V|?	15	32	3
N??????_A?]?B~^{V|?	15	32	3
N??????_A?^?@~^{V|?	15	32	3
N??????_A?^{N}^{V|?	15	38	2
N??????_B?Q@F}Z|^{?	15	32	3
N??????_B?R@F}X|^{?	15	32	4
N??????_B?R`W|F}^{?	15	32	4
N??????_B?R|F}~wN}?	15	37	3
N??????_B?[?fyF~N}?	15	32	3
N??????_B?]?fyB~N}?	15	32	4
N??????_B?^?@~fyN}?	15	32	4
N??????_B_P`B}[|^{?	15	32	4
N??????_B_PpB}[\^{?	15	32	4
N??????_B_P|B}~wN}?	15	36	3
N??????_B_]?byB~N}?	15	32	4
N??????_B_^?by@~N}?	15	32	4
N??????_BoOx@}]L^{?	15	32	4
N??????_BoO|@}~wN}?	15	35	3
N??????_Bo^?`y@~N}?	15	32	4
N??????_E?GA~w^{F|_	15	32	3
N??????_E?KAfx~wF~?	15	32	3
N??????_E?MAbx~wF~?	15	32	3
N??????_E?V?P|~wF~?	15	32	3
N??????_E?V_O|~wF~?	15	32	3
N??????_E?^{N}^{N}?	15	39	2
N??????_E?^{~wN}N}?	15	39	2
N??????_F?BpW\F}^{?	15	32	4
N??????_F?B~F}^{^{?	15	38	3
N??????_F?B~^{^{^{?	15	39	2
N??????_F?B~^{~w^{?	15	39	2
N??????_F?KAFzF}^{?	15	32	4
N??????_F?KAFz~wN}?	15	33	3
N??????_F?KAF}fx^{?	15	32	3
N??????_F?MABzF}^{?	15	32	4
N??????_F?MAbxF}^{?	15	32	3
N??????_F?R?F}X|^{?	15	32	3
N??????_F?R_W|F}^{?	15	32	3
N??????_F?RoW\F}^{?	15	32	3
N??????_F?[?F~^{^{?	15	34	3
N??????_F_@~B}^{^{?	15	37	3
N??????_F_@~^{^{^{?	15	39	2
N??????_F_@~^{~w^{?	15	39	2
N??????_F_MABzB}^{?	15	32	4
N??????_F_MABz~wN}?	15	34	3
N??????_F_MAB}bx^{?	15	32	3
N??????_F_PoB}[\^{?	15	32	3
N??????_F_Pw[LB}^{?	15	32	3
N??????_F_]?B~~wN}?	15	35	3
N??????_Fo?~~w~wN}?	15	39	2
N??????_FoO{@}]D^{?	15	32	3
N??????_Fo^?@~~wN}?	15	36	3
N??????_F~^{~w^{N}?	15	46	1
N??????_F~^{~w~wN}?	15	46	1
N??????o@_@b{xN{X|?	15	32	4
N??????o@_@r{XN{X|?	15	32	5
N??????o@_@~N{ry^{?	15	36	4
N??????o@_EAB}rz^{?	15	32	3
N??????o@_FAB}pz^{?	15	32	4
N??????o@_FaB}oz^{?	15	32	5
N??????o@_]?B~N{X|?	15	32	4
N??????o@_^?@~N{X|?	15	32	5
N??????o@_`q{XryF}?	15	32	4
N??????o@_`y{HryF}?	15	32	4
N??????o@_f}ryN{^{?	15	38	3
N??????o@_f}ry~w^{?	15	39	3
N??????o@_{?BzF|^{?	15	32	4
N??????o@_{?F|ry^{?	15	33	4
N??????o@_}?B|Bz^{?	15	32	5
N??????o@_}?B|ryF}?	15	32	4
N??????o@_}?B|ry^{?	15	33	4
N??????o@o?zpy}HF}?	15	32	5
N??????o@o?~pyN{^{?	15	35	4
N??????o@oFA@}pz^{?	15	32	4
N??????o@oFa@}oz^{?	15	32	5
N??????o@oW`@}M|^{?	15	32	4
N??????o@oWp@}M\^{?	15	32	5
N??????o@o^?@~pyF}?	15	32	5
N??????o@o_ypy}HF}?	15	32	4
N??????o@o_|@{}@~{?	15	32	5
N??????o@o_|}@N{^{?	15	34	4
N??????o@o_|}@pyF}?	15	32	5
N??????o@o_}}@pyF}?	15	32	4
N??????o@o_}}@py^{?	15	33	4
N??????o@ofAN{pz^{?	15	35	4
N??????o@ov?@|Pz^{?	15	32	5
N??????o@ov?PzN{^{?	15	34	4
N??????o@ow|N{N{^{?	15	38	3
N??????o@ow|N{~w^{?	15	39	3
N??????o@ow|pyN{^{?	15	37	4
N??????o@o}?@zB|^{?	15	32	5
N??????o@o}?B|py^{?	15	33	4
N??????o@wc]oyv@^{?	15	33	4
N??????o@wfaozN{^{?	15	36	4
N??????o@ww\N{N{^{?	15	38	3
N??????o@ww\N{~w^{?	15	39	3
N??????o@~f}N{N{^{?	15	43	2
N??????o@~f}N{~w^{?	15	44	2
N??????o@~f}~w~w^{?	15	45	2
N??????o@~~{~w~w^{?	15	46	1
N??????oD?B~N{Vy^{?	15	37	3
N??????oD?EAF}Rz^{?	15	32	4
N??????oD?FAPzF}^{?	15	32	4
N??????oD?FaOzF}^{?	15	32	4
N??????oD?F}N{Vy^{?	15	37	3
N??????oD?F}Vy~w^{?	15	38	2
N??????oD?K?N{VyR{_	15	30	3
N??????oD_@~RyN{^{?	15	36	4
N??????oD_FAB}Pz^{?	15	32	5
N??????oD_H`B}K|^{?	15	32	5
N??????oD_HpK\B}^{?	15	32	5
N??????oD_H|N{N{^{?	15	37	3
N??????oD_H|N{~w^{?	15	38	2
N??????oD_H|RyN{^{?	15	36	3
N??????oD_M?RybxF}?	15	30	3
N??????oD_U?RzN{^{?	15	33	3
N??????oDo?~PyN{^{?	15	35	4
N??????oDoGx@}ML^{?	15	32	5
N??????oDoG|N{N{^{?	15	37	3
N??????oDoG|N{~w^{?	15	38	2
N??????oDoG|PyN{^{?	15	35	3
N??????oDoN?Py`xF}?	15	30	3
N??????oDoV?PzN{^{?	15	34	3
N??????oE?V?Px~wF~?	15	32	3
N??????oE?]?B~~wF~?	15	34	4
N??????oE?^?@~~wF~?	15	34	5
N??????oE?^{N}~wF~?	15	40	4
N??????oE?^{N}~w^{?	15	40	2
N??????oF?FA@zF}^{?	15	32	4
N??????oF?FApxF}^{?	15	33	4
N??????oF?FaoxF}^{?	15	33	4
N??????oF?F}F}F}^{?	15	38	3
N??????oF?F}F}~w^{?	15	39	3
N??????oF?F}N{F}^{?	15	38	3
N??????oF?Y?F}J|^{?	15	33	4
N??????oF?Z?H|F}^{?	15	33	4
N??????oF?[?N{~wB~_	15	34	4
N??????oF_@~B}N{^{?	15	37	4
N??????oF_@~N{N{^{?	15	38	3
N??????oF_@~N{~w^{?	15	39	3
N??????oF_X_B}K|^{?	15	33	4
N??????oF_XoK\B}^{?	15	33	4
N??????oF_]?B~N{^{?	15	35	4
N??????oFo^?@~N{^{?	15	36	4
N??????w?w?^FcwY~{?	15	32	5
N??????w?w?^F{wy^{?	15	34	4
N??????w?w?^~@F{[\?	15	32	5
N??????w?wBa?}wz^{?	15	32	4
N??????w?wa]z@wy^{?	15	34	4
N??????w?wb}wyF{^{?	15	37	4
N??????w?wb}wy~w^{?	15	39	3
N??????w?wz?@|Gz^{?	15	32	5
N??????w?w}?wyB|^{?	15	34	4
N??????w?{bMwYx`^{?	15	34	4
N??????w?{bqF{wZ^{?	15	36	5
N??????w?{{LF{F{^{?	15	37	4
