S]KoWZBou?W?K?K?@`_WW?roBN?@f_@f_	20	60	12
S?~vf_NBo]@w?N?N?F_@w{?~oBv_Ff_F_	20	80	16
ShCGGC@_K?G?GAC@@?OGA?_G@?O@OO?gG	20	30	6
ShCGGC@_K?G?G?CA@?_GC?_O@G_@G_?cO	20	30	0
ShCGGC@_K?G?G?C?@@?GG?a_@D?@D??a_	20	30	4
SlSggSD?gA_D?D?A_?g?D??U??i??l??S	20	40	0
ShdHGcH@GC_H?H?C_@G?H_?d?@H?@K_?c	20	40	8
ShEIHCPAGG_P?P?G_AK?PO@C_AG_AKO@C	20	40	0
ShCKIC`CGO_`?`?OoCI?`GACOCGOCKGAC	20	40	8
ShCGKD@GG_`@@@__gGH@@CCCGGGGGKCCC	20	40	0
ShCGGE@OH?a@a@P?cOGa@AGCCOGCOKAGC	20	40	6
ShCGGC@_I?s@S@I?a_GS@@OCA_GA_K@OC	20	40	0
ShCGGC@?K?g@G@C?`?GG@?_C@?G@?K?_C	20	30	2
SUWooWE?oB?E?E?B??o?E??Y??u??r??W	20	40	8
SQIQPGQAOH?Q?Q?H?AS?QO@G_AS_AQO@G	20	40	4
SQGSQGaCOP?a?a?POCQ?aGAGOCSOCQGAG	20	40	0
SQGOSHAGO`@A@A_`GGP@ACCGGGSGGQCCG	20	40	8
SQGOOIAOP@AAaAP@COOaAAGGCOSCOQAGG	20	40	8
SQGOOGA?S@GAGAC@@?OGA?_G@?S@?Q?_G	20	30	0
SCp`_oK@_E?K?K?E?@_?K_?r?@b?@`_?o	20	40	6
SCQa`OSA_I?S?S?I?Ac?SO@Q_Aa_A`O@O	20	40	0
SCO_cPCG_a@C@C_aGG`@CCCQGGaGG`CCO	20	40	0
SCO__QCO`AACaCPACO_aCAGQCOaCO`AGO	20	40	8
SCO__OC_aASCSCIAA__SC@OQA_aA_`@OO	20	40	0
SCO__OC?cAGCGCCA@?_GC?_Q@?a@?`?_O	20	30	2
