Dhc	C5	5	5
I]KoWZBoo	C5[2]	10	20
NFz_ww[?wF?[wFwF[B_	C5[3]	15	45
S?~vf_NBo]@w?N?N?F_@w{?~oBv_Ff_F_	C5[4]	20	80
IheAHCPBG	prism	10	15
IheA@GUAo	petersen	10	15
S]KoWZBou?W?K?K?@`_WW?roBN?@f_@f_	petersen[2]	20	60
JhdLA_gc?N_	grotzsch	11	20
O?CaC?VIqYPo[PkaYaFP?	clebsch	16	40
LhEIHEPQHGaPaP	C13(1,5)	13	26
LUWooWE?sBWEWE	C13(2,3)	13	26
GCrb`o	Gamma8	8	12
I?bFB_wF?	Gamma10	10	15
J?bFF`wN?{?	Gamma11	11	22
K?AEF@oM?w@o	Gamma12	12	18
L?AEFBo]@wBoBo	Gamma13	13	26
M?AEFBo}BwFoFoBw?	Gamma14	14	35
N??CEB_{BoF_F_Bo?{?	Gamma15	15	30
O??CEB_{FoN_N_Fo@{?N_	Gamma16	16	40
P??CEB_{Fo^_^_NoB{?^_@}?	Gamma17	17	51
