g6	Q	dist	bip	w
H??CFx}	20	0	16	4,4,0,0,0,0,4,4,4
H??E@~{	20	0	16	4,0,4,0,0,0,4,4,4
H??F?~{	20	0	16	4,0,0,4,0,0,4,4,4
H?AFvp{	20	0	16	4,4,0,0,0,4,4,0,4
H?BEFo}	20	0	16	4,0,4,0,0,4,0,4,4
H?B@~rw	20	0	16	4,0,4,0,0,4,4,4,0
H?B@xzw	20	0	16	4,0,4,0,0,4,4,0,4
H?bF`xw	20	19	12	3,2,3,0,2,3,2,2,3
H?bF`xw	20	16	12	3,3,3,0,3,2,2,2,2
H?bF`xw	20	14	12	4,2,3,0,2,2,2,2,3
H?bF`xw	20	13	12	3,3,3,0,3,3,1,1,3
H?bF`xw	20	12	12	4,2,4,0,2,2,2,2,2
H?bF`xw	20	10	12	4,2,3,0,3,2,2,1,3
H?bF`xw	20	9	12	4,3,3,0,3,0,3,3,1
H?bF`xw	20	8	12	4,3,2,0,3,4,0,0,4
H?bF`xw	20	6	12	4,4,2,0,4,3,0,0,3
H?bF`xw	20	5	13	4,3,1,0,3,3,1,1,4
H?bF`xw	20	4	12	4,4,2,0,4,2,1,0,3
H?bF`xw	20	3	13	4,3,1,0,4,3,1,0,4
H?bF`xw	20	2	14	4,3,1,0,4,2,2,0,4
H?bF`xw	20	1	15	4,3,1,0,4,1,3,0,4
H?bF`xw	20	0	16	4,4,0,0,4,4,0,0,4
H?bvbro	20	0	16	4,4,0,0,4,4,0,4,0
H?rF`zo	20	0	16	4,0,4,0,4,0,4,4,0
H?q`qjo	20	27	12	3,2,2,1,2,2,3,3,2
H?q`qjo	20	26	12	3,2,2,2,3,2,2,3,1
H?q`qjo	20	25	12	0,2,2,3,3,3,2,2,3
H?q`qjo	20	24	12	4,2,2,1,2,2,3,3,1
H?q`qjo	20	23	12	0,3,3,2,2,2,3,3,2
H?q`qjo	20	22	12	4,2,2,0,2,2,3,3,2
H?q`qjo	20	21	12	3,2,2,1,3,3,3,3,0
H?q`qjo	20	20	13	2,2,2,2,3,2,3,2,2
H?q`qjo	20	19	12	4,3,1,1,2,2,3,3,1
H?q`qjo	20	18	13	3,3,1,1,2,3,2,3,2
H?q`qjo	20	17	12	0,3,3,2,3,1,3,3,2
H?q`qjo	20	16	13	2,1,1,2,3,2,3,2,4
H?q`qjo	20	15	12	0,3,1,3,4,2,3,1,3
H?q`qjo	20	14	13	3,2,1,1,1,3,2,4,3
H?q`qjo	20	13	13	3,2,1,2,2,3,1,4,2
H?q`qjo	20	12	13	2,2,2,1,3,2,4,1,3
H?q`qjo	20	11	12	4,2,0,2,2,3,1,4,2
H?q`qjo	20	10	12	4,4,0,0,1,4,2,3,2
H?q`qjo	20	9	13	3,3,1,1,1,4,1,3,3
H?q`qjo	20	8	13	4,3,1,0,3,3,1,4,1
H?q`qjo	20	7	13	2,2,1,1,1,4,1,4,4
H?q`qjo	20	6	13	3,3,1,1,3,4,0,4,1
H?q`qjo	20	5	13	3,2,1,2,0,4,1,4,3
H?q`qjo	20	4	14	3,3,1,1,2,4,0,4,2
H?q`qjo	20	3	14	3,2,1,2,1,4,0,4,3
H?q`qjo	20	2	15	3,3,1,1,1,4,0,4,3
H?q`qjo	20	1	15	4,3,0,1,1,4,0,4,3
H?q`qjo	20	0	16	4,4,0,0,4,4,0,4,0
H?o~fbo	20	0	16	4,0,4,0,4,4,4,0,0
I???CB}^o	20	0	16	4,4,0,0,0,0,0,4,4,4
I???E?~~_	20	0	16	4,0,4,0,0,0,0,4,4,4
I???F?^~_	20	0	16	4,0,0,4,0,0,0,4,4,4
I??CFz{^_	20	0	16	4,4,0,0,0,0,4,4,0,4
I??EEB{No	20	0	16	4,0,4,0,0,0,4,0,4,4
I??E@~{~?	20	0	16	4,0,4,0,0,0,4,4,4,0
I??E@{}~?	20	0	16	4,0,4,0,0,0,4,4,0,4
I??FF?^~?	20	0	16	4,0,0,4,0,0,4,0,4,4
I??F?~{~?	20	0	16	4,0,0,4,0,0,4,4,4,0
I?AEFo}^?	20	19	12	3,2,3,0,0,2,3,2,2,3
I?AEFo}^?	20	16	12	3,3,3,0,0,3,2,2,2,2
I?AEFo}^?	20	14	12	4,2,3,0,0,2,2,2,2,3
I?AEFo}^?	20	13	12	3,3,3,0,0,3,3,1,1,3
I?AEFo}^?	20	12	12	4,2,4,0,0,2,2,2,2,2
I?AEFo}^?	20	10	12	4,2,3,0,0,3,2,2,1,3
I?AEFo}^?	20	9	12	4,3,3,0,0,3,0,3,3,1
I?AEFo}^?	20	8	12	4,3,2,0,0,3,4,0,0,4
I?AEFo}^?	20	6	12	4,4,2,0,0,4,3,0,0,3
I?AEFo}^?	20	5	13	4,3,1,0,0,3,3,1,1,4
I?AEFo}^?	20	4	12	4,4,2,0,0,4,2,1,0,3
I?AEFo}^?	20	3	13	4,3,1,0,0,4,3,1,0,4
I?AEFo}^?	20	2	14	4,3,1,0,0,4,2,2,0,4
I?AEFo}^?	20	1	15	4,3,1,0,0,4,1,3,0,4
I?AEFo}^?	20	0	16	4,4,0,0,0,4,4,0,0,4
I?AF?~w^?	20	19	12	3,2,0,3,0,2,3,2,2,3
I?AF?~w^?	20	16	12	3,3,0,3,0,3,2,2,2,2
I?AF?~w^?	20	14	12	4,2,0,3,0,2,2,2,2,3
I?AF?~w^?	20	13	12	3,3,0,3,0,3,3,1,1,3
I?AF?~w^?	20	12	12	4,2,0,4,0,2,2,2,2,2
I?AF?~w^?	20	10	12	4,2,0,3,0,3,2,1,2,3
I?AF?~w^?	20	9	12	4,3,0,3,0,3,0,3,3,1
I?AF?~w^?	20	8	12	4,3,0,2,0,3,4,0,0,4
I?AF?~w^?	20	6	12	4,4,0,2,0,4,3,0,0,3
I?AF?~w^?	20	5	13	4,3,0,1,0,3,3,1,1,4
I?AF?~w^?	20	4	12	4,4,0,2,0,4,2,0,1,3
I?AF?~w^?	20	3	13	4,3,0,1,0,4,3,0,1,4
I?AF?~w^?	20	2	14	4,3,0,1,0,4,2,0,2,4
I?AF?~w^?	20	1	15	4,3,0,1,0,4,1,0,3,4
I?AF?~w^?	20	0	16	4,4,0,0,0,4,4,0,0,4
I?AFvrw^?	20	0	16	4,4,0,0,0,4,4,0,0,4
I?AFvp{^?	20	0	16	4,4,0,0,0,4,4,0,4,0
I?BEFo}}?	20	0	16	4,0,4,0,0,4,0,4,4,0
I?BD@xY}?	20	27	12	3,2,2,1,0,2,2,3,3,2
I?BD@xY}?	20	26	12	3,2,2,2,0,3,2,2,3,1
I?BD@xY}?	20	25	12	0,2,2,3,0,3,3,2,2,3
I?BD@xY}?	20	24	12	4,2,2,1,0,2,2,3,3,1
I?BD@xY}?	20	23	12	0,3,3,2,0,2,2,3,3,2
I?BD@xY}?	20	22	12	4,2,2,0,0,2,2,3,3,2
I?BD@xY}?	20	21	12	3,2,2,1,0,3,3,3,3,0
I?BD@xY}?	20	20	13	2,2,2,2,0,3,2,3,2,2
I?BD@xY}?	20	19	12	4,3,1,1,0,2,2,3,3,1
I?BD@xY}?	20	18	13	3,3,1,1,0,2,3,2,3,2
I?BD@xY}?	20	17	12	0,3,3,2,0,3,1,3,3,2
I?BD@xY}?	20	16	13	2,1,1,2,0,3,2,3,2,4
I?BD@xY}?	20	15	12	0,3,1,3,0,4,2,3,1,3
I?BD@xY}?	20	14	13	3,2,1,1,0,1,3,2,4,3
I?BD@xY}?	20	13	13	3,2,1,2,0,2,3,1,4,2
I?BD@xY}?	20	12	13	2,2,2,1,0,3,2,4,1,3
I?BD@xY}?	20	11	12	4,2,0,2,0,2,3,1,4,2
I?BD@xY}?	20	10	12	4,4,0,0,0,1,4,2,3,2
I?BD@xY}?	20	9	13	3,3,1,1,0,1,4,1,3,3
I?BD@xY}?	20	8	13	4,3,1,0,0,3,3,1,4,1
I?BD@xY}?	20	7	13	2,2,1,1,0,1,4,1,4,4
I?BD@xY}?	20	6	13	3,3,1,1,0,3,4,0,4,1
I?BD@xY}?	20	5	13	3,2,1,2,0,0,4,1,4,3
I?BD@xY}?	20	4	14	3,3,1,1,0,2,4,0,4,2
I?BD@xY}?	20	3	14	3,2,1,2,0,1,4,0,4,3
I?BD@xY}?	20	2	15	3,3,1,1,0,1,4,0,4,3
I?BD@xY}?	20	1	15	4,3,0,1,0,1,4,0,4,3
I?BD@xY}?	20	0	16	4,4,0,0,0,4,4,0,4,0
I?B@hzI}?	20	19	12	0,3,3,0,2,2,2,3,3,2
I?B@hzI}?	20	16	12	0,3,3,0,3,3,2,2,2,2
I?B@hzI}?	20	14	12	4,0,3,0,2,2,2,3,2,2
I?B@hzI}?	20	13	12	0,3,3,0,3,3,3,1,1,3
I?B@hzI}?	20	12	12	4,0,4,0,2,2,2,2,2,2
I?B@hzI}?	20	10	12	4,0,3,0,2,3,1,3,2,2
I?B@hzI}?	20	9	12	4,1,3,0,2,2,2,3,1,2
I?B@hzI}?	20	8	12	4,0,4,0,1,2,2,2,2,3
I?B@hzI}?	20	6	12	4,1,3,0,2,3,1,3,1,2
I?B@hzI}?	20	5	13	4,0,4,0,1,3,3,1,1,3
I?B@hzI}?	20	4	12	4,1,4,0,0,3,0,4,1,3
I?B@hzI}?	20	3	13	4,0,4,0,0,3,1,3,1,4
I?B@hzI}?	20	2	14	4,0,4,0,0,3,2,2,1,4
I?B@hzI}?	20	1	15	4,0,4,0,0,3,3,1,1,4
I?B@hzI}?	20	0	16	4,0,4,0,0,4,4,0,0,4
I?B@~rw}?	20	0	16	4,0,4,0,0,4,4,4,0,0
I?B@xzw}?	20	0	16	4,0,4,0,0,4,4,0,4,0
I?BfFBwFo	20	0	16	4,0,0,4,0,4,0,0,4,4
I?`FBqsF_	20	29	12	3,2,1,1,2,3,2,3,2,1
I?`FBqsF_	20	28	12	3,3,1,2,2,2,1,2,2,2
I?`FBqsF_	20	27	12	3,3,0,3,2,2,1,2,2,2
I?`FBqsF_	20	26	12	3,3,2,2,2,2,0,2,2,2
I?`FBqsF_	20	25	13	3,2,1,1,2,2,1,3,2,3
I?`FBqsF_	20	24	12	4,3,0,3,1,2,1,2,2,2
I?`FBqsF_	20	23	12	0,3,2,1,2,2,3,2,3,2
I?`FBqsF_	20	22	12	4,2,1,2,2,2,1,2,2,2
I?`FBqsF_	20	21	12	4,2,1,2,1,3,1,2,2,2
I?`FBqsF_	20	20	13	3,2,1,1,2,2,1,2,3,3
I?`FBqsF_	20	19	13	3,2,1,1,1,3,2,2,3,2
I?`FBqsF_	20	18	13	3,2,0,3,3,1,1,2,3,2
I?`FBqsF_	20	17	13	3,1,1,1,2,2,2,2,3,3
I?`FBqsF_	20	16	13	3,2,1,1,2,3,2,1,3,2
I?`FBqsF_	20	15	13	3,2,1,2,1,3,2,1,3,2
I?`FBqsF_	20	14	13	4,2,0,3,2,1,1,1,3,3
I?`FBqsF_	20	13	13	4,2,0,1,2,3,2,1,3,2
I?`FBqsF_	20	12	13	4,2,0,2,1,2,2,1,3,3
I?`FBqsF_	20	11	13	4,1,1,3,3,1,0,1,3,3
I?`FBqsF_	20	10	13	4,1,2,2,3,1,0,3,3,1
I?`FBqsF_	20	9	13	4,1,1,3,3,1,0,3,3,1
I?`FBqsF_	20	8	13	4,3,1,0,3,1,3,4,1,0
I?`FBqsF_	20	7	13	4,1,0,2,2,1,1,1,4,4
I?`FBqsF_	20	6	14	3,1,1,2,2,2,2,0,4,3
I?`FBqsF_	20	5	14	3,2,1,1,1,3,3,0,4,2
I?`FBqsF_	20	4	14	4,2,0,1,1,3,3,0,4,2
I?`FBqsF_	20	3	15	3,1,1,1,1,3,3,0,4,3
I?`FBqsF_	20	2	15	4,1,0,1,1,3,3,0,4,3
I?`FBqsF_	20	1	15	4,1,3,0,4,0,3,4,1,0
I?`FBqsF_	20	0	16	4,4,0,0,4,0,4,4,0,0
I?bF`xw{?	20	19	12	3,2,3,0,2,3,2,2,3,0
I?bF`xw{?	20	16	12	3,3,3,0,3,2,2,2,2,0
I?bF`xw{?	20	14	12	4,2,3,0,2,2,2,2,3,0
I?bF`xw{?	20	13	12	3,3,3,0,3,3,1,1,3,0
I?bF`xw{?	20	12	12	4,2,4,0,2,2,2,2,2,0
I?bF`xw{?	20	10	12	4,2,3,0,3,2,2,1,3,0
I?bF`xw{?	20	9	12	4,3,3,0,3,0,3,3,1,0
I?bF`xw{?	20	8	12	4,3,2,0,3,4,0,0,4,0
I?bF`xw{?	20	6	12	4,4,2,0,4,3,0,0,3,0
I?bF`xw{?	20	5	13	4,3,1,0,3,3,1,1,4,0
I?bF`xw{?	20	4	12	4,4,2,0,4,2,1,0,3,0
I?bF`xw{?	20	3	13	4,3,1,0,4,3,1,0,4,0
I?bF`xw{?	20	2	14	4,3,1,0,4,2,2,0,4,0
I?bF`xw{?	20	1	15	4,3,1,0,4,1,3,0,4,0
I?bF`xw{?	20	0	16	4,4,0,0,4,4,0,0,4,0
I?bF`xw]?	20	19	12	3,2,3,0,2,3,2,2,3,0
I?bF`xw]?	20	16	12	3,3,3,0,3,2,2,2,2,0
I?bF`xw]?	20	14	12	4,2,3,0,2,2,2,2,3,0
I?bF`xw]?	20	13	12	3,3,3,0,3,3,1,1,3,0
I?bF`xw]?	20	12	12	4,2,4,0,2,2,2,2,2,0
I?bF`xw]?	20	10	12	4,2,3,0,3,2,2,1,3,0
I?bF`xw]?	20	9	12	4,3,3,0,3,0,3,3,1,0
I?bF`xw]?	20	8	12	4,3,2,0,3,4,0,0,4,0
I?bF`xw]?	20	6	12	4,4,2,0,4,3,0,0,3,0
I?bF`xw]?	20	5	13	4,3,1,0,3,3,1,1,4,0
I?bF`xw]?	20	4	12	4,4,2,0,4,2,1,0,3,0
I?bF`xw]?	20	3	13	4,3,1,0,4,3,1,0,4,0
I?bF`xw]?	20	2	14	4,3,1,0,4,2,2,0,4,0
I?bF`xw]?	20	1	15	4,3,1,0,4,1,3,0,4,0
I?bF`xw]?	20	0	16	4,4,0,0,4,4,0,0,4,0
I?`cn@wFO	20	27	12	3,3,0,3,2,2,2,1,2,2
I?`cn@wFO	20	26	12	3,3,0,3,2,1,2,2,2,2
I?`cn@wFO	20	25	12	3,3,0,3,2,2,2,0,2,3
I?`cn@wFO	20	24	12	4,3,0,3,1,2,2,1,2,2
I?`cn@wFO	20	23	12	3,3,0,3,3,1,3,1,1,2
I?`cn@wFO	20	22	12	3,3,0,4,2,2,2,0,2,2
I?`cn@wFO	20	21	12	3,3,0,3,2,2,3,1,3,0
I?`cn@wFO	20	20	13	3,2,0,2,2,2,3,2,2,2
I?`cn@wFO	20	19	12	3,3,0,4,3,1,2,1,2,1
I?`cn@wFO	20	18	13	3,2,0,3,3,1,3,1,2,2
I?`cn@wFO	20	17	12	3,3,0,3,2,0,1,3,3,2
I?`cn@wFO	20	16	13	3,2,0,2,1,1,3,2,2,4
I?`cn@wFO	20	15	12	4,2,0,3,3,1,3,0,1,3
I?`cn@wFO	20	14	13	4,2,0,3,2,1,3,1,1,3
I?`cn@wFO	20	13	13	4,2,0,1,2,3,3,2,1,2
I?`cn@wFO	20	12	13	4,2,0,2,1,2,3,2,1,3
I?`cn@wFO	20	11	12	4,2,0,2,0,3,3,3,1,2
I?`cn@wFO	20	10	12	4,3,0,0,0,3,4,3,2,1
I?`cn@wFO	20	9	13	4,1,0,3,3,1,3,1,1,3
I?`cn@wFO	20	8	13	4,3,0,1,0,4,3,3,1,1
I?`cn@wFO	20	7	13	4,1,0,2,2,1,4,1,1,4
I?`cn@wFO	20	6	13	4,3,0,1,1,3,4,3,0,1
I?`cn@wFO	20	5	13	4,1,0,3,2,1,4,2,0,3
I?`cn@wFO	20	4	14	4,2,0,1,1,3,4,3,0,2
I?`cn@wFO	20	3	14	4,1,0,2,1,2,4,3,0,3
I?`cn@wFO	20	2	15	4,1,0,1,1,3,4,3,0,3
I?`cn@wFO	20	1	15	4,1,0,1,0,3,4,4,0,3
I?`cn@wFO	20	0	16	4,4,0,0,4,0,0,4,4,0
I?rFf_{N?	20	0	16	4,0,4,0,4,0,4,0,4,0
I?q`qjo{?	20	27	12	3,2,2,1,2,2,3,3,2,0
I?q`qjo{?	20	26	12	3,2,2,2,3,2,2,3,1,0
I?q`qjo{?	20	25	12	0,2,2,3,3,3,2,2,3,0
I?q`qjo{?	20	24	12	4,2,2,1,2,2,3,3,1,0
I?q`qjo{?	20	23	12	0,3,3,2,2,2,3,3,2,0
I?q`qjo{?	20	22	12	4,2,2,0,2,2,3,3,2,0
I?q`qjo{?	20	21	12	3,2,2,1,3,3,3,3,0,0
I?q`qjo{?	20	20	13	2,2,2,2,3,2,3,2,2,0
I?q`qjo{?	20	19	12	4,3,1,1,2,2,3,3,1,0
I?q`qjo{?	20	18	13	3,3,1,1,2,3,2,3,2,0
I?q`qjo{?	20	17	12	0,3,3,2,3,1,3,3,2,0
I?q`qjo{?	20	16	13	2,1,1,2,3,2,3,2,4,0
I?q`qjo{?	20	15	12	0,3,1,3,4,2,3,1,3,0
I?q`qjo{?	20	14	13	3,2,1,1,1,3,2,4,3,0
I?q`qjo{?	20	13	13	3,2,1,2,2,3,1,4,2,0
I?q`qjo{?	20	12	13	2,2,2,1,3,2,4,1,3,0
I?q`qjo{?	20	11	12	4,2,0,2,2,3,1,4,2,0
I?q`qjo{?	20	10	12	4,4,0,0,1,4,2,3,2,0
I?q`qjo{?	20	9	13	3,3,1,1,1,4,1,3,3,0
I?q`qjo{?	20	8	13	4,3,1,0,3,3,1,4,1,0
I?q`qjo{?	20	7	13	2,2,1,1,1,4,1,4,4,0
I?q`qjo{?	20	6	13	3,3,1,1,3,4,0,4,1,0
I?q`qjo{?	20	5	13	3,2,1,2,0,4,1,4,3,0
I?q`qjo{?	20	4	14	3,3,1,1,2,4,0,4,2,0
I?q`qjo{?	20	3	14	3,2,1,2,1,4,0,4,3,0
I?q`qjo{?	20	2	15	3,3,1,1,1,4,0,4,3,0
I?q`qjo{?	20	1	15	4,3,0,1,1,4,0,4,3,0
I?q`qjo{?	20	0	16	4,4,0,0,4,4,0,4,0,0
ICOf@pSb?	20	40	12	2,2,2,2,2,2,2,2,2,2
ICOf@pSb?	20	29	12	3,2,2,2,2,1,3,2,1,2
ICOf@pSb?	20	27	12	0,3,3,2,2,2,2,3,3,0
ICOf@pSb?	20	22	12	3,3,1,3,1,1,3,1,3,1
ICOf@pSb?	20	21	12	0,3,3,3,2,2,1,3,3,0
ICOf@pSb?	20	19	12	0,3,3,3,3,1,1,3,3,0
ICOf@pSb?	20	13	12	4,3,2,3,0,0,3,3,2,0
ICOf@pSb?	20	12	12	4,3,3,3,0,0,3,3,1,0
ICOf@pSb?	20	8	12	4,4,1,4,1,0,3,0,3,0
ICOf@pSb?	20	7	12	4,4,1,4,0,1,3,0,3,0
ICOf@pSb?	20	6	12	4,4,2,4,0,0,3,0,3,0
ICOf@pSb?	20	4	12	4,5,0,4,1,0,3,0,3,0
ICOf@pSb?	20	3	12	4,5,1,4,0,0,3,0,3,0
ICOf@pSb?	20	0	16	4,4,0,4,0,0,4,0,4,0
