# pattern GCrb`o n=8 Q=20  (bip and dist are exact integers; psi=bip/Q^2, d=dist/Q^2)
# best bip overall = 16  (psi = 16/400)  w = 2,4,0,4,4,0,4,2
# best bip full support = 13  (psi = 13/400)  w = 2,4,1,4,3,1,3,2
dist	maxbip	w
19	12	2,3,2,3,2,3,2,3
16	12	2,3,3,3,3,2,2,2
14	12	2,4,2,3,2,2,2,3
13	12	1,3,3,3,3,3,1,3
12	12	2,4,2,4,2,2,2,2
10	12	2,4,1,3,2,2,3,3
9	12	5,2,3,2,1,2,3,2
8	12	2,4,2,3,3,1,3,2
6	12	5,2,3,3,1,2,3,1
5	13	2,4,1,4,3,1,3,2
4	12	5,3,1,3,4,0,4,0
3	13	4,3,1,4,3,1,4,0
2	14	2,4,1,3,4,0,4,2
1	15	4,3,1,4,1,3,4,0
0	16	2,4,0,4,4,0,4,2
