# pattern IheA@GUAo n=10 Q=20  (bip and dist are exact integers; psi=bip/Q^2, d=dist/Q^2)
# best bip overall = 16  (psi = 16/400)  w = 4,4,4,4,4,0,0,0,0,0
# best bip full support = 12  (psi = 12/400)  w = 3,3,3,3,3,1,1,1,1,1
dist	maxbip	w
40	12	2,2,2,2,2,2,2,2,2,2
29	12	3,3,2,2,2,2,2,1,2,1
27	12	0,2,3,3,2,0,3,2,2,3
22	12	3,3,3,3,3,1,1,1,1,1
21	12	0,3,3,3,1,0,3,2,2,3
19	12	0,3,3,3,1,0,3,3,1,3
13	12	4,3,3,2,3,0,2,0,0,3
12	12	4,3,3,3,3,0,3,0,0,1
8	12	4,4,3,4,3,0,0,1,1,0
7	12	4,4,3,4,3,1,1,0,0,0
6	12	4,4,3,4,3,2,0,0,0,0
4	12	4,5,3,4,3,0,0,0,1,0
3	12	4,5,3,4,3,1,0,0,0,0
0	16	4,4,4,4,4,0,0,0,0,0
