g6	n	Q	bip	dist	Rnum	Rden	R	w
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=0,5,3,1,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=2,3,3,1,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,2,2,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,2,1,2,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,4,0,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,3,0,2,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,4,1,0,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,3,2,0,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,3,1,1,2,3,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,3,1,1,4,1,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,3,1,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=0,5,3,1,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,4,0,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=0,5,4,0,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,4,1,0,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=0,5,4,1,0,3,2,5,5
*** psi >= 1/25 : H?bF`xw Q=20 bip=16 dist=0 w=1,3,4,0,0,4,4,4,0
H?bF`xw	9	20	12	19	475	100	4.7500	3,2,1,2,2,3,2,2,3
H?bF`xw	9	21	12	19	475	141	3.3688	3,2,0,4,2,3,2,2,3
H?q`qjo	9	20	12	27	675	100	6.7500	3,2,2,1,2,2,3,3,2
H?bF`xw	9	22	15	19	475	109	4.3578	3,3,0,3,3,3,2,2,3
H?q`qjo	9	21	14	33	825	91	9.0659	2,2,2,2,3,3,3,3,1
H?bF`xw	9	23	15	24	600	154	3.8961	3,3,1,3,3,3,2,2,3
H?bF`xw	9	24	18	27	675	126	5.3571	3,3,0,3,3,3,3,3,3
H?q`qjo	9	22	16	33	825	84	9.8214	2,2,2,2,3,3,3,3,2
I?AEFo}^?	10	20	12	19	475	100	4.7500	3,2,0,1,2,2,3,2,2,3
H?bF`xw	9	25	18	27	675	175	3.8571	3,3,2,2,3,3,3,3,3
H?q`qjo	9	23	17	36	900	104	8.6538	3,2,3,2,3,3,3,3,1
I?AEFo}^?	10	21	12	19	475	141	3.3688	3,2,0,2,2,2,3,2,2,3
I?AEFo}^?	10	22	15	19	475	109	4.3578	3,3,0,1,2,3,3,2,2,3
