g6	n	m	Q	bip	dist	phi	tf	mtf
J???????F~_	11	10	11	0	0	11111111110	1	1
J??????~~~?	11	18	11	0	0	11111111100	1	1
J????A?~r~?	11	17	11	1	0	41111111302	1	1
J????B?N~}?	11	17	11	1	0	44111111320	1	1
J????B_F~}?	11	17	11	1	0	44411111320	1	1
J????BoB~}?	11	17	11	1	0	11114444230	1	1
J????B~~v}?	11	24	11	0	0	11111111000	1	1
J???CB}~b}?	11	22	11	1	0	41111113002	1	1
J???EB?~`~?	11	18	11	2	0	33111114420	1	1
J???E?~~f{?	11	22	11	1	0	44111113200	1	1
J???E?~Nv{?	11	21	11	2	0	33111114002	1	1
J???FB_F~{?	11	19	11	2	0	44411113320	1	1
J???F?^~f{?	11	22	11	1	0	44411113200	1	1
J???F?^Fv{?	11	20	11	2	0	33311114002	1	1
J???F~}~f{?	11	28	11	0	0	11111110000	1	1
J??CEB{Nr{?	11	21	11	2	3	31111144200	1	1
J??CF?^^fw?	11	21	11	2	3	44411113200	1	1
J??CFz{~B{?	11	25	11	1	0	41111130002	1	1
J??CFz{^b{?	11	25	11	1	0	41111130022	1	1
J??EEB{Nvw?	11	22	11	2	0	44111133020	1	1
J??ED?}VVw?	11	20	11	2	6	20000033441	1	1
J??EF?}Fvw?	11	21	11	3	3	22244411003	1	1
J??ED`LNfw?	11	20	11	2	6	14114412300	1	1
J??E@c}rVw?	11	21	11	3	5	11441123020	1	1
J??E@~{~Fw?	11	25	11	1	0	44111132000	1	1
J??E@{}~Fw?	11	24	11	2	0	44111132200	1	1
J??E@{}Nfw?	11	23	11	2	0	33111140002	1	1
J??FFB_~?~?	11	21	11	3	0	00033311142	1	1
J??FF?^~Fw?	11	23	11	2	0	44411133200	1	1
J??FF?^Fvw?	11	22	11	3	0	11133300442	1	1
J??FCo]XVw?	11	20	11	2	6	11144123320	1	1
J??F?~{~Fw?	11	25	11	1	0	11144423000	1	1
J??F~z{~Fw?	11	30	11	0	0	11111100000	1	1
J?AAF?^^Ds?	11	20	11	3	6	33311114022	1	1
J?AAFo}^Ds?	11	22	11	2	5	14111130202	1	1
J?AEFrwNbw?	11	23	11	2	3	44111330020	1	1
J?AEFo}^Bw?	11	23	11	2	4	44111130200	1	1
J?AEAJw^@u?	11	20	11	3	5	44111433002	1	1
J?ABFAYFrw?	11	20	11	3	6	03311144002	1	1
J?ABCc]ZVo?	11	20	11	3	7	31131404402	1	1
J?ABCs]}Bw?	11	21	11	3	5	14411132200	1	1
J?AFF?^^Fo?	11	22	11	3	3	33311144022	1	1
J?AFCo]XVo?	11	20	11	3	8	14411202130	1	1
J?AF?~w}Bw?	11	23	11	2	4	11144223000	1	1
J?AFvrw^Fo?	11	26	11	1	0	20000311141	1	1
J?BEFo}}@{?	11	24	11	4	0	33111442020	1	1
J?BDB?{Ucq?	11	18	11	3	10	34411443002	1	1
J?BD@g]Qvo?	11	20	11	4	9	14144222330	1	1
J?BD@w{Ufo?	11	21	11	3	6	44111302200	1	1
J?BD@xY}Fo?	11	22	11	2	6	41111332200	1	1
J?BD?{{Ufo?	11	21	11	3	6	44411332220	1	1
J?BFF?{}?}?	11	22	11	3	4	00033111242	1	1
J?B@hzI}Fo?	11	23	11	3	3	44111322300	1	1
J?B@~rw}Fo?	11	26	11	1	0	22000341111	1	1
J?B@xzw}Fo?	11	25	11	2	0	22000344111	1	1
J?BfFBwFvo?	11	24	11	2	0	00022444131	1	1
J?`F?|wlF_?	11	21	11	3	8	00033312441	1	1
J?`F?|wlBo?	11	21	11	3	7	30022443111	1	1
J?bFF`wN?{?	11	22	11	4	6	33000224411	1	1
J?`cn@w]?y?	11	21	11	4	5	30022434113	1	1
JCOf@pSb?{?	11	19	11	3	10	11300224111	1	1
