g6	n	m	Q	bip	dist	phi	tf	mtf
NFz_ww[?wF?[wFwF[B_	15	45	15	9	0	000111222333444	1	1
NBz_ww[?wF?[wFwF[B_	15	44	15	8	1	333444000111222	1	0
NFZ_ww[?wF?[wFwF[B_	15	44	15	8	1	333444000111222	1	0
NFx_ww[?wF?[wFwF[B_	15	44	15	8	1	333444000111222	1	0
NFz_ww[?wF?[WFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?[wFWF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?[wFwFKB_	15	44	15	8	1	000111222333444	1	0
NDz_ww[?wF?[wFwF[B_	15	44	15	8	1	333444000111222	1	0
NFj_ww[?wF?[wFwF[B_	15	44	15	8	1	333444000111222	1	0
NFy_ww[?wF?[wFwF[B_	15	44	15	8	1	333444000111222	1	0
NFz_ww[?wF?[gFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?[wFgF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?[wFwFSB_	15	44	15	8	1	000111222333444	1	0
NEz_ww[?wF?[wFwF[B_	15	44	15	8	1	333444000111222	1	0
NFr_ww[?wF?[wFwF[B_	15	44	15	8	1	333444000111222	1	0
NFz?ww[?wF?[wFwF[B_	15	44	15	8	1	333444000111222	1	0
NFz_ww[?wF?[oFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?[wFoF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?[wFwFWB_	15	44	15	8	1	000111222333444	1	0
NFz_Ww[?wF?[wFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_wW[?wF?[wFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_wwK?wF?[wFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_gw[?wF?[wFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_wg[?wF?[wFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_wwS?wF?[wFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ow[?wF?[wFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_wo[?wF?[wFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_wwW?wF?[wFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?WF?[wFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wB?[wFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?KwFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?gF?[wFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wD?[wFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?SwFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?oF?[wFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wE?[wFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?WwFwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?[wBwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?[wFwB[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?[wFwF[@_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?[wDwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?[wFwD[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?[wFwF[A_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?[wEwF[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?[wFwE[B_	15	44	15	8	1	000111222333444	1	0
NFz_ww[?wF?[wFwF[B?	15	44	15	8	1	000111222333444	1	0
NBZ_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NBx_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NBz_ww[?wF?[WFwF[B_	15	43	15	8	2	333444000111222	1	0
NBz_ww[?wF?[wFWF[B_	15	43	15	8	2	333444000111222	1	0
NBz_ww[?wF?[wFwFKB_	15	43	15	8	2	333444000111222	1	0
N@z_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NBj_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NBy_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NBz_ww[?wF?[gFwF[B_	15	43	15	7	2	333444000111222	1	0
NBz_ww[?wF?[wFgF[B_	15	43	15	7	2	333444000111222	1	0
NBz_ww[?wF?[wFwFSB_	15	43	15	7	2	333444000111222	1	0
NAz_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NBr_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NBz?ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NBz_ww[?wF?[oFwF[B_	15	43	15	7	2	333444000111222	1	0
NBz_ww[?wF?[wFoF[B_	15	43	15	7	2	333444000111222	1	0
NBz_ww[?wF?[wFwFWB_	15	43	15	7	2	333444000111222	1	0
NBz_Ww[?wF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NBz_wW[?wF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NBz_wwK?wF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NBz_gw[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NBz_wg[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NBz_wwS?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NBz_ow[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NBz_wo[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NBz_wwW?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NBz_ww[?WF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NBz_ww[?wB?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NBz_ww[?wF?KwFwF[B_	15	43	15	8	2	333444000111222	1	0
NBz_ww[?gF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NBz_ww[?wD?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NBz_ww[?wF?SwFwF[B_	15	43	15	8	2	333444000111222	1	0
NBz_ww[?oF?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NBz_ww[?wE?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NBz_ww[?wF?WwFwF[B_	15	43	15	8	2	333444000111222	1	0
NBz_ww[?wF?[wBwF[B_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wFwB[B_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wFwF[@_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wDwF[B_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wFwD[B_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wFwF[A_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wEwF[B_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wFwE[B_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wFwF[B?	15	43	15	8	2	000111222333444	1	0
