g6	n	m	Q	bip	dist	phi	tf	mtf
H??????	9	0	9	0	0	000000000	1	0
H????A?	9	1	9	0	0	033333331	1	0
H????B?	9	2	9	0	0	113333330	1	0
H????B_	9	3	9	0	0	111333330	1	0
H????Bo	9	4	9	0	0	111133330	1	0
H????Bw	9	5	9	0	0	111113330	1	0
H????B{	9	6	9	0	0	111111330	1	0
H????B}	9	7	9	0	0	111111130	1	0
H????B~	9	8	9	0	0	111111110	1	1
H???C@?	9	2	9	0	1	022222242	1	0
H???CB?	9	3	9	0	1	003333311	1	0
H???C@_	9	3	9	0	1	244222220	1	0
H???CB_	9	4	9	0	1	111333330	1	0
H???C@o	9	4	9	0	1	244422220	1	0
H???CBo	9	5	9	0	1	111133330	1	0
H???C@w	9	5	9	0	1	244442220	1	0
H???CBw	9	6	9	0	1	111113330	1	0
H???C@{	9	6	9	0	1	300000331	1	0
H???CB{	9	7	9	0	1	111111330	1	0
H???C@}	9	7	9	0	1	300000021	1	0
H???CB}	9	8	9	0	0	411111130	1	0
H???EB?	9	4	9	0	0	003333311	1	0
H???EB_	9	5	9	0	1	111333300	1	0
H???E?o	9	4	9	0	2	442222202	1	0
H???EAo	9	5	9	0	2	131133330	1	0
H???EBo	9	6	9	0	2	111133300	1	0
H???E?w	9	5	9	0	2	224442220	1	0
H???EAw	9	6	9	0	2	131113330	1	0
H???EBw	9	7	9	0	2	111113330	1	0
H???E?{	9	6	9	0	2	224444220	1	0
H???EA{	9	7	9	0	2	131111330	1	0
H???EB{	9	8	9	0	1	114444420	1	0
H???E?}	9	7	9	0	1	330000021	1	0
H???EA}	9	8	9	0	1	441111130	1	0
H???EB}	9	9	9	0	0	441111130	1	0
H???E?p	9	5	9	0	2	113333301	1	0
H???E?x	9	6	9	0	2	003330012	1	0
H???E?|	9	7	9	0	1	003333012	1	0
H???E?~	9	8	9	0	0	003333312	1	0
H???FB_	9	6	9	0	0	111333300	1	0
H???FBO	9	6	9	0	2	111133300	1	0
H???FBo	9	7	9	0	1	111133300	1	0
H???FAW	9	6	9	0	3	300330002	1	0
H???FBW	9	7	9	0	3	111113300	1	0
H???FBw	9	8	9	0	2	111113300	1	0
H???F?[	9	6	9	0	2	444222201	1	0
H???FA[	9	7	9	0	3	111444420	1	0
H???FB[	9	8	9	0	2	111444420	1	0
H???FB{	9	9	9	0	1	111444420	1	0
H???F?]	9	7	9	0	1	222444410	1	0
H???FA]	9	8	9	0	2	444111130	1	0
H???FB]	9	9	9	0	1	444111130	1	0
H???FB}	9	10	9	0	0	444111130	1	0
H???F?\	9	7	9	0	1	111333104	1	0
H???F?^	9	8	9	0	0	000333312	1	0
H???Fbo	9	8	9	0	0	111133300	1	0
H???Fbg	9	8	9	0	2	111113300	1	0
H???Fbw	9	9	9	0	1	111113300	1	0
H???FbK	9	8	9	0	3	114411402	1	0
H???Fbk	9	9	9	0	2	111144420	1	0
H???Fb{	9	10	9	0	1	111144420	1	0
H???FaM	9	8	9	0	2	244422201	1	0
H???FbM	9	9	9	0	2	111144420	1	0
H???Fbm	9	10	9	0	1	111144420	1	0
H???Fb}	9	11	9	0	0	111144420	1	0
H???Frw	9	10	9	0	0	111113300	1	0
H???Frs	9	10	9	0	2	111111300	1	0
H???Fr{	9	11	9	0	1	111111300	1	0
H???Fre	9	10	9	0	2	111441102	1	0
H???Fru	9	11	9	0	1	111114420	1	0
H???Fr}	9	12	9	0	0	111114420	1	0
H???Fz{	9	12	9	0	0	111111300	1	0
H???Fzy	9	12	9	0	1	111114102	1	0
H???Fz}	9	13	9	0	0	111111420	1	0
H???F~}	9	14	9	0	0	111111100	1	1
H??CAB?	9	4	9	0	2	003333111	1	0
H??CA?_	9	3	9	0	2	002000003	1	0
H??CAA_	9	4	9	0	2	030333131	1	0
H??CAB_	9	5	9	0	2	111333330	1	0
H??CA?o	9	4	9	0	2	224422220	1	0
H??CAAo	9	5	9	0	2	131133330	1	0
H??CABo	9	6	9	0	2	111133330	1	0
H??CA?w	9	5	9	0	2	224442220	1	0
H??CAAw	9	6	9	0	2	131113330	1	0
H??CABw	9	7	9	0	2	111113330	1	0
H??CA?{	9	6	9	0	2	224444220	1	0
H??CAA{	9	7	9	0	2	131111330	1	0
H??CAB{	9	8	9	0	2	111111330	1	0
H??CEB_	9	6	9	0	2	000333311	1	0
H??CE@o	9	6	9	0	3	244422220	1	0
