family,parameter,p,modulus,affine_multiplier,cut_base,cut_gap,span,center,center_over_p2,hole_offset_above_2span,scan_exhaustive,candidate
bose,23,23,528,181,396,59,469,1067,1067/529,129,True,True
bose,25,25,624,113,384,106,518,1274,1274/625,238,True,True
bose,27,27,728,187,105,123,605,1498,1498/729,288,True,True
bose,29,29,840,137,479,201,639,1742,1742/841,464,True,True
bose,31,31,960,143,475,80,880,2035,2035/961,275,True,True
bose,32,32,1023,41,937,184,839,2158,1079/512,480,True,True
bose,37,37,1368,461,1175,213,1155,2933,2933/1369,623,True,True
bose,41,41,1680,391,50,307,1373,3675,3675/1681,929,True,True
bose,43,43,1848,895,423,332,1516,4082,4082/1849,1050,True,True
bose,47,47,2208,971,915,153,2055,4938,4938/2209,828,True,True
bose,49,49,2400,803,1598,329,2071,5515,5515/2401,1373,True,True
bose,53,53,2808,823,1997,253,2555,6436,6436/2809,1326,True,True
bose,59,59,3480,427,1996,243,3237,8127,8127/3481,1653,True,True
bose,61,61,3720,209,1356,407,3313,8748,8748/3721,2122,True,True
bose,64,64,4095,227,16,396,3699,9665,9665/4096,2267,True,True
ruzsa,29,28,812,15,371,172,640,1654,827/392,374,True,True
ruzsa,31,30,930,13,522,193,737,2020,101/45,546,True,True
ruzsa,37,36,1332,25,405,171,1161,2864,179/81,542,True,True
ruzsa,41,40,1640,39,1106,322,1318,3654,1827/800,1018,True,True
ruzsa,43,42,1806,13,715,110,1696,3966,661/294,574,True,True
ruzsa,47,46,2162,17,578,35,2127,4924,1231/529,670,True,True
ruzsa,53,52,2756,9,2203,357,2399,6519,6519/2704,1721,True,True
ruzsa,59,58,3422,5,1110,347,3075,8039,8039/3364,1889,True,True
ruzsa,61,60,3660,23,1455,466,3194,8610,287/120,2222,True,True
ruzsa,67,66,4422,35,1154,231,4191,10680,890/363,2298,True,True
ruzsa,71,70,4970,23,2440,65,4905,12001,12001/4900,2191,True,True
singer,16,17,273,97,78,39,234,526,526/289,58,True,True
singer,17,18,307,21,206,49,258,581,581/324,65,True,True
singer,19,20,381,116,254,96,285,748,187/100,178,True,True
singer,23,24,553,163,319,126,427,1101,367/192,247,True,True
singer,25,26,651,41,200,159,492,1317,1317/676,333,True,True
singer,27,28,757,56,427,172,585,1567,1567/784,397,True,True
singer,29,30,871,49,289,157,714,1838,919/450,410,True,True
singer,31,32,993,466,42,189,804,2077,2077/1024,469,True,True
singer,32,33,1057,243,47,198,859,2274,758/363,556,True,True
