d	r	c	M	minR_num	minR_den	argk	hstar
4	5	5	2	1	25	1	1,0,1,0,0
5	6	6	2	1	45	2	1,0,1,0,0,0
6	7	7	2	13	812	2	1,0,1,0,0,0,0
3	5	4	1	0	1	1	1,0,0,0
3	5	5	2	0	1	1	1,1,0,0
3	5	5	3	1	13	1	1,1,1,0
4	5	6	2	0	1	1	1,1,0,0,0
4	5	6	3	1	28	1	1,1,1,0,0
4	5	5	1	0	1	1	1,0,0,0,0
4	5	7	4	1	31	1	1,2,1,0,0
3	5	6	4	1	15	1	1,2,1,0
3	5	6	3	0	1	1	1,2,0,0
4	5	7	5	2	31	1	1,2,2,0,0
5	5	6	1	0	1	1	1,0,0,0,0,0
3	5	7	4	0	1	1	1,3,0,0
3	5	7	5	1	17	1	1,3,1,0
4	5	7	3	0	1	1	1,2,0,0,0
5	5	7	2	0	1	1	1,1,0,0,0,0
5	6	8	6	9	161	1	1,2,3,0,0,0
5	6	7	3	3	149	1	1,1,1,0,0,0
5	6	8	4	3	161	1	1,2,1,0,0,0
5	6	9	7	9	173	1	1,3,3,0,0,0
6	6	9	6	6	167	1	1,2,3,0,0,0,0
5	6	7	4	6	149	1	1,1,2,0,0,0
5	6	9	8	12	173	1	1,3,4,0,0,0
6	6	10	7	2	59	1	1,3,3,0,0,0,0
6	6	7	1	0	1	1	1,0,0,0,0,0,0
5	6	9	8	9	175	1	1,3,3,1,0,0
6	6	9	7	8	167	1	1,2,4,0,0,0,0
5	6	8	7	9	163	1	1,2,3,1,0,0
5	5	53	318	537	883	1	1,47,175,91,4,0
5	5	10	8	9	185	1	1,4,3,0,0,0
6	5	156	4236	3331	3769	1	1,149,1356,2090,619,21,0
4	5	12	11	3	46	1	1,7,3,0,0
6	5	92	1152	1065	1489	1	1,85,490,490,85,1,0
6	5	46	248	273	607	1	1,39,135,70,3,0,0
8	6	10	2	0	1	1	1,1,0,0,0,0,0,0,0
5	5	66	520	843	1213	1	1,60,266,178,15,0
3	5	10	7	0	1	1	1,6,0,0
6	6	10	4	0	1	1	1,3,0,0,0,0,0
6	5	33	124	142	433	1	1,26,71,26,0,0,0
6	5	20	36	19	140	1	1,13,19,3,0,0,0
6	5	104	1862	1583	1992	1	1,97,689,865,205,5,0
6	5	217	7384	5589	6064	1	1,210,2184,3719,1221,49,0
6	5	102	1106	1132	1541	1	1,95,566,444,0,0,0
5	5	16	20	27	257	1	1,10,9,0,0,0
3	6	10	8	1	23	1	1,6,1,0
6	5	158	3638	2987	3440	1	1,151,1274,1763,439,10,0
5	6	21	32	45	319	1	1,15,15,1,0,0
6	5	114	2334	1940	2343	1	1,107,834,1114,272,6,0
5	6	11	10	12	197	1	1,5,4,0,0,0
5	5	21	37	63	317	1	1,15,21,0,0,0
4	6	9	6	1	37	1	1,4,1,0,0
5	5	42	195	38	73	1	1,36,114,44,0,0
4	5	15	27	13	58	1	1,10,13,3,0
5	6	9	4	0	1	1	1,3,0,0,0,0
3	5	8	6	1	19	1	1,4,1,0
3	6	8	5	0	1	1	1,4,0,0
6	5	52	552	505	829	1	1,45,230,230,45,1,0
5	6	40	131	76	195	1	1,34,76,20,0,0
6	5	14	8	0	1	1	1,7,0,0,0,0,0
6	5	16	10	0	1	1	1,9,0,0,0,0,0
6	5	26	102	55	182	1	1,19,55,27,0,0,0
6	6	13	17	9	104	1	1,6,9,1,0,0,0
7	6	8	1	0	1	1	1,0,0,0,0,0,0,0
