d	r	c	M	maxR_num	maxR_den	argk	hstar	lam	mu	nu	src
4	5	5	2	1	25	1	1,0,1,0,0	6,4,3,2	2,2,1	7,5,4,3,1	purged_region\ladder_climb.jsonl
5	6	6	2	1	45	2	1,0,1,0,0,0	5,4,3,2	2,2,1,1	6,5,4,3,1,1	purged_region\ladder_climb.jsonl
6	7	7	2	13	812	2	1,0,1,0,0,0,0	4,3,2,1,1	2,2,1,1,1	5,4,3,2,2,1,1	purged_region\ladder_climb.jsonl
3	5	4	1	0	1	1	1,0,0,0	3,2,1	4,2,1	6,3,2,1,1	purged_region\ladder_r5.jsonl
3	5	5	2	0	1	1	1,1,0,0	4,2,1	4,2,1	6,4,2,1,1	purged_region\ladder_r5.jsonl
3	5	5	3	1	13	1	1,1,1,0	3,2	4,3,2,1	5,4,3,2,1	purged_region\ladder_r5.jsonl
4	5	6	2	0	1	1	1,1,0,0,0	3,1,1	4,3,2,1	5,4,3,2,1	purged_region\ladder_r5.jsonl
4	5	6	3	1	28	1	1,1,1,0,0	3,2,1	4,3,2	5,4,3,2,1	purged_region\ladder_r5.jsonl
4	5	5	1	0	1	1	1,0,0,0,0	4,2,1	4,3,1	5,4,3,2,1	purged_region\ladder_r5.jsonl
4	5	7	4	1	31	1	1,2,1,0,0	4,3,2	4,2,1	6,4,3,2,1	purged_region\ladder_r5.jsonl
3	5	6	4	1	15	1	1,2,1,0	4,3,2,1	4,2	6,4,3,2,1	purged_region\ladder_r5.jsonl
3	5	6	3	0	1	1	1,2,0,0	5,3,1,1	4,2,1	7,5,3,1,1	purged_region\ladder_r5.jsonl
4	5	7	5	2	31	1	1,2,2,0,0	4,3,1	4,3,2	6,5,3,2,1	purged_region\ladder_r5.jsonl
5	5	6	1	0	1	1	1,0,0,0,0,0	4,3,2,1	3,2,1,1	6,5,3,2,1	purged_region\ladder_r5.jsonl
3	5	7	4	0	1	1	1,3,0,0	5,3,1	5,3,1	8,5,3,1,1	purged_region\ladder_r5_hi.jsonl
3	5	7	5	1	17	1	1,3,1,0	5,2	5,3,2,1	7,5,3,2,1	purged_region\ladder_r5_hi.jsonl
4	5	7	3	0	1	1	1,2,0,0,0	4,2,1,1	5,3,2	7,5,3,2,1	purged_region\ladder_r5_hi.jsonl
5	5	7	2	0	1	1	1,1,0,0,0,0	4,2,1,1	4,3,2,1	6,5,4,2,1	purged_region\ladder_r5_hi.jsonl
5	6	8	6	9	161	1	1,2,3,0,0,0	4,3,2,1	3,2,1	5,4,3,2,1,1	purged_region\ladder_r6.jsonl
5	6	7	3	3	149	1	1,1,1,0,0,0	4,3,1,1	3,2,1,1	5,4,3,2,1,1	purged_region\ladder_r6.jsonl
5	6	8	4	3	161	1	1,2,1,0,0,0	4,3,1,1	4,2,1,1	6,4,3,2,1,1	purged_region\ladder_r6_hi.jsonl
5	6	9	7	9	173	1	1,3,3,0,0,0	4,3,2,1	4,2,1	6,4,3,2,1,1	purged_region\ladder_r6_hi.jsonl
6	6	9	6	6	167	1	1,2,3,0,0,0,0	4,3,2,1	3,2,1,1	6,4,3,2,1,1	purged_region\ladder_r6_hi.jsonl
