5 3 2 1;11 9 8 7;14 13 10 9;4;10;20;11;1;0
6 3 2 0;13 10 7 5;14 13 10 9;5;14;30;13;2;1
8 5 2 0;13 10 5 3;14 13 10 9;5;14;30;13;2;1
6 5 4 1;10 8 7 5;14 13 10 9;5;14;30;13;2;1
7 6 3 0;11 10 5 4;14 13 10 9;4;10;20;11;1;0
8 4 3 1;11 10 7 2;14 13 10 9;5;14;30;13;2;1
9 4 2 1;10 9 8 3;14 13 10 9;5;14;30;13;2;1
8 5 4 0;13 7 6 3;14 13 10 9;4;10;20;11;1;0
10 5 2 1;11 10 6 1;14 13 10 9;6;19;44;14;4;2
12 3 2 1;12 9 7 0;14 13 10 9;5;14;30;13;2;1
10 6 4 0;10 9 4 3;14 13 10 9;4;10;20;11;1;0
10 7 3 0;11 8 5 2;14 13 10 9;8;28;68;17;7;4
10 6 5 0;11 6 5 3;14 13 10 9;4;10;20;11;1;0
11 8 2 0;13 9 3 0;14 13 10 9;6;18;40;15;3;2
9 6 5 2;10 6 5 3;14 13 10 9;6;19;44;14;4;2
10 6 5 1;12 6 4 2;14 13 10 9;5;14;30;13;2;1
10 8 3 1;11 8 5 0;14 13 10 9;5;14;30;13;2;1
9 7 6 1;12 6 4 1;14 13 10 9;4;10;20;11;1;0
6 4 3 0;12 9 8 4;15 12 11 8;8;26;60;19;5;4
7 4 2 0;12 11 8 2;15 12 11 8;5;14;30;13;2;1
7 5 1 0;14 11 6 2;15 12 11 8;4;10;20;11;1;0
9 3 1 0;12 10 7 4;15 12 11 8;8;27;64;18;6;4
7 5 2 0;14 8 7 3;15 12 11 8;4;10;20;11;1;0
8 5 1 0;11 10 9 2;15 12 11 8;5;14;30;13;2;1
7 5 2 1;12 8 7 4;15 12 11 8;7;23;54;16;5;3
9 3 2 1;12 9 8 2;15 12 11 8;6;18;40;15;3;2
9 5 1 0;13 10 6 2;15 12 11 8;10;36;88;21;9;6
9 5 2 0;14 10 6 0;15 12 11 8;4;10;20;11;1;0
8 6 3 0;10 9 7 3;15 12 11 8;8;27;64;18;6;4
9 6 2 0;12 10 5 2;15 12 11 8;14;55;140;26;16;10
8 6 3 1;11 7 6 4;15 12 11 8;9;32;78;19;8;5
9 5 4 0;11 9 6 2;15 12 11 8;10;36;88;21;9;6
10 7 1 0;12 10 5 1;15 12 11 8;12;45;112;24;12;8
12 4 2 0;11 10 6 1;15 12 11 8;8;27;64;18;6;4
12 4 2 0;14 9 5 0;15 12 11 8;4;10;20;11;1;0
9 8 2 0;11 7 6 3;15 12 11 8;4;10;20;11;1;0
10 5 3 1;12 10 5 0;15 12 11 8;4;10;20;11;1;0
8 7 3 2;10 9 5 2;15 12 11 8;6;18;40;15;3;2
9 6 4 1;12 9 4 1;15 12 11 8;4;10;20;11;1;0
10 8 2 0;11 10 4 1;15 12 11 8;11;41;102;22;11;7
11 5 4 0;10 9 6 1;15 12 11 8;7;23;54;16;5;3
11 6 3 0;10 9 7 0;15 12 11 8;8;27;64;18;6;4
8 6 5 2;10 7 6 2;15 12 11 8;8;26;60;19;5;4
10 8 2 1;11 7 6 1;15 12 11 8;4;10;20;11;1;0
11 7 2 1;11 9 5 0;15 12 11 8;12;45;112;24;12;8
12 6 3 0;12 9 4 0;15 12 11 8;12;45;112;24;12;8
13 6 2 0;12 8 4 1;15 12 11 8;4;10;20;11;1;0
8 7 6 1;12 5 4 3;15 12 11 8;4;10;20;11;1;0
10 9 2 1;11 8 4 1;15 12 11 8;7;23;54;16;5;3
11 5 4 2;11 7 6 0;15 12 11 8;8;26;60;19;5;4
11 7 4 0;12 7 5 0;15 12 11 8;15;60;154;27;18;11
9 8 4 2;11 5 4 3;15 12 11 8;5;14;30;13;2;1
10 6 4 3;11 8 3 1;15 12 11 8;4;10;20;11;1;0
10 6 5 2;10 7 4 2;15 12 11 8;10;36;88;21;9;6
11 6 5 1;11 7 4 1;15 12 11 8;10;36;88;21;9;6
7 2 1 0;13 12 10 1;15 13 11 7;4;10;20;11;1;0
6 3 2 0;13 11 8 3;15 13 11 7;9;31;74;20;7;5
9 2 1 0;12 10 8 4;15 13 11 7;4;10;20;11;1;0
7 6 1 0;14 11 6 1;15 13 11 7;5;14;30;13;2;1
8 4 2 0;12 8 7 5;15 13 11 7;7;22;50;17;4;3
7 4 3 1;13 9 6 3;15 13 11 7;6;18;40;15;3;2
10 3 2 0;12 9 6 4;15 13 11 7;5;14;30;13;2;1
12 2 1 0;12 10 7 2;15 13 11 7;4;10;20;11;1;0
9 5 2 0;13 12 5 0;15 13 11 7;4;10;20;11;1;0
7 6 3 1;12 10 5 2;15 13 11 7;7;22;50;17;4;3
7 6 3 1;13 10 5 1;15 13 11 7;4;10;20;11;1;0
9 5 2 1;13 10 4 2;15 13 11 7;7;22;50;17;4;3
9 5 3 0;14 8 6 1;15 13 11 7;8;26;60;19;5;4
10 4 2 1;13 11 5 0;15 13 11 7;4;10;20;11;1;0
