XCHK_C13(1,5) n=13 e=26 beta=6 Rbest=50 C5=52 tr5mod10=0 propA=OK
XCHK_Petersen n=10 e=15 beta=3 Rbest=12 C5=12 tr5mod10=0 propA=OK
XCHK_hunt12 n=12 e=15 beta=3 Rbest=4 C5=4 tr5mod10=0 propA=OK
C15(1,3) n=15 e=30 beta=4 Rbest=3 C5=3 tr5mod10=0 propA=OK
C15(1,4) n=15 e=30 beta=6 Rbest=30 C5=30 tr5mod10=0 propA=OK
C15(1,6) n=15 e=30 beta=6 Rbest=33 C5=33 tr5mod10=0 propA=OK
C15(2,3) n=15 e=30 beta=6 Rbest=33 C5=33 tr5mod10=0 propA=OK
C15(2,6) n=15 e=30 beta=4 Rbest=3 C5=3 tr5mod10=0 propA=OK
C15(2,7) n=15 e=30 beta=6 Rbest=30 C5=30 tr5mod10=0 propA=OK
C15(3,4) n=15 e=30 beta=4 Rbest=3 C5=3 tr5mod10=0 propA=OK
C15(3,7) n=15 e=30 beta=6 Rbest=33 C5=33 tr5mod10=0 propA=OK
C15(4,6) n=15 e=30 beta=6 Rbest=33 C5=33 tr5mod10=0 propA=OK
C15(6,7) n=15 e=30 beta=4 Rbest=3 C5=3 tr5mod10=0 propA=OK
C15(1,4,6) n=15 e=45 beta=9 Rbest=243 C5=243 tr5mod10=0 propA=OK
C15(2,3,7) n=15 e=45 beta=9 Rbest=243 C5=243 tr5mod10=0 propA=OK
C16(1,3) n=16 e=32 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C16(1,4) n=16 e=32 beta=4 Rbest=16 C5=16 tr5mod10=0 propA=OK
C16(1,5) n=16 e=32 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C16(1,6) n=16 e=32 beta=6 Rbest=32 C5=32 tr5mod10=0 propA=OK
C16(1,7) n=16 e=32 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C16(1,8) n=16 e=24 beta=2 Rbest=0 C5=0 tr5mod10=0 propA=OK
C16(2,3) n=16 e=32 beta=6 Rbest=32 C5=32 tr5mod10=0 propA=OK
C16(2,5) n=16 e=32 beta=6 Rbest=32 C5=32 tr5mod10=0 propA=OK
C16(2,6) n=16 e=32 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C16(2,8) n=16 e=24 beta=4 Rbest=16 C5=16 tr5mod10=0 propA=OK
C16(3,4) n=16 e=32 beta=4 Rbest=16 C5=16 tr5mod10=0 propA=OK
C16(3,5) n=16 e=32 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C16(3,7) n=16 e=32 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C16(3,8) n=16 e=24 beta=2 Rbest=0 C5=0 tr5mod10=0 propA=OK
C16(4,5) n=16 e=32 beta=4 Rbest=16 C5=16 tr5mod10=0 propA=OK
C16(4,7) n=16 e=32 beta=4 Rbest=16 C5=16 tr5mod10=0 propA=OK
C16(5,7) n=16 e=32 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C16(5,8) n=16 e=24 beta=2 Rbest=0 C5=0 tr5mod10=0 propA=OK
C16(6,7) n=16 e=32 beta=6 Rbest=32 C5=32 tr5mod10=0 propA=OK
C16(6,8) n=16 e=24 beta=4 Rbest=16 C5=16 tr5mod10=0 propA=OK
C16(7,8) n=16 e=24 beta=2 Rbest=0 C5=0 tr5mod10=0 propA=OK
C16(1,3,5) n=16 e=48 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C16(1,3,7) n=16 e=48 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C16(1,3,8) n=16 e=40 beta=8 Rbest=160 C5=160 tr5mod10=0 propA=OK
C16(1,4,7) n=16 e=48 beta=8 Rbest=256 C5=256 tr5mod10=0 propA=OK
C16(1,5,7) n=16 e=48 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C16(1,5,8) n=16 e=40 beta=8 Rbest=160 C5=160 tr5mod10=0 propA=OK
C16(1,6,8) n=16 e=40 beta=6 Rbest=48 C5=48 tr5mod10=0 propA=OK
C16(2,3,8) n=16 e=40 beta=6 Rbest=48 C5=48 tr5mod10=0 propA=OK
C16(2,5,8) n=16 e=40 beta=6 Rbest=48 C5=48 tr5mod10=0 propA=OK
C16(3,4,5) n=16 e=48 beta=8 Rbest=256 C5=256 tr5mod10=0 propA=OK
C16(3,5,7) n=16 e=48 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C16(3,7,8) n=16 e=40 beta=8 Rbest=160 C5=160 tr5mod10=0 propA=OK
C16(5,7,8) n=16 e=40 beta=8 Rbest=160 C5=160 tr5mod10=0 propA=OK
C16(6,7,8) n=16 e=40 beta=6 Rbest=48 C5=48 tr5mod10=0 propA=OK
C16(1,3,5,7) n=16 e=64 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C17(1,3) n=17 e=34 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C17(1,4) n=17 e=34 beta=8 Rbest=34 C5=34 tr5mod10=0 propA=OK
C17(1,5) n=17 e=34 beta=6 Rbest=34 C5=34 tr5mod10=0 propA=OK
C17(1,6) n=17 e=34 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C17(1,7) n=17 e=34 beta=6 Rbest=34 C5=34 tr5mod10=0 propA=OK
C17(2,3) n=17 e=34 beta=6 Rbest=34 C5=34 tr5mod10=0 propA=OK
C17(2,5) n=17 e=34 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C17(2,6) n=17 e=34 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C17(2,7) n=17 e=34 beta=6 Rbest=34 C5=34 tr5mod10=0 propA=OK
C17(2,8) n=17 e=34 beta=8 Rbest=34 C5=34 tr5mod10=0 propA=OK
C17(3,4) n=17 e=34 beta=6 Rbest=34 C5=34 tr5mod10=0 propA=OK
C17(3,5) n=17 e=34 beta=8 Rbest=34 C5=34 tr5mod10=0 propA=OK
C17(3,8) n=17 e=34 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C17(4,5) n=17 e=34 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C17(4,6) n=17 e=34 beta=6 Rbest=34 C5=34 tr5mod10=0 propA=OK
C17(4,7) n=17 e=34 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C17(5,8) n=17 e=34 beta=6 Rbest=34 C5=34 tr5mod10=0 propA=OK
C17(6,7) n=17 e=34 beta=8 Rbest=34 C5=34 tr5mod10=0 propA=OK
